round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs,,
87,3,3,3,0.767008364,0.23299166560173035,3,1,3,1,0.7149575352668762,86,0.977272727
88,16,16,16,0.7769220471382141,0.2230779528617859,16,1,16,1,0.9999984502792358,87,0.97752809
89,0,0,0,0.7769601345062256,0.2230398803949356,0,1,0,1,0.8588547706604004,88,0.977777778
90,23,23,23,0.7848823070526123,0.2151177078485489,23,1,23,1,0.9930059313774109,89,0.978021978
91,27,27,27,0.7858892679214478,0.21411074697971344,27,1,27,1,0.9205712676048279,90,0.97826087
92,1,1,1,0.7878167033195496,0.21218328177928925,1,1,1,1,0.9395290613174438,91,0.978494624
93,25,25,25,0.78528893,0.21471107006072998,25,1,25,1,0.9955697655677795,92,0.978723404
94,16,16,16,0.7862109541893005,0.21378904581069946,16,1,16,1,0.9999792575836182,93,0.978947368
95,4,4,20,0.7861891388893127,0.21381086111068726,4,1,4,1,0.3447263538837433,94,0.979166667
96,7,7,7,0.8017901182174683,0.19820989668369293,7,1,7,1,0.9999992251396179,95,0.979381443
97,13,13,4,0.8017908334732056,0.19820915162563324,13,1,13,1,0.5435274839401245,96,0.979591837
98,10,10,11,0.811534047,0.18846596777439117,10,1,10,1,0.2354334443807602,97,0.97979798
99,23,23,18,0.8296735882759094,0.17032641172409058,23,1,23,1,0.5320631265640259,98,0.98
100,17,17,17,0.8364535570144653,0.16354644298553467,17,1,17,1,0.9982728958129883,99,0.98019802
101,11,11,11,0.8368740677833557,0.1631259322166443,11,1,11,1,0.960638702,100,0.980392157
102,4,4,11,0.8394268751144409,0.16057312488555908,4,1,4,1,0.1816193163394928,101,0.980582524
103,5,5,5,0.8540038466453552,0.14599615335464478,5,1,5,1,0.9989851713180542,102,0.980769231
104,5,5,5,0.8542318344116211,0.1457681804895401,5,1,5,1,0.9998146295547485,103,0.980952381
105,2,2,2,0.8540979623794556,0.14590206742286682,2,1,2,1,0.9999906420707703,104,0.981132075
106,21,21,21,0.8541368246078491,0.14586317539215088,21,1,21,1,0.8528502583503723,105,0.981308411
107,0,0,0,0.8585125207901001,0.1414874792098999,0,1,0,1,0.9724449515342712,106,0.981481481
108,2,2,2,0.8619399666786194,0.13806003332138062,2,1,2,1,0.9999006390571594,107,0.981651376
109,8,8,8,0.8621377944946289,0.1378621757030487,8,1,8,1,0.9999996423721313,108,0.981818182
110,17,17,1,0.8621425032615662,0.13785751163959503,17,1,17,1,0.047166776,109,0.981981982
111,17,17,17,0.8789604902267456,0.12103952467441559,17,1,17,1,0.99985379,110,0.982142857
112,16,16,16,0.8788712024688721,0.12112876772880554,16,1,16,1,0.9999995231628418,111,0.982300885
113,11,11,20,0.8788789510726929,0.12112103402614594,11,1,11,1,0.6365879774093628,112,0.98245614
114,21,21,21,0.8830065727233887,0.11699343472719193,21,1,21,1,0.9767687320709229,113,0.982608696
115,24,24,24,0.884364665,0.11563535034656525,24,1,24,1,0.999400795,114,0.982758621
116,6,6,6,0.8845497369766235,0.11545028537511826,6,1,6,1,0.9803751707077026,115,0.982905983
117,19,19,19,0.8844034671783447,0.11559654027223587,19,1,19,1,0.9905989766120911,116,0.983050847
118,3,3,3,0.885618269,0.11438173800706863,3,1,3,1,0.9719662666320801,117,0.983193277
119,1,1,1,0.8875632286071777,0.11243675649166107,1,1,1,1,0.9998040199279785,118,0.983333333
120,12,12,12,0.8876386880874634,0.11236128956079483,12,1,12,1,0.9925010204315186,119,0.983471074
121,17,17,17,0.8883198499679565,0.11168012768030167,17,1,17,1,0.9995898008346558,120,0.983606557
122,8,8,9,0.888506293,0.11149371415376663,8,1,8,1,0.3127915561199188,121,0.983739837
123,4,4,4,0.8974960446357727,0.1025039330124855,4,1,4,1,0.9997550249099731,122,0.983870968
124,6,6,6,0.8974167108535767,0.10258329659700394,6,1,6,1,0.9859188199043274,123,0.984
125,17,17,17,0.8983840346336365,0.10161594301462173,17,1,17,1,0.8083523511886597,124,0.984126984
126,25,25,25,0.8958228230476379,0.10417716205120087,25,1,25,1,0.8880141377449036,125,0.984251969
127,0,0,0,0.8989114761352539,0.10108855366706848,0,1,0,1,0.9999798536300659,126,0.984375
128,4,4,4,0.8988725543022156,0.10112742334604263,4,1,4,1,0.9479292631149292,127,0.984496124
129,2,2,2,0.9003868103027344,0.099613219,2,1,2,1,0.9998810291290283,128,0.984615385
130,2,2,2,0.9005239009857178,0.099476129,2,1,2,1,0.9993160367012024,129,0.984732824
131,5,5,1,0.9006910920143127,0.099308893,5,1,5,1,0.6672950983047485,130,0.984848485
132,10,10,10,0.9048884510993958,0.095111534,10,1,10,1,0.9999873042106628,131,0.984962406
133,10,10,10,0.9049299955368042,0.095069975,10,1,10,1,0.9999977350234985,132,0.985074627
134,11,11,23,0.9049378633499146,0.095062159,11,1,11,1,0.2949674427509308,133,0.985185185
135,15,15,15,0.9142636060714722,0.085736401,15,1,15,1,0.9335012435913086,134,0.985294118
136,21,21,21,0.9164249897003174,0.08357504,21,1,21,1,0.999997079,135,0.98540146
137,26,26,26,0.9164392352104187,0.08356075,26,1,26,1,0.9995784163475037,136,0.985507246
138,15,15,15,0.9165634512901306,0.083436541,15,1,15,1,0.8885562419891357,137,0.985611511
139,21,21,21,0.9190860986709595,0.080913901,21,1,21,1,0.9999884366989136,138,0.985714286
140,26,26,26,0.9190642833709717,0.080935709,26,1,26,1,0.9999955892562866,139,0.985815603
141,14,14,14,0.9190465211868286,0.080953479,14,1,14,1,0.999638021,140,0.985915493
142,12,12,12,0.9188953638076782,0.081104636,12,1,12,1,0.999343753,141,0.986013986
143,8,8,7,0.919029951,0.080970049,8,1,8,1,0.6964353919029236,142,0.986111111
144,7,7,7,0.921880305,0.07811968,7,1,7,1,0.9967663884162903,143,0.986206897
145,21,21,21,0.9215620160102844,0.078437954,21,1,21,1,0.9311226010322571,144,0.98630137
146,9,9,9,0.9238126277923584,0.076187372,9,1,9,1,0.9229001998901367,145,0.986394558
147,26,26,26,0.9251078963279724,0.074892089,26,1,26,1,0.9960880875587463,146,0.986486486
148,26,26,26,0.9245901107788086,0.075409889,26,1,26,1,0.9999998211860657,147,0.986577181
149,22,22,2,0.9245932698249817,0.075406723,22,1,22,1,0.5643919706344604,148,0.986666667
150,6,6,6,0.9282090663909912,0.071790911,6,1,6,1,0.981592596,149,0.986754967
151,15,15,15,0.9291199445724487,0.07088007,15,1,15,1,0.9993237853050232,150,0.986842105
152,17,17,17,0.9291760325431824,0.070823938,17,1,17,1,0.9828739166259766,151,0.986928105
153,5,5,5,0.9297672510147095,0.070232771,5,1,5,1,0.9982224702835083,152,0.987012987
154,1,1,1,0.9295610189437866,0.070438966,1,1,1,1,0.99987793,153,0.987096774
155,26,26,26,0.9296406507492065,0.070359334,26,1,26,1,0.9998705983161926,154,0.987179487
156,18,18,18,0.9295879602432251,0.070412032,18,1,18,1,0.9955057501792908,155,0.987261146
157,15,15,15,0.9299399256706238,0.070060045,15,1,15,1,0.9999996423721313,156,0.987341772
158,13,13,13,0.9299332499504089,0.070066743,13,1,13,1,0.8193079233169556,157,0.987421384
159,2,2,2,0.9318467974662781,0.068153173,2,1,2,1,0.9995166063308716,158,0.9875
160,23,23,23,0.9317178130149841,0.068282165,23,1,23,1,0.9998902678489685,159,0.98757764
161,9,9,9,0.931780994,0.068218984,9,1,9,1,0.9996547102928162,160,0.987654321
162,10,10,10,0.931722105,0.068277903,10,1,10,1,0.9999902844429016,161,0.987730061
163,9,27,14,0.9317423105239868,0.068257697,27,0,27,0,0.5083213448524475,161,0.981707317
164,17,17,27,0.9335113167762756,0.066488691,17,1,17,1,0.7432308793067932,162,0.981818182
165,8,8,8,0.9349313378334045,0.065068647,8,1,8,1,0.9857544302940369,163,0.981927711
166,7,7,7,0.9351691007614136,0.064830877,7,1,7,1,0.9984889030456543,164,0.982035928
167,21,21,21,0.9349101781845093,0.065089799,21,1,21,1,0.9999327659606934,165,0.982142857
168,9,9,9,0.9348542094230652,0.065145813,9,1,9,1,0.9854379892349243,166,0.982248521
169,13,13,13,0.9344024062156677,0.065597594,13,1,13,1,0.8503643274307251,167,0.982352941
170,0,0,0,0.9364081621170044,0.063591816,0,1,0,1,0.9999999403953552,168,0.98245614
171,2,2,2,0.9364046454429626,0.063595332,2,1,2,1,0.9998674392700195,169,0.98255814
172,0,0,0,0.9362574219703674,0.063742556,0,1,0,1,1,170,0.98265896
173,26,26,26,0.9362576603889465,0.063742355,26,1,26,1,0.9999998211860657,171,0.982758621
174,10,10,10,0.9362586736679077,0.063741319,10,1,10,1,0.9999208450317383,172,0.982857143
175,13,13,13,0.936298668,0.063701347,13,1,13,1,0.9993481040000916,173,0.982954545
176,5,5,5,0.9360688924789429,0.063931122,5,1,5,1,0.9996967911720276,174,0.983050847
177,9,9,27,0.9360834956169128,0.063916512,9,1,9,1,0.5292016267776489,175,0.983146067
178,0,0,0,0.9388713836669922,0.061128605,0,1,0,1,0.9995123744010925,176,0.983240223
179,17,17,17,0.9390362501144409,0.060963764786720276,17,1,17,1,0.9996621608734131,177,0.983333333
180,8,8,8,0.9389839768409729,0.061016042,8,1,8,1,0.9973471164703369,178,0.983425414
181,25,25,25,0.9388055801391602,0.061194438487291336,25,1,25,1,0.9211894273757935,179,0.983516484
182,19,19,19,0.9404008984565735,0.059599083,19,1,19,1,0.9987242817878723,180,0.983606557
183,5,5,5,0.9406764507293701,0.059323579,5,1,5,1,0.999996006,181,0.983695652
184,27,27,9,0.9406821727752686,0.059317846,27,1,27,1,0.4039151072502136,182,0.983783784
185,10,10,10,0.9439902305603027,0.056009755,10,1,10,1,0.99922353,183,0.983870968
186,17,17,17,0.9441287517547607,0.055871226,17,1,17,1,0.9952262043952942,184,0.983957219
187,2,2,2,0.9436736702919006,0.056326333433389664,2,1,2,1,0.999970019,185,0.984042553
188,5,5,22,0.943649173,0.056350809,5,1,5,1,0.011156417429447174,186,0.984126984
189,26,26,26,0.955686629,0.044313364,26,1,26,1,0.9999994039535522,187,0.984210526
190,0,0,0,0.9556872844696045,0.044312727,0,1,0,1,0.9999998807907104,188,0.984293194
191,24,24,24,0.9556887149810791,0.044311278,24,1,24,1,0.9999995827674866,189,0.984375
192,17,17,9,0.9556916356086731,0.044308342039585114,17,1,17,1,0.12825830280780792,190,0.984455959
193,27,27,27,0.960178018,0.039821971,27,1,27,1,0.9728851318359375,191,0.984536082
194,15,15,15,0.9600174427032471,0.039982542395591736,15,1,15,1,0.9999986886978149,192,0.984615385
195,14,14,14,0.9600116610527039,0.039988317,14,1,14,1,0.9782904982566833,193,0.984693878
196,27,27,27,0.9602767825126648,0.039723229,27,1,27,1,0.7484917640686035,194,0.984771574
197,13,13,13,0.9590092301368713,0.040990748,13,1,13,1,0.9908652305603027,195,0.984848485
198,21,21,21,0.9595323204994202,0.040467679500579834,21,1,21,1,0.9999973177909851,196,0.984924623
199,17,17,9,0.9595269560813904,0.040473063,17,1,17,1,0.32174447178840637,197,0.985
200,17,17,17,0.9622775316238403,0.037722494,17,1,17,1,0.9926767945289612,198,0.985074627
201,19,19,19,0.9620206952095032,0.03797929,19,1,19,1,0.9997290968894958,199,0.985148515
202,6,6,6,0.9620472192764282,0.037952799,6,1,6,1,0.9991018772125244,200,0.985221675
203,1,1,1,0.962116539,0.037883467972278595,1,1,1,1,0.9623876810073853,201,0.985294118
204,10,10,10,0.9625930786132812,0.037406895,10,1,10,1,0.9978782534599304,202,0.985365854
205,13,13,13,0.9627096652984619,0.037290346,13,1,13,1,0.7534274458885193,203,0.985436893
206,10,10,10,0.9641028046607971,0.03589718,10,1,10,1,0.9771823883056641,204,0.985507246
207,5,5,5,0.9644779562950134,0.035522033,5,1,5,1,0.9863580465316772,205,0.985576923
208,21,21,13,0.9646275639533997,0.035372436,21,1,21,1,0.3063558340072632,206,0.985645933
209,1,1,5,0.9671981334686279,0.03280184,1,1,1,1,0.094480343,207,0.985714286
210,5,5,18,0.9711737036705017,0.028826276,5,1,5,1,0.19047856330871582,208,0.985781991
211,9,9,9,0.9735715389251709,0.026428470388054848,9,1,9,1,0.9835017323493958,209,0.985849057
212,12,12,19,0.9739050269126892,0.026094982400536537,12,1,12,1,0.5230743288993835,210,0.985915493
213,21,21,21,0.9755934476852417,0.024406561627984047,21,1,21,1,0.9999938011169434,211,0.985981308
214,17,17,27,0.9755871295928955,0.024412883445620537,17,1,17,1,0.4097531735897064,212,0.986046512
215,20,20,20,0.9771195650100708,0.022880405,20,1,20,1,0.8714794516563416,213,0.986111111
216,11,11,11,0.977811337,0.022188665345311165,11,1,11,1,0.822922409,214,0.986175115
217,2,2,2,0.9786556959152222,0.02134433,2,1,2,1,0.9952101111412048,215,0.986238532
218,12,12,12,0.9785550832748413,0.021444890648126602,12,1,12,1,0.9997228980064392,216,0.98630137
219,16,16,16,0.9785193800926208,0.021480648,16,1,16,1,0.9610787630081177,217,0.986363636
220,7,7,7,0.9789925813674927,0.021007406,7,1,7,1,0.9999727606773376,218,0.986425339
221,5,5,5,0.9789831042289734,0.021016906946897507,5,1,5,1,0.9907881617546082,219,0.986486486
222,25,25,25,0.9791255593299866,0.020874457,25,1,25,1,0.9990682601928711,220,0.986547085
223,16,16,16,0.9791741967201233,0.020825808867812157,16,1,16,1,0.9999945163726807,221,0.986607143
224,1,1,1,0.9791667461395264,0.020833263,1,1,1,1,0.9997750520706177,222,0.986666667
225,26,26,26,0.9791468381881714,0.020853156223893166,26,1,26,1,0.9999997019767761,223,0.986725664
226,10,10,10,0.9791470766067505,0.020852910354733467,10,1,10,1,0.9997305274009705,224,0.986784141
227,13,13,13,0.9791680574417114,0.020831933245062828,13,1,13,1,0.9919959306716919,225,0.986842105
228,24,24,24,0.9793893098831177,0.020610691979527473,24,1,24,1,0.9999967813491821,226,0.986899563
229,6,6,6,0.9793919920921326,0.020607989,6,1,6,1,0.6657413244247437,227,0.986956522
230,6,6,6,0.9807837605476379,0.019216256216168404,6,1,6,1,0.9569439888000488,228,0.987012987
231,9,9,9,0.9811585545539856,0.018841423094272614,9,1,9,1,0.9982144832611084,229,0.987068966
232,7,7,7,0.9812239408493042,0.018776037,7,1,7,1,0.9979884624481201,230,0.987124464
233,0,0,0,0.9812049865722656,0.018795041367411613,0,1,0,1,0.9999854564666748,231,0.987179487
234,15,15,15,0.9812189340591431,0.018781072,15,1,15,1,0.9998118877410889,232,0.987234043
235,4,4,4,0.9812502861022949,0.018749712,4,1,4,1,0.9999265074729919,233,0.987288136
236,6,6,11,0.9812484383583069,0.018751569092273712,6,1,6,1,0.091879085,234,0.987341772
237,15,15,15,0.9837315082550049,0.016268491744995117,15,1,15,1,0.8566344380378723,235,0.987394958
238,7,7,7,0.9842947721481323,0.015705252066254616,7,1,7,1,0.9997448921203613,236,0.987447699
239,19,19,19,0.9842715859413147,0.015728432685136795,19,1,19,1,0.8532577157020569,237,0.9875
240,14,14,14,0.984707236,0.015292737632989883,14,1,14,1,0.9999857544898987,238,0.987551867
241,17,17,17,0.9847090840339661,0.015290944837033749,17,1,17,1,0.9989497661590576,239,0.987603306
242,1,1,1,0.9846624135971069,0.015337559394538403,1,1,1,1,0.9999620914459229,240,0.987654321
243,0,0,0,0.9846602082252502,0.015339817,0,1,0,1,0.9999999403953552,241,0.987704918
244,0,0,0,0.9846612811088562,0.015338726341724396,0,1,0,1,0.9999987483024597,242,0.987755102
245,1,1,1,0.9846599698066711,0.015340053476393223,1,1,1,1,0.9965026378631592,243,0.987804878
246,8,8,14,0.9847776889801025,0.015222311951220036,8,1,8,1,0.5670571327209473,244,0.987854251
247,2,2,2,0.9857310652732849,0.014268908649682999,2,1,2,1,0.9991344809532166,245,0.987903226
248,1,1,1,0.9857006669044495,0.014299342408776283,1,1,1,1,0.9999105334281921,246,0.987951807
249,5,5,5,0.9856832027435303,0.014316811226308346,5,1,5,1,0.9922717809677124,247,0.988
250,7,7,7,0.9857608079910278,0.014239211,7,1,7,1,0.8129549622535706,248,0.988047809
251,10,10,10,0.9861937165260315,0.013806307688355446,10,1,10,1,0.9979948401451111,249,0.988095238
252,24,24,24,0.9862345457077026,0.013765426352620125,24,1,24,1,0.999978244,250,0.988142292
253,4,4,4,0.9862397313117981,0.013760244,4,1,4,1,0.9836674928665161,251,0.988188976
254,14,14,14,0.9860743880271912,0.013925632,14,1,14,1,0.9999101758003235,252,0.988235294
255,7,7,7,0.9860659837722778,0.013934035785496235,7,1,7,1,0.9998720288276672,253,0.98828125
256,25,25,25,0.9860532879829407,0.013946689,25,1,25,1,0.9291051626205444,254,0.988326848
257,8,8,16,0.9863595366477966,0.013640448,8,1,8,1,0.2345116138458252,255,0.988372093
258,1,1,1,0.987464964,0.012535025365650654,1,1,1,1,0.9692736268043518,256,0.988416988
259,26,26,26,0.9872946739196777,0.012705334462225437,26,1,26,1,0.9373030066490173,257,0.988461538
260,9,9,9,0.9875276684761047,0.012472327,9,1,8,0,0.7935910224914551,258,0.988505747
261,17,17,17,0.9871842265129089,0.012815752066671848,17,1,17,1,0.996422291,259,0.988549618
262,7,7,7,0.9871819019317627,0.012818120419979095,7,1,7,1,0.9921653866767883,260,0.988593156
263,5,5,5,0.9872561097145081,0.012743889354169369,5,1,5,1,0.604538083,261,0.988636364
264,12,12,12,0.9878897666931152,0.012110203504562378,12,1,12,1,0.966121495,262,0.988679245
265,7,7,7,0.9881256222724915,0.011874353513121605,7,1,7,1,0.9998222589492798,263,0.988721805
266,5,5,5,0.9881128668785095,0.011887112632393837,5,1,5,1,0.9896113872528076,264,0.988764045
267,1,1,1,0.9880143404006958,0.011985656805336475,1,1,1,1,0.996192455,265,0.98880597
268,18,18,18,0.9880238771438599,0.011976119130849838,18,1,18,1,0.9989041686058044,266,0.988847584
269,14,14,14,0.9880913496017456,0.011908635,14,1,14,1,0.9966846108436584,267,0.988888889
270,17,17,17,0.9881056547164917,0.011894331313669682,17,1,17,1,0.999898374,268,0.988929889
271,6,6,6,0.988105297,0.011894704774022102,6,1,6,1,0.9901773929595947,269,0.988970588
272,19,19,19,0.9881652593612671,0.011834745295345783,19,1,19,1,0.6427069306373596,270,0.989010989
273,11,11,11,0.9888113737106323,0.011188646778464317,11,1,11,1,0.9742713570594788,271,0.989051095
274,27,27,27,0.9890744686126709,0.010925519280135632,27,1,27,1,0.9182606935501099,272,0.989090909
275,7,7,7,0.9892666935920715,0.010733295232057571,7,1,7,1,0.9998968243598938,273,0.989130435
276,16,16,16,0.9892741441726685,0.010725868865847588,16,1,16,1,0.9991317391395569,274,0.989169675
277,17,17,17,0.9892370700836182,0.010762901045382023,17,1,17,1,0.9999608993530273,275,0.989208633
278,19,19,19,0.9892451763153076,0.010754839517176151,19,1,19,1,0.9995043873786926,276,0.989247312
279,8,8,8,0.9892742037773132,0.010725796222686768,8,1,8,1,0.9995622634887695,277,0.989285714
280,11,11,11,0.9892642498016357,0.010735736228525639,11,1,11,1,0.9967278838157654,278,0.989323843
281,12,12,12,0.9893044829368591,0.010695501,12,1,12,1,0.999963641,279,0.989361702
