round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output
53,0,53.70%,61.11%,0.4971,"[0.6082929372787476, 0.39170700311660767]"
54,1,54.55%,60.00%,0.7887,"[0.5455619096755981, 0.45443806052207947]"
55,1,55.36%,60.71%,0.6041,"[0.4534233808517456, 0.5465766191482544]"
56,1,56.14%,59.65%,0.8240,"[0.5613423585891724, 0.43865761160850525]"
57,1,56.90%,60.34%,0.6103,"[0.4568101763725281, 0.5431898236274719]"
58,1,57.63%,59.32%,0.8428,"[0.5694928765296936, 0.4305071532726288]"
59,0,56.67%,60.00%,0.4337,"[0.6480829119682312, 0.3519170880317688]"
60,0,55.74%,60.66%,0.4186,"[0.65798020362854, 0.34201979637145996]"
61,0,54.84%,61.29%,0.4312,"[0.6497377157211304, 0.35026222467422485]"
62,0,53.97%,61.90%,0.5476,"[0.5783224105834961, 0.4216775894165039]"
63,0,53.12%,62.50%,0.5551,"[0.5740383267402649, 0.4259617030620575]"
64,1,53.85%,61.54%,0.8237,"[0.5611876845359802, 0.4388123154640198]"
65,1,54.55%,60.61%,0.8944,"[0.5911434292793274, 0.4088565707206726]"
66,1,55.22%,59.70%,0.8424,"[0.5693237781524658, 0.43067628145217896]"
67,0,54.41%,60.29%,0.4302,"[0.6503641605377197, 0.3496357500553131]"
68,0,53.62%,60.87%,0.6172,"[0.5394604206085205, 0.4605396091938019]"
69,0,52.86%,61.43%,0.5112,"[0.5997464656829834, 0.4002535045146942]"
70,0,52.11%,61.97%,0.5766,"[0.5618002414703369, 0.4381997883319855]"
71,0,51.39%,62.50%,0.4896,"[0.612841784954071, 0.38715827465057373]"
72,0,50.68%,63.01%,0.4385,"[0.645025372505188, 0.3549745976924896]"
73,1,51.35%,62.16%,0.8666,"[0.579632580280304, 0.42036741971969604]"
74,0,50.67%,62.67%,0.5647,"[0.5685142874717712, 0.43148571252822876]"
75,0,50.00%,63.16%,0.4365,"[0.6463126540184021, 0.3536873757839203]"
76,0,49.35%,63.64%,0.4136,"[0.6612845063209534, 0.3387155532836914]"
77,0,48.72%,64.10%,0.4787,"[0.6195933818817139, 0.3804066479206085]"
78,0,48.10%,64.56%,0.3699,"[0.6907856464385986, 0.30921438336372375]"
79,1,48.75%,63.75%,0.7742,"[0.5389044880867004, 0.46109554171562195]"
80,1,49.38%,62.96%,0.7564,"[0.5306298732757568, 0.46937015652656555]"
81,0,48.78%,63.41%,0.3971,"[0.672293484210968, 0.32770654559135437]"
82,1,49.40%,62.65%,0.7963,"[0.5490103363990784, 0.45098966360092163]"
83,0,48.81%,63.10%,0.4411,"[0.6433534026145935, 0.3566466271877289]"
84,1,49.41%,62.35%,0.8327,"[0.5651253461837769, 0.43487465381622314]"
85,0,48.84%,62.79%,0.4695,"[0.6252874135971069, 0.37471258640289307]"
86,0,48.28%,63.22%,0.4493,"[0.6380592584609985, 0.3619407117366791]"
87,1,48.86%,63.64%,0.6230,"[0.4636705219745636, 0.536329448223114]"
88,1,49.44%,62.92%,0.7613,"[0.5329524278640747, 0.46704763174057007]"
89,0,48.89%,63.33%,0.5001,"[0.6064610481262207, 0.3935389816761017]"
90,0,48.35%,63.74%,0.4861,"[0.6149943470954895, 0.3850056231021881]"
91,1,48.91%,63.04%,0.8282,"[0.5631453990936279, 0.43685460090637207]"
92,1,49.46%,63.44%,0.5819,"[0.4411483705043793, 0.5588516592979431]"
93,0,48.94%,63.83%,0.4717,"[0.6239439845085144, 0.3760560154914856]"
94,0,48.42%,64.21%,0.4246,"[0.6540457010269165, 0.3459542989730835]"
95,0,47.92%,64.58%,0.4605,"[0.6309472918510437, 0.3690527677536011]"
96,0,47.42%,64.95%,0.4354,"[0.6470096707344055, 0.3529902994632721]"
97,1,47.96%,65.31%,0.5348,"[0.4142362177371979, 0.5857638716697693]"
98,1,48.48%,64.65%,0.8358,"[0.566476583480835, 0.4335235059261322]"
99,0,48.00%,65.00%,0.5761,"[0.5620676875114441, 0.4379322826862335]"
100,0,47.52%,65.35%,0.4541,"[0.634988009929657, 0.36501196026802063]"
101,1,48.04%,64.71%,0.8899,"[0.5892959833145142, 0.41070398688316345]"
102,0,47.57%,65.05%,0.6025,"[0.5474395155906677, 0.4525604844093323]"
103,0,47.12%,65.38%,0.4659,"[0.627588152885437, 0.3724118173122406]"
104,0,46.67%,65.71%,0.5311,"[0.5879369974136353, 0.41206300258636475]"
105,1,47.17%,65.09%,0.8691,"[0.5806915760040283, 0.4193083643913269]"
106,0,46.73%,65.42%,0.5827,"[0.5583739280700684, 0.44162610173225403]"
107,1,47.22%,64.81%,0.8711,"[0.5815115571022034, 0.41848841309547424]"
108,0,46.79%,65.14%,0.5719,"[0.5644509196281433, 0.4355490207672119]"
109,1,47.27%,64.55%,0.8422,"[0.5692253708839417, 0.43077465891838074]"
110,0,46.85%,64.86%,0.4371,"[0.6459384560585022, 0.35406145453453064]"
111,1,47.32%,64.29%,0.7815,"[0.5422680974006653, 0.4577319324016571]"
112,0,46.90%,64.60%,0.3963,"[0.6728243231773376, 0.32717567682266235]"
113,0,46.49%,64.91%,0.4252,"[0.6536628007888794, 0.3463371694087982]"
114,1,46.96%,65.22%,0.4648,"[0.37173137068748474, 0.6282685399055481]"
115,1,47.41%,64.66%,0.8644,"[0.578685998916626, 0.421314001083374]"
116,0,47.01%,64.96%,0.4022,"[0.6688178777694702, 0.3311821222305298]"
117,1,47.46%,65.25%,0.6060,"[0.45444631576538086, 0.5455536842346191]"
118,1,47.90%,64.71%,0.8020,"[0.5515515208244324, 0.4484484791755676]"
119,0,47.50%,65.00%,0.6080,"[0.5444223880767822, 0.45557764172554016]"
120,1,47.93%,65.29%,0.5540,"[0.4253532886505127, 0.5746467113494873]"
121,0,47.54%,65.57%,0.4491,"[0.6381968855857849, 0.3618031442165375]"
122,1,47.97%,65.04%,0.8018,"[0.551462709903717, 0.44853726029396057]"
123,1,48.39%,65.32%,0.6041,"[0.45342981815338135, 0.5465701818466187]"
124,1,48.80%,64.80%,0.7901,"[0.5461830496788025, 0.4538169205188751]"
125,1,49.21%,65.08%,0.5806,"[0.44044065475463867, 0.5595593452453613]"
126,1,49.61%,64.57%,0.8328,"[0.5651555061340332, 0.4348445236682892]"
127,0,49.22%,64.84%,0.4561,"[0.6337497234344482, 0.36625030636787415]"
128,1,49.61%,65.12%,0.5628,"[0.4303848445415497, 0.5696151256561279]"
129,1,50.00%,64.62%,0.7751,"[0.539341151714325, 0.46065881848335266]"
130,1,50.38%,64.12%,0.8136,"[0.5567353963851929, 0.4432646930217743]"
131,0,50.00%,64.39%,0.4291,"[0.651063084602356, 0.34893688559532166]"
132,1,50.38%,64.66%,0.5916,"[0.4465864896774292, 0.553413450717926]"
133,1,50.75%,64.18%,0.8361,"[0.5665920376777649, 0.4334079325199127]"
134,0,50.37%,64.44%,0.4417,"[0.6429217457771301, 0.35707828402519226]"
135,1,50.74%,63.97%,0.8016,"[0.5514081120491028, 0.4485919177532196]"
136,1,51.09%,63.50%,0.8160,"[0.5577825903892517, 0.4422173798084259]"
137,0,50.72%,63.77%,0.5965,"[0.5507293343544006, 0.4492706060409546]"
138,1,51.08%,64.03%,0.5188,"[0.4047367572784424, 0.5952632427215576]"
139,1,51.43%,63.57%,0.7572,"[0.531036376953125, 0.468963623046875]"
140,0,51.06%,63.83%,0.4072,"[0.665510356426239, 0.334489643573761]"
141,0,50.70%,64.08%,0.5198,"[0.594646692276001, 0.4053533971309662]"
142,1,51.05%,63.64%,0.7602,"[0.5324320197105408, 0.46756798028945923]"
143,0,50.69%,63.89%,0.4106,"[0.6632553339004517, 0.33674463629722595]"
144,0,50.34%,64.14%,0.4267,"[0.6526719331741333, 0.3473280668258667]"
145,0,50.00%,64.38%,0.4079,"[0.6650475263595581, 0.3349525034427643]"
146,1,50.34%,64.63%,0.5117,"[0.40053460001945496, 0.5994653701782227]"
147,0,50.00%,64.86%,0.4158,"[0.6597900986671448, 0.3402099013328552]"
148,0,49.66%,65.10%,0.4074,"[0.6653512716293335, 0.33464866876602173]"
149,0,49.33%,65.33%,0.4298,"[0.6506428122520447, 0.34935709834098816]"
150,0,49.01%,65.56%,0.4507,"[0.6371736526489258, 0.36282631754875183]"
151,1,49.34%,65.13%,0.7655,"[0.534876823425293, 0.46512317657470703]"
152,1,49.67%,65.36%,0.6761,"[0.4913857877254486, 0.508614182472229]"
153,1,50.00%,64.94%,0.7544,"[0.529687225818634, 0.47031280398368835]"
154,1,50.32%,64.52%,0.7193,"[0.5129262208938599, 0.4870738089084625]"
155,0,50.00%,64.74%,0.3934,"[0.674757182598114, 0.32524287700653076]"
156,1,50.32%,64.33%,0.8035,"[0.5522223114967346, 0.447777658700943]"
157,0,50.00%,64.56%,0.4356,"[0.6468668580055237, 0.3531332015991211]"
158,0,49.69%,64.78%,0.5320,"[0.5874062180519104, 0.4125937521457672]"
159,0,49.38%,65.00%,0.4313,"[0.6496537923812866, 0.350346177816391]"
160,1,49.69%,65.22%,0.6822,"[0.4944894313812256, 0.5055105686187744]"
161,0,49.38%,65.43%,0.3986,"[0.6712405681610107, 0.32875946164131165]"
162,0,49.08%,65.64%,0.4336,"[0.6481449604034424, 0.3518551290035248]"
163,0,48.78%,65.85%,0.5292,"[0.5890665650367737, 0.41093340516090393]"
164,0,48.48%,66.06%,0.4344,"[0.6476390957832336, 0.35236093401908875]"
165,0,48.19%,66.27%,0.4032,"[0.6681467890739441, 0.3318531811237335]"
166,1,48.50%,65.87%,0.7802,"[0.5417081713676453, 0.4582918584346771]"
167,1,48.81%,65.48%,0.7334,"[0.5197107195854187, 0.4802892506122589]"
168,1,49.11%,65.09%,0.7206,"[0.5135544538497925, 0.4864455461502075]"
169,1,49.41%,64.71%,0.7224,"[0.5144217610359192, 0.4855782389640808]"
170,0,49.12%,64.91%,0.4094,"[0.6640608906745911, 0.33593907952308655]"
171,0,48.84%,65.12%,0.4017,"[0.6691997647285461, 0.3308001756668091]"
172,0,48.55%,65.32%,0.4081,"[0.6649429798126221, 0.3350570797920227]"
173,1,48.85%,65.52%,0.4625,"[0.3703176975250244, 0.6296823620796204]"
174,0,48.57%,65.71%,0.4048,"[0.6670939922332764, 0.3329060673713684]"
175,0,48.30%,65.91%,0.4177,"[0.6585730910301208, 0.34142690896987915]"
176,1,48.59%,65.54%,0.7097,"[0.5082242488861084, 0.491775780916214]"
177,1,48.88%,65.73%,0.4592,"[0.3681999742984772, 0.6318000555038452]"
178,1,49.16%,65.92%,0.4580,"[0.3674619793891907, 0.6325380206108093]"
179,0,48.89%,66.11%,0.3996,"[0.6705780029296875, 0.3294219970703125]"
180,1,49.17%,65.75%,0.7029,"[0.504843533039093, 0.4951564371585846]"
181,1,49.45%,65.38%,0.7179,"[0.5122028589248657, 0.4877971410751343]"
182,1,49.73%,65.57%,0.4759,"[0.37869560718536377, 0.6213043928146362]"
183,1,50.00%,65.22%,0.7335,"[0.5197809338569641, 0.4802190661430359]"
184,0,49.73%,65.41%,0.5013,"[0.6057159304618835, 0.3942841589450836]"
185,0,49.46%,65.59%,0.4393,"[0.6444706320762634, 0.3555293083190918]"
186,1,49.73%,65.24%,0.7655,"[0.5349016785621643, 0.46509841084480286]"
187,1,50.00%,64.89%,0.7537,"[0.5293897390365601, 0.47061023116111755]"
188,0,49.74%,65.08%,0.4043,"[0.6674673557281494, 0.332532674074173]"
189,1,50.00%,65.26%,0.4486,"[0.36149701476097107, 0.6385028958320618]"
190,1,50.26%,64.92%,0.7208,"[0.5136454701423645, 0.4863545894622803]"
191,1,50.52%,64.58%,0.7152,"[0.5109012722969055, 0.4890987277030945]"
192,1,50.78%,64.25%,0.7644,"[0.5343915224075317, 0.4656084179878235]"
193,0,50.52%,64.43%,0.3970,"[0.6723458170890808, 0.3276541531085968]"
194,0,50.26%,64.62%,0.6287,"[0.5332642793655396, 0.4667356312274933]"
195,0,50.00%,64.80%,0.3977,"[0.6718941330909729, 0.3281058967113495]"
196,0,49.75%,64.97%,0.3973,"[0.6721199750900269, 0.32787999510765076]"
197,0,49.49%,65.15%,0.3721,"[0.6892995834350586, 0.31070035696029663]"
198,0,49.25%,65.33%,0.6302,"[0.5324870347976685, 0.46751296520233154]"
199,1,49.50%,65.00%,0.7519,"[0.5285333395004272, 0.47146666049957275]"
200,0,49.25%,65.17%,0.4056,"[0.6666001081466675, 0.33339986205101013]"
201,1,49.50%,64.85%,0.7103,"[0.5084795355796814, 0.49152040481567383]"
202,1,49.75%,65.02%,0.3949,"[0.32626616954803467, 0.6737338304519653]"
203,1,50.00%,64.71%,0.7052,"[0.5060003399848938, 0.4939996600151062]"
204,1,50.24%,64.39%,0.7232,"[0.5148043632507324, 0.48519572615623474]"
205,0,50.00%,64.56%,0.5221,"[0.5932742953300476, 0.4067256450653076]"
206,1,50.24%,64.25%,0.7025,"[0.5046694278717041, 0.4953305721282959]"
207,0,50.00%,64.42%,0.4767,"[0.6208257079124451, 0.3791743218898773]"
208,0,49.76%,64.59%,0.3887,"[0.6779134273529053, 0.3220866024494171]"
209,0,49.52%,64.76%,0.3718,"[0.6895261406898499, 0.31047382950782776]"
210,0,49.29%,64.93%,0.4096,"[0.6639436483383179, 0.33605635166168213]"
211,0,49.06%,65.09%,0.6366,"[0.5291125774383545, 0.4708874225616455]"
212,1,49.30%,64.79%,0.7645,"[0.5344147682189941, 0.46558523178100586]"
213,0,49.07%,64.95%,0.3892,"[0.6776033639907837, 0.32239654660224915]"
214,0,48.84%,65.12%,0.3938,"[0.6744603514671326, 0.32553961873054504]"
215,0,48.61%,65.28%,0.3807,"[0.6833736300468445, 0.31662634015083313]"
216,1,48.85%,64.98%,0.7227,"[0.5145406126976013, 0.48545941710472107]"
217,0,48.62%,65.14%,0.3772,"[0.6857999563217163, 0.31419995427131653]"
218,0,48.40%,65.30%,0.3760,"[0.6865826845169067, 0.31341734528541565]"
219,1,48.64%,65.00%,0.7130,"[0.5098475813865662, 0.49015238881111145]"
220,0,48.42%,65.16%,0.3700,"[0.6907117962837219, 0.3092881441116333]"
221,1,48.65%,64.86%,0.7181,"[0.512340784072876, 0.48765918612480164]"
222,0,48.43%,65.02%,0.3853,"[0.6802524924278259, 0.3197475075721741]"
223,1,48.66%,65.18%,0.3989,"[0.3289295434951782, 0.6710704565048218]"
224,0,48.44%,65.33%,0.3856,"[0.680067241191864, 0.31993281841278076]"
225,1,48.67%,65.04%,0.8795,"[0.5850214958190918, 0.4149784743785858]"
226,0,48.46%,65.20%,0.5411,"[0.5820916891098022, 0.41790834069252014]"
227,1,48.68%,65.35%,0.3602,"[0.3024435341358185, 0.6975564360618591]"
228,1,48.91%,65.07%,0.9538,"[0.6147190928459167, 0.38528093695640564]"
229,0,48.70%,64.78%,0.6933,"[0.4999430179595947, 0.5000569820404053]"
230,1,48.92%,64.50%,0.7274,"[0.516858696937561, 0.4831412732601166]"
231,0,48.71%,64.66%,0.3988,"[0.671148955821991, 0.3288511037826538]"
232,0,48.50%,64.81%,0.3536,"[0.7021454572677612, 0.29785457253456116]"
233,1,48.72%,64.96%,0.3989,"[0.328921377658844, 0.671078622341156]"
234,0,48.51%,65.11%,0.5135,"[0.5983928442001343, 0.40160712599754333]"
235,0,48.31%,65.25%,0.3823,"[0.6822746396064758, 0.31772539019584656]"
236,1,48.52%,64.98%,0.6957,"[0.5012732148170471, 0.4987267553806305]"
237,1,48.74%,65.13%,0.6813,"[0.4940454661846161, 0.5059545040130615]"
238,0,48.54%,65.27%,0.4182,"[0.6582261919975281, 0.34177377820014954]"
239,0,48.33%,65.42%,0.6799,"[0.5066845417022705, 0.49331551790237427]"
240,0,48.13%,65.56%,0.3674,"[0.6925200819969177, 0.3074798882007599]"
241,1,48.35%,65.70%,0.6505,"[0.4782280921936035, 0.5217719674110413]"
242,1,48.56%,65.43%,0.7682,"[0.5361421704292297, 0.46385785937309265]"
243,0,48.36%,65.57%,0.3874,"[0.6788337826728821, 0.3211662769317627]"
244,1,48.57%,65.71%,0.3987,"[0.3288111984729767, 0.6711888313293457]"
245,0,48.37%,65.85%,0.3814,"[0.6829266548156738, 0.3170733153820038]"
246,0,48.18%,65.99%,0.4031,"[0.668222963809967, 0.33177700638771057]"
247,1,48.39%,66.13%,0.6922,"[0.4995260238647461, 0.5004740357398987]"
248,0,48.19%,66.27%,0.3967,"[0.6725612878799438, 0.32743868231773376]"
249,0,48.00%,66.40%,0.3628,"[0.6957441568374634, 0.30425581336021423]"
250,1,48.21%,66.14%,0.6989,"[0.502884030342102, 0.49711596965789795]"
251,1,48.41%,66.27%,0.6883,"[0.49756956100463867, 0.5024303793907166]"
252,0,48.22%,66.40%,0.3700,"[0.6907594799995422, 0.3092404901981354]"
253,1,48.43%,66.54%,0.3924,"[0.3245987892150879, 0.6754012107849121]"
254,1,48.63%,66.27%,0.6996,"[0.5032031536102295, 0.4967968165874481]"
255,1,48.83%,66.02%,0.8507,"[0.5728803277015686, 0.427119642496109]"
256,0,48.64%,66.15%,0.3821,"[0.6824577450752258, 0.31754225492477417]"
257,1,48.84%,65.89%,0.9026,"[0.5944763422012329, 0.4055236279964447]"
258,0,48.65%,66.02%,0.3837,"[0.6813196539878845, 0.3186803162097931]"
259,0,48.46%,66.15%,0.3644,"[0.694637656211853, 0.30536237359046936]"
260,1,48.66%,66.28%,0.3811,"[0.3169194757938385, 0.6830805540084839]"
261,0,48.47%,66.41%,0.3691,"[0.6913644075393677, 0.30863556265830994]"
262,1,48.67%,66.54%,0.3999,"[0.3295941948890686, 0.6704058051109314]"
263,0,48.48%,66.67%,0.3866,"[0.6793647408485413, 0.32063525915145874]"
264,1,48.68%,66.79%,0.6638,"[0.4851239323616028, 0.5148760676383972]"
265,0,48.50%,66.92%,0.4810,"[0.6181759834289551, 0.3818240165710449]"
266,1,48.69%,67.04%,0.6686,"[0.48756885528564453, 0.5124312043190002]"
267,1,48.88%,67.16%,0.4047,"[0.33281654119491577, 0.6671833992004395]"
268,1,49.07%,67.29%,0.6605,"[0.48342546820640564, 0.5165745615959167]"
269,0,48.89%,67.41%,0.3376,"[0.7134461998939514, 0.2865537703037262]"
270,0,48.71%,67.53%,0.3508,"[0.7041104435920715, 0.2958894968032837]"
271,1,48.90%,67.28%,0.9684,"[0.620316743850708, 0.3796831965446472]"
272,1,49.08%,67.40%,0.3906,"[0.32331955432891846, 0.6766803860664368]"
273,1,49.27%,67.15%,0.8821,"[0.5860908627510071, 0.4139091372489929]"
274,1,49.45%,66.91%,0.7165,"[0.511535108089447, 0.48846495151519775]"
275,1,49.64%,67.03%,0.6506,"[0.4782530665397644, 0.5217469334602356]"
276,1,49.82%,67.15%,0.3688,"[0.3084213137626648, 0.6915786862373352]"
277,0,49.64%,67.27%,0.4062,"[0.6662030220031738, 0.33379697799682617]"
278,0,49.46%,67.38%,0.3659,"[0.6935867071151733, 0.3064132630825043]"
279,1,49.64%,67.14%,0.7226,"[0.5145047903060913, 0.4854952096939087]"
280,1,49.82%,66.90%,0.7897,"[0.5460396409034729, 0.4539604187011719]"
281,1,50.00%,67.02%,0.6656,"[0.4860197603702545, 0.5139802098274231]"
282,1,50.18%,67.14%,0.6755,"[0.49107351899147034, 0.5089264512062073]"
283,1,50.35%,66.90%,0.7453,"[0.5253929495811462, 0.47460705041885376]"
284,1,50.53%,67.02%,0.4028,"[0.3315494954586029, 0.6684505343437195]"
285,1,50.70%,66.78%,0.6932,"[0.5000290274620056, 0.499970942735672]"
286,0,50.52%,66.90%,0.4060,"[0.6663033962249756, 0.333696573972702]"
287,0,50.35%,67.01%,0.4235,"[0.6547190546989441, 0.3452809751033783]"
288,0,50.17%,67.13%,0.4820,"[0.6175325512886047, 0.38246747851371765]"
289,0,50.00%,67.24%,0.4781,"[0.6199635863304138, 0.38003644347190857]"
290,0,49.83%,67.35%,0.3599,"[0.6977675557136536, 0.3022325038909912]"
291,1,50.00%,67.47%,0.6802,"[0.4934878349304199, 0.5065122246742249]"
292,0,49.83%,67.58%,0.3915,"[0.6760454177856445, 0.3239545524120331]"
293,1,50.00%,67.69%,0.3385,"[0.28712570667266846, 0.7128742933273315]"
294,0,49.83%,67.80%,0.3389,"[0.7125844359397888, 0.2874155342578888]"
295,0,49.66%,67.91%,0.3528,"[0.7027134895324707, 0.2972865104675293]"
296,1,49.83%,68.01%,0.3748,"[0.3125554919242859, 0.6874445080757141]"
297,0,49.66%,68.12%,0.4009,"[0.6697219014167786, 0.33027806878089905]"
298,0,49.50%,68.23%,0.3766,"[0.6861841082572937, 0.3138159513473511]"
299,1,49.67%,68.33%,0.3841,"[0.3189330995082855, 0.6810668706893921]"
300,0,49.50%,68.44%,0.4090,"[0.6643165349960327, 0.3356834650039673]"
301,1,49.67%,68.21%,0.7263,"[0.5163239240646362, 0.48367610573768616]"
302,1,49.83%,68.32%,0.6642,"[0.48533812165260315, 0.5146618485450745]"
303,1,50.00%,68.09%,0.9649,"[0.6189715266227722, 0.38102850317955017]"
304,0,49.84%,68.20%,0.5697,"[0.5657105445861816, 0.43428942561149597]"
305,0,49.67%,68.30%,0.3518,"[0.7034061551094055, 0.2965938150882721]"
306,1,49.84%,68.40%,0.6866,"[0.4967176616191864, 0.503282368183136]"
307,1,50.00%,68.51%,0.6328,"[0.46889933943748474, 0.5311006903648376]"
308,0,49.84%,68.61%,0.3824,"[0.6822525262832642, 0.3177475035190582]"
309,1,50.00%,68.39%,0.7292,"[0.5177198648452759, 0.48228010535240173]"
310,0,49.84%,68.49%,0.3678,"[0.6922516226768494, 0.30774837732315063]"
311,1,50.00%,68.27%,1.0099,"[0.6357417702674866, 0.3642582595348358]"
312,0,49.84%,68.37%,0.3940,"[0.6743297576904297, 0.3256703019142151]"
313,0,49.68%,68.47%,0.3466,"[0.7071208953857422, 0.2928790748119354]"
314,0,49.52%,68.57%,0.3648,"[0.6943663954734802, 0.3056335747241974]"
315,0,49.37%,68.67%,0.5044,"[0.6038442254066467, 0.39615580439567566]"
316,1,49.53%,68.77%,0.3605,"[0.3026668429374695, 0.6973331570625305]"
317,0,49.37%,68.87%,0.3933,"[0.6748347878456116, 0.3251652717590332]"
318,0,49.22%,68.97%,0.3635,"[0.6952634453773499, 0.30473652482032776]"
319,0,49.06%,69.06%,0.3431,"[0.709599494934082, 0.2904004454612732]"
320,1,49.22%,69.16%,0.6496,"[0.4777638018131256, 0.5222361087799072]"
321,1,49.38%,69.25%,0.6897,"[0.49827444553375244, 0.5017256140708923]"
322,0,49.23%,69.35%,0.3489,"[0.7054324746131897, 0.2945675253868103]"
323,1,49.38%,69.44%,0.6858,"[0.49629005789756775, 0.5037099123001099]"
324,1,49.54%,69.54%,0.6847,"[0.495758056640625, 0.504241943359375]"
325,0,49.39%,69.63%,0.4135,"[0.6613149046897888, 0.3386850953102112]"
326,1,49.54%,69.42%,0.8562,"[0.5752324461936951, 0.42476749420166016]"
327,0,49.39%,69.51%,0.3356,"[0.7149271965026855, 0.2850728929042816]"
328,0,49.24%,69.60%,0.4191,"[0.6576531529426575, 0.34234681725502014]"
329,1,49.39%,69.39%,0.7277,"[0.5169851183891296, 0.483014851808548]"
330,1,49.55%,69.49%,0.6760,"[0.4913502335548401, 0.5086498260498047]"
331,0,49.40%,69.58%,0.4016,"[0.6692355871200562, 0.33076438307762146]"
332,1,49.55%,69.67%,0.6501,"[0.47802501916885376, 0.5219749212265015]"
