round,ground_truth,correct_percentage,loss,prediction,agent0hw,agent1hw
43,2,2.27%,3.1678,19,0.050000001,0.949999988
44,12,2.22%,4.4069,3,0.050000001,0.949999988
45,18,2.17%,4.1279,11,0.050000001,0.949999988
46,7,2.13%,3.9958,11,0.050000001,0.949999988
47,15,2.08%,2.717,11,0.050000001,0.949999988
48,26,2.04%,2.6314,6,0.050000001,0.949999988
49,2,2.00%,2.3529,0,0.050000001,0.949999988
50,2,1.96%,3.2917,19,0.050000001,0.949999988
51,1,1.92%,4.23,0,0.050000001,0.949999988
52,11,1.89%,2.2505,2,0.050000001,0.949999988
53,7,1.85%,3.9967,11,0.050000001,0.949999988
54,25,1.82%,4.0408,11,0.050000001,0.949999988
55,9,1.79%,3.3653,11,0.050000001,0.949999988
56,11,3.51%,2.1176,11,0.050000001,0.949999988
57,20,3.45%,5.521,11,0.050000001,0.949999988
58,8,3.39%,3.1115,3,0.050000001,0.949999988
59,24,3.33%,2.8153,3,0.050000001,0.949999988
60,18,3.28%,3.1301,14,0.050000001,0.949999988
61,10,3.23%,3.3084,11,0.050000001,0.949999988
62,17,3.17%,3.2451,0,0.050000001,0.949999988
63,14,3.12%,2.5575,11,0.050000001,0.949999988
64,27,3.08%,4.1312,11,0.050000001,0.949999988
65,0,3.03%,2.8417,21,0.050000001,0.949999988
66,7,2.99%,3.9674,14,0.050000001,0.949999988
67,11,2.94%,2.9625,2,0.050000001,0.949999988
68,16,2.90%,3.5063,11,0.050000001,0.949999988
69,26,2.86%,2.4967,11,0.050000001,0.949999988
70,7,2.82%,3.5769,11,0.050000001,0.949999988
71,14,2.78%,2.4234,11,0.050000001,0.949999988
72,16,2.74%,3.4489,11,0.050000001,0.949999988
73,9,2.70%,2.8925,11,0.050000001,0.949999988
74,15,2.67%,2.6811,11,0.050000001,0.949999988
75,5,2.63%,3.3596,11,0.050000001,0.949999988
76,10,2.60%,3.4969,11,0.050000001,0.949999988
77,13,2.56%,2.5877,11,0.050000001,0.949999988
78,7,2.53%,3.3199,11,0.050000001,0.949999988
79,6,2.50%,3.9428,14,0.050000001,0.949999988
80,14,2.47%,3.102,11,0.050000001,0.949999988
81,7,2.44%,3.293,14,0.050000001,0.949999988
82,9,2.41%,3.1455,14,0.050000001,0.949999988
83,17,2.38%,2.603,11,0.050000001,0.949999988
84,9,2.35%,2.2895,14,0.050000001,0.949999988
85,0,2.33%,2.9546,21,0.050000001,0.949999988
86,12,2.30%,3.6579,3,0.050000001,0.949999988
87,3,2.27%,2.8217,0,0.050000001,0.949999988
88,0,2.25%,2.7053,21,0.050000001,0.949999988
89,27,2.22%,4.5113,14,0.050000001,0.949999988
90,1,2.20%,3.9082,0,0.050000001,0.949999988
91,8,2.17%,2.5331,24,0.050000001,0.949999988
92,25,2.15%,3.6795,11,0.050000001,0.949999988
93,10,2.13%,2.7394,11,0.050000001,0.949999988
94,26,2.11%,2.1034,0,0.050000001,0.949999988
95,11,2.08%,2.268,0,0.050000001,0.949999988
96,11,2.06%,2.3146,0,0.050000001,0.949999988
97,24,2.04%,2.8586,8,0.050000001,0.949999988
98,22,2.02%,3.5783,7,0.050000001,0.949999988
99,6,2.00%,3.7115,11,0.050000001,0.949999988
100,16,1.98%,3.4251,11,0.050000001,0.949999988
101,7,1.96%,3.2804,11,0.050000001,0.949999988
102,17,1.94%,2.5137,0,0.050000001,0.949999988
103,4,1.92%,4.0391,0,0.050000001,0.949999988
104,21,1.90%,3.4624,11,0.050000001,0.949999988
105,8,1.89%,2.7408,11,0.050000001,0.949999988
106,20,1.87%,3.2117,9,0.050000001,0.949999988
107,3,1.85%,2.4542,0,0.050000001,0.949999988
108,10,1.83%,2.8145,0,0.050000001,0.949999988
109,15,1.82%,2.6374,11,0.050000001,0.949999988
110,11,2.70%,2.0361,11,0.050000001,0.949999988
111,12,2.68%,3.4553,11,0.050000001,0.949999988
112,21,2.65%,3.4842,0,0.050000001,0.949999988
113,16,2.63%,3.0946,11,0.050000001,0.949999988
114,19,2.61%,5.1517,11,0.050000001,0.949999988
115,6,2.59%,3.7317,11,0.050000001,0.949999988
116,7,2.56%,3.0875,14,0.050000001,0.949999988
117,4,2.54%,4.0992,11,0.050000001,0.949999988
118,21,2.52%,3.2724,11,0.050000001,0.949999988
119,17,2.50%,3.1753,11,0.050000001,0.949999988
120,0,2.48%,2.8024,11,0.050000001,0.949999988
121,9,2.46%,2.0989,11,0.050000001,0.949999988
122,27,2.44%,4.841,3,0.050000001,0.949999988
123,1,2.42%,3.9081,11,0.050000001,0.949999988
124,26,2.40%,1.8538,0,0.050000001,0.949999988
125,3,2.38%,2.6471,0,0.050000001,0.949999988
126,6,2.36%,3.5618,11,0.050000001,0.949999988
127,10,2.34%,2.4172,11,0.050000001,0.949999988
128,15,3.10%,2.5065,15,0.050000001,0.949999988
129,6,3.08%,4.1892,14,0.050000001,0.949999988
130,15,3.05%,2.3818,2,0.050000001,0.949999988
131,27,3.03%,3.9691,11,0.050000001,0.949999988
132,16,3.01%,3.1741,21,0.050000001,0.949999988
133,14,3.73%,2.3758,14,0.050000001,0.949999988
134,8,3.70%,3.7654,3,0.050000001,0.949999988
135,9,3.68%,2.4569,14,0.050000001,0.949999988
136,25,3.65%,3.4457,2,0.050000001,0.949999988
137,23,3.62%,3.6611,2,0.050000001,0.949999988
138,3,3.60%,2.7394,11,0.050000001,0.949999988
139,18,3.57%,3.4819,21,0.050000001,0.949999988
140,15,4.26%,2.0655,15,0.050000001,0.949999988
141,17,4.23%,3.724,0,0.050000001,0.949999988
142,15,4.90%,2.1377,15,0.050000001,0.949999988
143,24,4.86%,2.8737,9,0.050000001,0.949999988
144,14,4.83%,2.7663,11,0.050000001,0.949999988
145,6,4.79%,3.2981,15,0.050000001,0.949999988
146,15,5.44%,1.9017,15,0.050000001,0.949999988
147,2,6.08%,2.8825,2,0.050000001,0.949999988
148,19,6.04%,3.5072,2,0.050000001,0.949999988
149,17,6.00%,2.9687,15,0.050000001,0.949999988
150,2,6.62%,2.9875,2,0.050000001,0.949999988
151,11,6.58%,4.4422,2,0.050000001,0.949999988
152,16,6.54%,2.9602,15,0.050000001,0.949999988
153,20,6.49%,5.0715,15,0.050000001,0.949999988
154,24,6.45%,2.978,9,0.050000001,0.949999988
155,15,7.05%,1.6148,15,0.050000001,0.949999988
156,16,7.01%,2.9378,21,0.050000001,0.949999988
157,19,6.96%,5.156,15,0.050000001,0.949999988
158,11,6.92%,3.5698,15,0.050000001,0.949999988
159,15,7.50%,1.5096,15,0.050000001,0.949999988
160,3,8.07%,2.9025,3,0.050000001,0.949999988
161,10,8.64%,2.229,10,0.050000001,0.949999988
162,12,8.59%,3.8012,15,0.050000001,0.949999988
163,24,8.54%,2.692,3,0.050000001,0.949999988
164,12,8.48%,4.5571,15,0.050000001,0.949999988
165,4,8.43%,4.2037,6,0.050000001,0.949999988
166,4,8.38%,4.0463,3,0.050000001,0.949999988
167,15,8.93%,1.7486,15,0.050000001,0.949999988
168,17,8.88%,3.0096,15,0.050000001,0.949999988
169,3,8.82%,2.3332,15,0.050000001,0.949999988
170,14,9.36%,2.7252,14,0.050000001,0.949999988
171,9,9.30%,2.3636,15,0.050000001,0.949999988
172,0,9.25%,2.7837,15,0.050000001,0.949999988
173,7,9.20%,3.7597,15,0.050000001,0.949999988
174,20,9.14%,2.7965,15,0.050000001,0.949999988
175,4,9.09%,3.8998,3,0.050000001,0.949999988
176,27,9.04%,3.8451,15,0.050000001,0.949999988
177,22,8.99%,3.121,15,0.050000001,0.949999988
178,9,9.50%,2.2766,9,0.050000001,0.949999988
179,4,9.44%,3.653,11,0.050000001,0.949999988
180,13,9.94%,3.5985,13,0.050000001,0.949999988
181,26,9.89%,3.4097,11,0.050000001,0.949999988
182,1,9.84%,3.582,15,0.050000001,0.949999988
183,7,9.78%,3.8235,11,0.050000001,0.949999988
184,3,9.73%,1.9581,11,0.050000001,0.949999988
185,5,9.68%,3.2409,14,0.050000001,0.949999988
186,21,9.63%,2.7144,9,0.050000001,0.949999988
187,12,9.57%,3.4408,15,0.050000001,0.949999988
188,26,9.52%,4.9271,9,0.050000001,0.949999988
189,21,9.47%,2.8829,9,0.050000001,0.949999988
190,2,9.95%,2.6012,2,0.050000001,0.949999988
191,8,9.90%,2.5199,11,0.050000001,0.949999988
192,15,10.36%,1.6185,15,0.050000001,0.949999988
193,21,10.31%,2.7377,9,0.050000001,0.949999988
194,12,10.26%,3.4126,15,0.050000001,0.949999988
195,26,10.20%,4.0082,3,0.050000001,0.949999988
196,1,10.15%,3.1698,15,0.050000001,0.949999988
197,15,10.61%,1.5104,15,0.050000001,0.949999988
198,5,10.55%,4.3454,14,0.050000001,0.949999988
199,7,10.50%,3.2244,11,0.050000001,0.949999988
200,2,10.45%,2.2003,15,0.050000001,0.949999988
201,18,10.40%,3.1685,21,0.050000001,0.949999988
202,11,10.34%,3.5,2,0.050000001,0.949999988
203,17,10.29%,2.482,15,0.050000001,0.949999988
204,6,10.24%,3.4253,15,0.050000001,0.949999988
205,18,10.19%,3.0536,15,0.050000001,0.949999988
206,21,10.14%,2.2812,9,0.050000001,0.949999988
207,17,10.10%,2.8411,15,0.050000001,0.949999988
208,8,10.05%,2.0281,26,0.050000001,0.949999988
209,16,10.00%,2.8794,15,0.050000001,0.949999988
210,13,9.95%,2.93,15,0.050000001,0.949999988
211,6,9.91%,3.2709,15,0.050000001,0.949999988
212,5,9.86%,4.3554,15,0.050000001,0.949999988
213,0,9.81%,2.8022,15,0.050000001,0.949999988
214,0,9.77%,3.2557,17,0.050000001,0.949999988
215,4,9.72%,3.4641,26,0.050000001,0.949999988
216,26,10.14%,1.7145,26,0.050000001,0.949999988
217,5,10.09%,3.1862,15,0.050000001,0.949999988
218,27,10.05%,3.3324,2,0.050000001,0.949999988
219,8,10.45%,2.9427,8,0.050000001,0.949999988
220,25,10.41%,3.023,2,0.050000001,0.949999988
221,22,10.36%,2.8085,2,0.050000001,0.949999988
222,17,10.31%,2.5879,15,0.050000001,0.949999988
223,10,10.71%,2.5295,10,0.050000001,0.949999988
224,11,10.67%,3.5293,15,0.050000001,0.949999988
225,8,11.06%,1.9948,8,0.050000001,0.949999988
226,6,11.01%,3.0405,15,0.050000001,0.949999988
227,24,10.96%,2.5501,8,0.050000001,0.949999988
228,9,10.92%,2.3213,7,0.050000001,0.949999988
229,27,10.87%,3.2554,15,0.050000001,0.949999988
230,2,10.82%,2.815,15,0.050000001,0.949999988
231,0,10.78%,2.5605,15,0.050000001,0.949999988
232,3,11.16%,2.3867,3,0.050000001,0.949999988
233,8,11.11%,2.7779,26,0.050000001,0.949999988
234,10,11.49%,2.5348,10,0.050000001,0.949999988
235,15,11.86%,1.3933,15,0.050000001,0.949999988
236,9,11.81%,2.4433,7,0.050000001,0.949999988
237,1,11.76%,3.4002,15,0.050000001,0.949999988
238,17,11.72%,2.6438,15,0.050000001,0.949999988
239,25,11.67%,3.0353,15,0.050000001,0.949999988
240,26,12.03%,3.1332,26,0.050000001,0.949999988
241,8,11.98%,2.611,15,0.050000001,0.949999988
242,14,11.93%,2.2551,15,0.050000001,0.949999988
243,17,11.89%,3.3348,15,0.050000001,0.949999988
244,26,12.24%,3.1919,26,0.050000001,0.949999988
245,6,12.20%,2.8469,15,0.050000001,0.949999988
246,4,12.15%,3.5041,8,0.050000001,0.949999988
247,16,12.10%,2.7625,21,0.050000001,0.949999988
248,3,12.45%,2.1883,3,0.050000001,0.949999988
249,16,12.40%,2.7171,21,0.050000001,0.949999988
250,4,12.35%,3.4468,26,0.050000001,0.949999988
251,10,12.70%,1.9798,10,0.050000001,0.949999988
252,1,12.65%,2.8754,15,0.050000001,0.949999988
253,1,12.60%,3.1989,15,0.050000001,0.949999988
254,4,12.55%,3.4409,8,0.050000001,0.949999988
255,10,12.89%,2.3493,10,0.050000001,0.949999988
256,27,12.84%,3.66,6,0.050000001,0.949999988
257,3,13.18%,2.4812,3,0.050000001,0.949999988
258,10,13.51%,2.2409,10,0.050000001,0.949999988
259,27,13.46%,3.3375,15,0.050000001,0.949999988
260,20,13.41%,4.2895,2,0.050000001,0.949999988
261,8,13.74%,1.8022,8,0.050000001,0.949999988
262,27,13.69%,3.3379,15,0.050000001,0.949999988
263,2,14.02%,1.6244,2,0.050000001,0.949999988
264,4,13.96%,3.2759,26,0.050000001,0.949999988
265,7,13.91%,2.9124,9,0.050000001,0.949999988
266,20,13.86%,2.848,9,0.050000001,0.949999988
267,7,14.18%,2.6744,7,0.050000001,0.949999988
268,15,14.50%,1.3346,15,0.050000001,0.949999988
269,24,14.44%,2.6601,8,0.050000001,0.949999988
270,16,14.39%,2.4393,21,0.050000001,0.949999988
271,10,14.71%,1.7922,10,0.050000001,0.949999988
272,3,15.02%,1.814,3,0.050000001,0.949999988
273,0,14.96%,3.1306,8,0.050000001,0.949999988
274,5,14.91%,3.0891,15,0.050000001,0.949999988
275,4,14.86%,2.9496,8,0.050000001,0.949999988
276,11,14.80%,3.2078,3,0.050000001,0.949999988
277,16,14.75%,2.6535,21,0.050000001,0.949999988
278,24,14.70%,2.0645,8,0.050000001,0.949999988
279,19,14.64%,5.2867,2,0.050000001,0.949999988
280,24,14.59%,2.2357,3,0.050000001,0.949999988
281,27,14.54%,2.6629,15,0.050000001,0.949999988
282,2,14.84%,1.5313,2,0.050000001,0.949999988
283,9,15.14%,2.3934,9,0.050000001,0.949999988
284,7,15.44%,2.4371,7,0.050000001,0.949999988
285,27,15.38%,2.6951,3,0.050000001,0.949999988
286,24,15.33%,1.9075,9,0.050000001,0.949999988
287,3,15.62%,1.505,3,0.050000001,0.949999988
288,25,15.57%,3.3454,15,0.050000001,0.949999988
289,27,15.52%,2.8652,9,0.050000001,0.949999988
290,23,15.46%,3.503,10,0.050000001,0.949999988
291,18,15.41%,4.1558,21,0.050000001,0.949999988
292,14,15.70%,2.7665,14,0.050000001,0.949999988
293,11,15.65%,3.7124,3,0.050000001,0.949999988
294,18,15.59%,4.2461,21,0.050000001,0.949999988
295,7,15.88%,2.4061,7,0.050000001,0.949999988
296,10,16.16%,1.4717,10,0.050000001,0.949999988
297,6,16.11%,3.5193,3,0.050000001,0.949999988
298,11,16.05%,2.8633,3,0.050000001,0.949999988
299,14,16.33%,2.397,14,0.050000001,0.949999988
300,27,16.28%,2.0707,15,0.050000001,0.949999988
301,21,16.56%,2.306,21,0.050000001,0.949999988
302,7,16.83%,2.2035,7,0.050000001,0.949999988
303,5,16.78%,2.4751,15,0.050000001,0.949999988
304,4,16.72%,2.4993,13,0.050000001,0.949999988
305,1,16.67%,2.9254,27,0.050000001,0.949999988
306,11,16.61%,2.6518,3,0.050000001,0.949999988
307,20,16.56%,4.4676,2,0.050000001,0.949999988
308,19,16.50%,2.7412,3,0.050000001,0.949999988
309,10,16.77%,2.1085,10,0.050000001,0.949999988
310,10,17.04%,1.8074,10,0.050000001,0.949999988
311,11,16.99%,2.7326,3,0.050000001,0.949999988
312,3,17.25%,1.6083,3,0.050000001,0.949999988
313,24,17.52%,1.5297,24,0.050000001,0.949999988
314,1,17.46%,3.2219,21,0.050000001,0.949999988
315,14,17.41%,2.5404,27,0.050000001,0.949999988
316,17,17.35%,2.7201,15,0.050000001,0.949999988
317,26,17.61%,1.5375,26,0.050000001,0.949999988
318,10,17.87%,1.2275,10,0.050000001,0.949999988
319,23,17.81%,3.0664,10,0.050000001,0.949999988
320,21,17.76%,2.2214,9,0.050000001,0.949999988
321,5,17.70%,2.1556,27,0.050000001,0.949999988
322,6,17.65%,2.899,27,0.050000001,0.949999988
323,9,17.90%,2.1114,9,0.050000001,0.949999988
324,22,17.85%,3.7986,27,0.050000001,0.949999988
325,0,17.79%,3.0912,3,0.050000001,0.949999988
326,16,17.74%,2.6196,5,0.050000001,0.949999988
327,17,17.99%,2.6177,17,0.050000001,0.949999988
328,26,17.93%,1.2082,3,0.050000001,0.949999988
329,17,17.88%,3.4666,15,0.050000001,0.949999988
330,11,17.82%,3.0846,3,0.050000001,0.949999988
331,0,17.77%,3.7032,21,0.050000001,0.949999988
332,16,17.72%,2.4081,21,0.050000001,0.949999988
333,1,17.66%,2.725,21,0.050000001,0.949999988
334,26,17.91%,1.3747,26,0.050000001,0.949999988
335,0,17.86%,3.2825,21,0.050000001,0.949999988
336,7,17.80%,3.5359,14,0.050000001,0.949999988
337,6,17.75%,3.042,15,0.050000001,0.949999988
338,13,17.70%,2.5727,7,0.050000001,0.949999988
339,3,17.94%,1.5827,3,0.050000001,0.949999988
340,19,17.89%,2.7983,15,0.050000001,0.949999988
341,17,17.84%,2.525,16,0.050000001,0.949999988
342,11,18.08%,2.1159,11,0.050000001,0.949999988
343,15,18.31%,1.7288,15,0.050000001,0.949999988
344,15,18.55%,1.3826,15,0.050000001,0.949999988
345,5,18.50%,3.4853,14,0.050000001,0.949999988
346,17,18.44%,2.1145,16,0.050000001,0.949999988
347,8,18.68%,1.9173,8,0.050000001,0.949999988
348,13,18.91%,2.9009,13,0.050000001,0.949999988
349,6,18.86%,2.6368,3,0.050000001,0.949999988
350,10,19.09%,1.1953,10,0.050000001,0.949999988
351,8,19.32%,1.8268,8,0.050000001,0.949999988
352,7,19.55%,1.8998,7,0.050000001,0.949999988
353,6,19.49%,2.7218,15,0.050000001,0.949999988
354,8,19.72%,1.8119,8,0.050000001,0.949999988
355,0,19.94%,2.3789,0,0.050000001,0.949999988
356,16,19.89%,2.516,11,0.050000001,0.949999988
357,14,20.11%,1.6895,14,0.050000001,0.949999988
358,1,20.06%,2.6629,21,0.050000001,0.949999988
359,27,20.00%,2.5269,15,0.050000001,0.949999988
360,6,20.22%,2.5937,6,0.050000001,0.949999988
361,0,20.17%,2.2753,17,0.050000001,0.949999988
362,27,20.11%,2.4696,15,0.050000001,0.949999988
363,10,20.33%,1.1589,10,0.050000001,0.949999988
364,10,20.55%,0.9508,10,0.050000001,0.949999988
365,9,20.77%,1.9386,9,0.050000001,0.949999988
366,17,20.71%,1.9599,15,0.050000001,0.949999988
367,16,20.92%,2.1508,16,0.050000001,0.949999988
368,21,21.14%,2.1075,21,0.050000001,0.949999988
369,21,21.35%,1.8889,21,0.050000001,0.949999988
370,7,21.56%,1.622,7,0.050000001,0.949999988
371,22,21.51%,2.3855,2,0.050000001,0.949999988
372,1,21.45%,2.6139,8,0.050000001,0.949999988
373,1,21.66%,1.9834,1,0.050000001,0.949999988
374,4,21.60%,2.7957,8,0.050000001,0.949999988
375,11,21.54%,2.7172,3,0.050000001,0.949999988
376,2,21.75%,1.4795,2,0.050000001,0.949999988
377,2,21.96%,1.5779,2,0.050000001,0.949999988
378,8,22.16%,1.3315,8,0.050000001,0.949999988
379,26,22.11%,1.1166,8,0.050000001,0.949999988
380,26,22.31%,1.2371,26,0.050000001,0.949999988
381,9,22.25%,2.5802,14,0.050000001,0.949999988
382,0,22.45%,2.3529,0,0.050000001,0.949999988
383,17,22.66%,2.1739,17,0.050000001,0.949999988
384,0,22.86%,2.0455,0,0.050000001,0.949999988
385,12,22.80%,3.5248,2,0.050000001,0.949999988
386,14,22.74%,3.6727,1,0.050000001,0.949999988
387,9,22.94%,1.7815,9,0.050000001,0.949999988
388,15,23.14%,1.3838,15,0.050000001,0.949999988
389,24,23.33%,1.4393,24,0.050000001,0.949999988
390,7,23.53%,1.4842,7,0.050000001,0.949999988
391,18,23.47%,3.2767,1,0.050000001,0.949999988
392,23,23.41%,3,10,0.050000001,0.949999988
393,15,23.60%,1.5049,15,0.050000001,0.949999988
394,22,23.54%,2.1421,2,0.050000001,0.949999988
395,24,23.48%,2.4215,8,0.050000001,0.949999988
396,4,23.43%,2.6539,7,0.050000001,0.949999988
397,7,23.62%,1.7284,7,0.050000001,0.949999988
398,21,23.81%,1.8648,21,0.050000001,0.949999988
399,15,24.00%,1.4493,15,0.050000001,0.949999988
400,27,23.94%,2.2763,15,0.050000001,0.949999988
401,27,23.88%,2.5778,15,0.050000001,0.949999988
402,13,24.07%,3.5243,13,0.050000001,0.949999988
403,16,24.01%,2.1677,21,0.050000001,0.949999988
404,5,23.95%,3.5276,15,0.050000001,0.949999988
405,16,23.89%,2.0686,21,0.050000001,0.949999988
406,24,24.08%,1.7829,24,0.050000001,0.949999988
407,7,24.26%,1.3513,7,0.050000001,0.949999988
408,8,24.45%,1.2835,8,0.050000001,0.949999988
409,16,24.63%,2.2092,16,0.050000001,0.949999988
410,3,24.82%,1.5386,3,0.050000001,0.949999988
411,1,25.00%,1.9662,1,0.050000001,0.949999988
412,14,24.94%,2.0135,15,0.050000001,0.949999988
413,8,25.12%,1.1771,8,0.050000001,0.949999988
414,10,25.30%,0.9594,10,0.050000001,0.949999988
415,6,25.48%,2.3491,6,0.050000001,0.949999988
416,1,25.66%,1.3536,1,0.050000001,0.949999988
417,1,25.84%,1.9852,1,0.050000001,0.949999988
418,4,25.78%,2.4962,7,0.050000001,0.949999988
419,24,25.71%,1.1938,9,0.050000001,0.949999988
420,1,25.89%,1.8053,1,0.050000001,0.949999988
421,16,26.07%,1.7524,16,0.050000001,0.949999988
422,10,26.24%,0.7033,10,0.050000001,0.949999988
423,15,26.42%,1.2344,15,0.050000001,0.949999988
424,21,26.59%,1.7161,21,0.050000001,0.949999988
425,9,26.76%,1.9521,9,0.050000001,0.949999988
426,5,26.70%,2.2515,14,0.050000001,0.949999988
427,1,26.87%,1.4831,1,0.050000001,0.949999988
428,10,27.04%,0.8543,10,0.050000001,0.949999988
429,6,27.21%,2.1107,6,0.050000001,0.949999988
430,15,27.38%,1.1694,15,0.050000001,0.949999988
431,21,27.55%,1.6551,21,0.050000001,0.949999988
432,8,27.71%,1.0743,8,0.050000001,0.949999988
433,5,27.65%,2.9545,14,0.050000001,0.949999988
434,26,27.82%,1.1913,26,0.050000001,0.949999988
435,2,27.98%,1.5031,2,0.050000001,0.949999988
436,19,27.92%,4.3396,15,0.050000001,0.949999988
437,10,28.08%,0.5647,10,0.050000001,0.949999988
438,22,28.02%,2.742,2,0.050000001,0.949999988
439,25,27.95%,2.882,15,0.050000001,0.949999988
440,17,27.89%,2.0003,15,0.050000001,0.949999988
441,2,28.05%,1.7906,2,0.050000001,0.949999988
442,9,28.22%,1.7302,9,0.050000001,0.949999988
443,5,28.15%,1.9986,6,0.050000001,0.949999988
444,4,28.09%,2.379,7,0.050000001,0.949999988
445,3,28.25%,1.7078,3,0.050000001,0.949999988
446,0,28.41%,1.8545,0,0.050000001,0.949999988
447,14,28.35%,2.1546,1,0.050000001,0.949999988
448,5,28.51%,1.9406,5,0.050000001,0.949999988
449,4,28.44%,1.988,7,0.050000001,0.949999988
450,9,28.60%,1.5161,9,0.050000001,0.949999988
451,4,28.54%,2.4447,7,0.050000001,0.949999988
452,18,28.48%,3.4188,21,0.050000001,0.949999988
453,26,28.63%,1.8294,26,0.050000001,0.949999988
454,12,28.57%,3.3671,26,0.050000001,0.949999988
455,1,28.73%,1.4959,1,0.050000001,0.949999988
456,11,28.67%,2.2317,3,0.050000001,0.949999988
457,1,28.82%,1.0561,1,0.050000001,0.949999988
458,12,28.76%,2.8868,27,0.050000001,0.949999988
459,9,28.91%,1.4371,9,0.050000001,0.949999988
460,26,29.07%,1.2185,26,0.050000001,0.949999988
461,8,29.22%,1.0675,8,0.050000001,0.949999988
462,17,29.37%,2.3459,17,0.050000001,0.949999988
463,16,29.53%,1.6212,16,0.050000001,0.949999988
464,5,29.68%,2.2701,5,0.050000001,0.949999988
465,4,29.83%,1.6543,4,0.050000001,0.949999988
466,5,29.98%,1.9739,5,0.050000001,0.949999988
467,8,30.13%,0.9674,8,0.050000001,0.949999988
468,26,30.28%,0.8299,26,0.050000001,0.949999988
469,0,30.43%,2.0767,0,0.050000001,0.949999988
470,8,30.57%,0.9521,8,0.050000001,0.949999988
471,2,30.72%,1.1944,2,0.050000001,0.949999988
472,6,30.66%,2.1378,15,0.050000001,0.949999988
473,7,30.80%,1.4436,7,0.050000001,0.949999988
474,4,30.74%,1.8499,7,0.050000001,0.949999988
475,14,30.88%,2.3979,14,0.050000001,0.949999988
476,5,31.03%,2.2532,5,0.050000001,0.949999988
477,3,31.17%,1.4322,3,0.050000001,0.949999988
478,21,31.32%,1.5966,21,0.050000001,0.949999988
479,11,31.25%,2.4696,2,0.050000001,0.949999988
480,6,31.39%,1.9427,6,0.050000001,0.949999988
481,27,31.33%,2.3541,15,0.050000001,0.949999988
482,2,31.47%,1.02,2,0.050000001,0.949999988
483,18,31.40%,2.8901,5,0.050000001,0.949999988
484,25,31.34%,2.4559,15,0.050000001,0.949999988
485,14,31.28%,1.6341,1,0.050000001,0.949999988
486,4,31.42%,1.6336,4,0.050000001,0.949999988
487,5,31.56%,1.7107,5,0.050000001,0.949999988
488,3,31.70%,1.3841,3,0.050000001,0.949999988
489,8,31.84%,1.0014,8,0.050000001,0.949999988
490,4,31.98%,1.6495,4,0.050000001,0.949999988
491,1,32.11%,1.832,1,0.050000001,0.949999988
492,25,32.05%,2.5819,2,0.050000001,0.949999988
493,19,31.98%,3.9172,2,0.050000001,0.949999988
494,4,32.12%,1.3871,4,0.050000001,0.949999988
495,26,32.26%,1.254,26,0.050000001,0.949999988
496,12,32.19%,3.8351,2,0.050000001,0.949999988
497,23,32.13%,2.626,10,0.050000001,0.949999988
498,7,32.26%,1.7677,7,0.050000001,0.949999988
