round,ground_truth,agent0_pred,agent1_pred,hedge0,hedge1,fused_B0_pred,acc_B0,fused_M1_pred,acc_M1,cos_sim_beliefs
52,21,21,24,0.599043608,0.400956422,21,1,21,1,0.367094606
53,26,8,26,0.620378613,0.379621387,8,0,8,0,0.047916062
54,20,20,15,0.571297169,0.428702831,20,1,20,1,0.581806064
55,27,14,27,0.587688446,0.412311524,27,1,17,0,0.188182116
56,8,8,8,0.507848501,0.492151469,8,1,8,1,0.974621773
57,6,6,6,0.50329113,0.49670887,6,1,6,1,0.925241709
58,14,14,1,0.509812415,0.490187615,14,1,14,1,0.246673718
59,0,0,0,0.535420835,0.464579135,0,1,0,1,0.999903619
60,6,6,6,0.535178721,0.464821309,6,1,6,1,0.934291422
61,26,26,26,0.532251894,0.467748106,26,1,26,1,0.999999523
62,7,17,7,0.532236993,0.467762977,7,1,7,1,0.602656186
63,3,3,10,0.527745247,0.472254783,3,1,10,0,0.02872568
64,7,7,27,0.58405906,0.41594097,7,1,7,1,0.026718697
65,5,5,5,0.65364778,0.34635222,5,1,5,1,0.797465205
66,15,15,15,0.660112679,0.339887351,15,1,15,1,0.896264613
67,4,13,13,0.655066311,0.344933689,13,0,13,0,0.986242652
68,16,12,21,0.607070029,0.392929941,12,0,12,0,0.252962857
69,1,5,1,0.626636326,0.373363674,1,1,1,1,0.393120795
70,7,7,26,0.60580492,0.39419508,7,1,7,1,0.248893589
71,0,0,0,0.629074931,0.370925099,0,1,0,1,0.999992728
72,1,5,1,0.628977418,0.371022582,5,0,5,0,0.062606148
73,13,10,20,0.593748987,0.406250983,10,0,10,0,0.126983747
74,21,21,21,0.632995248,0.367004722,21,1,21,1,0.999966085
75,15,15,15,0.63317734,0.36682263,15,1,15,1,0.998996913
76,5,5,5,0.634303272,0.365696728,5,1,5,1,0.979585826
77,22,22,25,0.631629825,0.368370146,22,1,25,0,0.009809922
78,4,4,4,0.696559727,0.303440273,4,1,4,1,0.998036861
79,26,26,26,0.696187317,0.303812683,26,1,26,1,0.999991357
80,0,0,0,0.696313262,0.303686738,0,1,0,1,0.999494433
81,4,4,4,0.696262658,0.303737342,4,1,4,1,0.988554478
82,5,7,1,0.694459498,0.305540502,1,0,7,0,0.222220063
83,1,5,1,0.686749995,0.313249975,5,0,1,1,0.094081245
84,15,15,15,0.65594393,0.34405607,15,1,15,1,0.997704923
85,21,21,21,0.654086053,0.345913947,21,1,21,1,0.972059369
86,0,0,0,0.65685904,0.34314096,0,1,0,1,0.999998927
87,20,20,15,0.656814039,0.343185961,20,1,20,1,0.064947806
88,16,16,16,0.691925466,0.308074534,16,1,16,1,0.999987721
89,16,16,16,0.691959858,0.308040172,16,1,22,0,0.589337587
90,22,18,25,0.689652324,0.310347676,18,0,18,0,0.108022541
91,1,5,22,0.66506654,0.33493343,5,0,19,0,0.173427343
92,17,14,14,0.652712703,0.347287297,14,0,14,0,0.932276428
93,6,6,6,0.687360108,0.312639892,6,1,6,1,0.906894505
94,4,3,4,0.687078059,0.312921971,4,1,4,1,0.122337386
95,16,16,25,0.654722333,0.345277667,16,1,25,0,0.381605595
96,27,27,27,0.675195217,0.324804783,27,1,27,1,0.999767244
97,7,7,7,0.675112963,0.324887007,7,1,7,1,0.999957323
98,6,3,11,0.675133884,0.324866116,3,0,11,0,0.349065632
99,27,1,27,0.680445611,0.319554389,1,0,1,0,0.150805384
100,27,9,27,0.651273131,0.348726839,27,1,27,1,0.752656758
101,25,25,25,0.643851757,0.356148243,25,1,25,1,0.973203063
102,6,3,3,0.648116589,0.351883411,3,0,6,1,0.894737899
103,21,21,21,0.650530517,0.349469483,21,1,21,1,0.99929136
104,5,5,5,0.65000701,0.349992961,5,1,5,1,0.980668247
105,4,4,20,0.646474838,0.353525192,4,1,4,1,0.045058858
106,18,18,1,0.691995263,0.308004737,18,1,19,0,0.29025799
107,2,2,2,0.696057916,0.303942055,2,1,2,1,0.989366889
108,16,16,16,0.692286491,0.307713538,16,1,16,1,0.976349115
109,27,17,14,0.694925189,0.305074781,14,0,17,0,0.633535326
110,15,15,15,0.693047345,0.306952655,15,1,15,1,0.99990505
111,1,1,1,0.693350554,0.306649446,1,1,1,1,0.998882771
112,6,6,3,0.694154739,0.305845261,6,1,6,1,0.648923218
113,19,19,19,0.701927602,0.298072368,19,1,19,1,0.991961777
114,16,0,16,0.703938305,0.296061695,16,1,5,0,0.058039896
115,9,9,9,0.662133157,0.337866843,9,1,9,1,0.895647764
116,14,27,14,0.666423738,0.333576292,27,0,14,1,0.145696431
117,27,8,27,0.623037636,0.376962334,27,1,27,1,0.487855762
118,17,17,9,0.614148557,0.385851413,17,1,17,1,0.200471446
119,3,3,3,0.639694631,0.360305369,3,1,3,1,0.961695552
120,2,2,2,0.644489467,0.355510503,2,1,2,1,0.996094346
121,27,17,27,0.644503355,0.355496615,17,0,17,0,0.280782938
122,0,0,0,0.612030685,0.387969285,0,1,0,1,0.999988139
123,9,27,9,0.611952722,0.388047278,9,1,9,1,0.819794357
124,25,25,25,0.605185986,0.394813985,25,1,25,1,0.814016461
125,8,8,8,0.611821175,0.388178825,8,1,8,1,0.954547763
126,12,12,12,0.606960773,0.393039227,12,1,12,1,0.781809151
127,26,26,26,0.597414672,0.402585298,26,1,26,1,0.976455092
128,7,0,27,0.602351069,0.397648901,0,0,0,0,0.129898444
129,0,0,0,0.595838368,0.404161632,0,1,0,1,0.999894261
130,25,25,25,0.5955984,0.40440163,25,1,25,1,0.90429008
131,26,26,26,0.600960135,0.399039865,26,1,26,1,0.999999464
132,17,0,9,0.600923479,0.399076521,0,0,0,0,0.03785437
133,2,21,2,0.531833708,0.468166262,2,1,2,1,0.0151072
134,9,5,9,0.471976519,0.528023481,9,1,9,1,0.14590317
135,5,26,1,0.428605527,0.571394444,26,0,1,0,0.082824357
136,3,3,1,0.428825349,0.571174622,3,1,1,0,0.057503689
137,25,25,19,0.469846487,0.530153513,25,1,25,1,0.179022878
138,7,5,7,0.501801729,0.498198241,7,1,7,1,0.361605167
139,21,21,6,0.480309665,0.519690335,21,1,21,1,0.210238233
140,14,14,14,0.503939986,0.496060044,14,1,14,1,0.995107114
141,9,9,9,0.504300117,0.495699912,9,1,9,1,0.572145879
142,2,2,2,0.487768173,0.512231827,2,1,2,1,0.969814599
143,19,19,19,0.492028564,0.507971406,19,1,19,1,0.622001767
144,4,4,13,0.477706581,0.522293389,13,0,13,0,0.250549585
145,14,14,14,0.526058257,0.473941714,14,1,14,1,0.99529165
146,7,7,7,0.525104046,0.474895924,7,1,7,1,0.956353903
147,3,3,15,0.520323098,0.479676872,3,1,15,0,0.007193355
148,7,7,8,0.581116199,0.418883801,8,0,8,0,0.249064162
149,12,12,12,0.599024117,0.400975883,12,1,12,1,0.946974456
150,4,4,13,0.594883502,0.405116528,4,1,4,1,0.215671197
151,10,10,24,0.617877245,0.382122755,10,1,10,1,0.21590817
152,10,10,24,0.638299048,0.361700922,10,1,10,1,0.562070489
153,26,26,26,0.655724585,0.344275445,26,1,26,1,0.994450986
154,15,11,15,0.657661557,0.342338473,11,0,11,0,0.196401596
155,7,8,17,0.615886509,0.384113491,8,0,8,0,0.121648766
156,21,9,21,0.62308985,0.37691015,21,1,21,1,0.40137738
157,5,5,5,0.604818046,0.395181954,5,1,5,1,0.984737337
158,25,25,25,0.601221979,0.398777992,25,1,25,1,0.991773248
159,11,21,11,0.602746069,0.397253931,11,1,11,1,0.314666629
160,18,18,25,0.586435854,0.413564175,18,1,25,0,0.467066824
161,12,5,12,0.582159519,0.417840481,12,1,12,1,0.561180651
162,24,24,24,0.567075133,0.432924837,24,1,24,1,0.918336272
163,21,21,21,0.571867168,0.428132802,21,1,21,1,0.999946535
164,0,0,0,0.571806848,0.428193152,0,1,0,1,0.998167574
165,17,17,9,0.570946753,0.429053247,17,1,17,1,0.639497221
166,24,24,25,0.582009375,0.417990625,24,1,25,0,0.06890776
167,15,15,15,0.618565738,0.381434232,15,1,15,1,0.999774814
168,5,1,1,0.618255794,0.381744206,1,0,1,0,0.775797367
169,1,5,1,0.656078577,0.343921453,1,1,1,1,0.622021198
170,10,10,10,0.64502871,0.354971319,10,1,10,1,0.999807537
171,14,14,14,0.645287693,0.354712307,14,1,14,1,0.820829988
172,14,14,14,0.639791131,0.360208899,14,1,14,1,0.93376106
173,14,14,14,0.636605203,0.363394827,14,1,14,1,0.994086385
174,22,2,16,0.635649383,0.364350647,16,0,22,1,0.019761259
175,24,24,25,0.679930627,0.320069402,24,1,25,0,0.208710179
176,13,13,11,0.699481547,0.300518483,13,1,13,1,0.22874403
177,1,14,1,0.717559278,0.282440752,14,0,14,0,0.010854348
178,4,4,4,0.661231041,0.338768989,4,1,4,1,0.83015126
179,6,6,6,0.667795539,0.332204461,6,1,6,1,0.989696383
180,5,5,5,0.670083463,0.329916537,5,1,5,1,0.903211474
181,0,0,0,0.663151801,0.336848199,0,1,0,1,0.999420881
182,4,4,4,0.662200868,0.337799102,4,1,4,1,0.999996722
183,8,8,8,0.662213981,0.337786019,8,1,8,1,0.996720552
184,2,23,2,0.660953641,0.339046359,23,0,2,1,0.017512323
185,15,15,15,0.610333741,0.389666229,15,1,15,1,0.996469617
186,3,3,15,0.612206578,0.387793422,3,1,3,1,0.027183831
187,15,15,15,0.659264386,0.340735614,15,1,15,1,0.999721467
188,9,9,9,0.659765601,0.340234399,9,1,9,1,0.777447641
189,24,24,10,0.65212059,0.34787941,24,1,24,1,0.497638881
190,6,4,4,0.664813459,0.335186541,4,0,4,0,0.783455789
191,10,10,10,0.692374587,0.307625413,10,1,10,1,0.999996424
192,19,19,19,0.692409515,0.307590485,19,1,19,1,0.697683871
193,5,19,5,0.704137862,0.295862108,19,0,5,1,0.10006053
194,15,15,15,0.677775621,0.322224349,15,1,15,1,0.964700699
195,17,17,17,0.679140449,0.320859551,17,1,17,1,0.990544975
196,21,21,21,0.679874539,0.32012549,21,1,21,1,0.99990803
197,7,26,7,0.679622948,0.320377082,26,0,7,1,0.137108594
198,21,21,21,0.661212742,0.338787258,21,1,21,1,0.999844313
199,21,21,21,0.66155982,0.33844021,21,1,21,1,0.776836038
200,7,7,7,0.655602932,0.344397098,7,1,7,1,0.938902378
201,25,25,25,0.658248067,0.341751963,25,1,25,1,0.75826025
202,14,14,14,0.669227004,0.330772996,14,1,14,1,0.993787706
203,23,23,19,0.670366347,0.329633623,23,1,18,0,0.345598966
204,20,3,3,0.692460895,0.307539105,3,0,3,0,0.898316801
205,24,24,24,0.674936891,0.325063139,24,1,24,1,0.853079975
206,14,14,14,0.681806862,0.318193167,14,1,14,1,0.977611721
207,8,22,16,0.679570615,0.320429385,22,0,22,0,0.006164952
208,18,18,23,0.651443303,0.348556697,18,1,18,1,0.303317934
209,13,21,13,0.671357572,0.328642458,13,1,13,1,0.438621819
210,25,25,25,0.659276724,0.340723276,25,1,25,1,0.788948238
211,15,15,15,0.668229878,0.331770152,15,1,15,1,0.997478008
212,11,11,11,0.669698656,0.330301374,11,1,11,1,0.923781335
213,7,1,26,0.675718963,0.324281037,1,0,1,0,0.007302087
214,15,15,20,0.607861757,0.392138243,15,1,15,1,0.106857419
215,22,22,25,0.643634737,0.356365263,22,1,25,0,0.317089766
216,23,12,23,0.661813319,0.338186651,23,1,12,0,0.038938552
217,26,26,26,0.612210095,0.387789905,26,1,26,1,1
218,1,1,1,0.612212718,0.387787312,1,1,1,1,0.798406899
219,7,7,7,0.604619503,0.395380497,7,1,7,1,0.977433622
220,21,21,21,0.601352155,0.398647815,21,1,21,1,0.987673938
221,25,25,25,0.603495121,0.396504879,25,1,25,1,0.836862206
222,11,11,16,0.609521508,0.390478462,11,1,11,1,0.211313248
223,8,17,8,0.648685038,0.351314962,8,1,8,1,0.038638409
224,24,0,10,0.602114201,0.397885799,24,1,24,1,0.315001369
225,3,3,20,0.600764334,0.399235696,3,1,3,1,0.299277067
226,7,12,26,0.626343846,0.373656183,12,0,7,1,0.188712761
227,15,11,15,0.611163676,0.388836324,15,1,15,1,0.373234361
228,8,26,27,0.592792511,0.407207519,26,0,26,0,0.368648559
229,26,26,27,0.576915264,0.423084736,26,1,26,1,0.06701488
230,16,16,16,0.619729996,0.380270034,16,1,16,1,0.927710235
231,12,12,12,0.625900269,0.374099702,12,1,12,1,0.993606806
232,27,27,14,0.623463213,0.376536816,27,1,27,1,0.522884786
233,4,4,4,0.635764956,0.364235044,4,1,4,1,0.881632984
234,4,4,4,0.628966749,0.371033281,4,1,4,1,0.729448795
235,15,15,15,0.616976798,0.383023232,15,1,15,1,0.894136548
236,26,26,26,0.624297559,0.375702471,26,1,26,1,0.999994934
237,17,27,27,0.624182522,0.375817508,27,0,27,0,0.917646646
238,25,25,25,0.60882014,0.39117986,25,1,25,1,0.983680308
239,10,10,10,0.602859139,0.39714089,10,1,10,1,0.923724949
240,5,26,5,0.600951076,0.399048924,26,0,1,0,0.217779994
241,27,8,9,0.569758356,0.430241615,9,0,9,0,0.033936825
242,17,17,27,0.529406786,0.470593214,27,0,27,0,0.033986829
243,20,20,15,0.552027881,0.447972089,20,1,20,1,0.205283463
244,11,11,13,0.579893529,0.420106471,11,1,11,1,0.022854399
245,14,27,14,0.629329324,0.370670676,14,1,14,1,0.307863235
246,22,18,2,0.61167407,0.38832593,18,0,18,0,0.518368661
247,21,21,21,0.601093173,0.398906857,21,1,21,1,0.7265203
248,13,13,13,0.60901624,0.39098379,13,1,13,1,0.977921724
249,14,14,14,0.611573279,0.388426721,14,1,14,1,0.963204503
250,20,20,6,0.607675552,0.392324477,20,1,20,1,0.231181458
251,1,1,5,0.626070917,0.373929054,1,1,5,0,0.579260051
252,5,5,5,0.63337338,0.36662659,5,1,5,1,0.819886684
253,15,15,15,0.623735785,0.376264215,15,1,15,1,0.992065072
254,2,4,2,0.626941264,0.373058707,2,1,2,1,0.077185996
255,17,27,9,0.587409616,0.412590355,27,0,9,0,0.066719405
256,18,18,18,0.542522132,0.457477868,18,1,25,0,0.715306759
257,15,15,15,0.537807047,0.462192953,15,1,15,1,0.999998391
258,4,4,4,0.53784889,0.46215108,4,1,4,1,0.994067252
259,2,23,2,0.540557742,0.459442258,23,0,2,1,0.001615651
260,14,14,14,0.450865746,0.549134254,14,1,14,1,0.722716689
261,16,5,16,0.448740482,0.551259518,16,1,5,0,0.29617703
262,21,21,21,0.428787917,0.571212053,21,1,21,1,0.999993503
263,14,6,27,0.428704083,0.571295917,27,0,27,0,0.072764695
264,4,4,11,0.39721787,0.60278213,4,1,4,1,0.638653517
265,10,10,10,0.410728812,0.589271188,10,1,10,1,0.970210969
266,16,21,16,0.409769863,0.590230167,16,1,16,1,0.259099185
267,17,17,14,0.378489465,0.621510506,17,1,17,1,0.161209881
268,17,17,17,0.406454712,0.593545258,17,1,17,1,0.998245001
269,3,3,3,0.404971242,0.595028758,3,1,3,1,0.966177046
270,11,20,20,0.408185899,0.591814101,20,0,20,0,0.960507333
271,7,7,14,0.393125921,0.606874108,14,0,7,1,0.04673266
272,2,2,25,0.441332877,0.558667123,25,0,25,0,0.591265082
273,7,8,7,0.4895854,0.5104146,7,1,7,1,0.741837859
274,3,3,6,0.479305744,0.520694256,3,1,3,1,0.257328898
275,8,14,8,0.502675712,0.497324258,8,1,27,0,0.269678265
276,27,27,9,0.47445038,0.525549591,27,1,9,0,0.362559348
277,17,17,17,0.48938182,0.51061815,17,1,17,1,0.993196845
278,2,2,2,0.490560651,0.509439349,2,1,2,1,0.997984886
279,27,7,27,0.488252074,0.511747956,27,1,7,0,0.044153575
280,5,5,5,0.444291562,0.555708468,5,1,5,1,0.83599323
281,7,7,7,0.434620291,0.565379739,7,1,7,1,0.961856008
282,8,5,16,0.431423426,0.568576574,16,0,5,0,0.03136437
283,0,0,0,0.396804631,0.603195369,0,1,0,1,1
284,14,14,14,0.396805823,0.603194177,14,1,14,1,0.789219856
285,9,9,9,0.408285052,0.591714919,9,1,9,1,0.625628531
286,15,0,15,0.394010037,0.605989933,15,1,15,1,0.4982059
287,24,24,25,0.377020359,0.622979641,24,1,24,1,0.497303277
288,3,3,11,0.392594278,0.607405722,3,1,3,1,0.417208523
289,27,27,27,0.408535123,0.591464877,27,1,27,1,0.890808582
290,26,26,26,0.401814997,0.598185003,26,1,26,1,0.999637842
291,20,11,6,0.402172416,0.597827554,11,0,11,0,0.271869361
292,17,17,17,0.400595993,0.599404037,17,1,17,1,0.991912305
293,27,17,27,0.401981443,0.598018527,27,1,27,1,0.498869151
294,7,7,7,0.389639586,0.610360384,7,1,7,1,0.897255301
295,4,4,4,0.384284109,0.615715921,4,1,4,1,0.819717705
296,14,9,14,0.394083738,0.605916262,14,1,14,1,0.848504782
297,1,7,1,0.386058778,0.613941252,1,1,7,0,0.007771593
298,17,1,1,0.325429887,0.674570084,1,0,1,0,0.755522788
299,17,17,17,0.376676172,0.623323858,17,1,17,1,0.8165043
300,0,0,0,0.382630348,0.617369652,0,1,0,1,0.99687922
301,27,27,27,0.380675584,0.619324446,27,1,27,1,0.995862663
302,25,25,25,0.379634947,0.620365083,25,1,25,1,0.973863721
303,8,8,8,0.384110302,0.615889668,8,1,8,1,0.999979854
304,26,26,26,0.384098679,0.615901291,26,1,26,1,0.999991834
305,1,1,1,0.384181052,0.615818918,1,1,1,1,0.996341527
306,9,14,9,0.383329928,0.616670072,9,1,9,1,0.202596515
307,8,8,8,0.362911701,0.637088299,8,1,8,1,0.98649925
308,10,10,10,0.36154592,0.63845408,10,1,10,1,0.999994814
309,13,13,11,0.361620009,0.638379991,13,1,13,1,0.309485108
310,11,21,4,0.38460809,0.61539191,21,0,21,0,0.204186037
311,8,8,8,0.323848069,0.676151931,8,1,8,1,0.929827809
312,27,14,27,0.329465985,0.670534015,27,1,14,0,0.711682856
313,27,14,27,0.325136423,0.674863577,27,1,27,1,0.0727074
314,7,7,7,0.289098859,0.710901141,7,1,7,1,0.939521194
315,24,24,16,0.292582095,0.707417905,24,1,24,1,0.62436986
316,10,10,10,0.303655654,0.696344376,10,1,10,1,0.999940455
317,9,9,9,0.303294778,0.696705222,9,1,9,1,0.91715306
318,7,17,17,0.299329698,0.700670302,17,0,17,0,0.860327482
319,24,24,10,0.298902065,0.701097906,10,0,24,1,0.214306101
320,15,15,11,0.317756981,0.68224299,15,1,15,1,0.246190816
321,6,6,6,0.33887589,0.66112411,6,1,6,1,0.749247134
322,11,15,11,0.343185037,0.656814992,11,1,11,1,0.624756277
323,20,20,11,0.33129099,0.66870904,20,1,20,1,0.430036485
324,14,14,14,0.348719209,0.651280761,14,1,14,1,0.880571187
325,17,27,9,0.344291925,0.655708075,27,0,27,0,0.713628054
326,18,0,16,0.359522164,0.640477836,0,0,0,0,0.041651368
327,21,21,21,0.345019341,0.654980659,21,1,21,1,0.893349588
328,6,6,6,0.348184377,0.651815653,6,1,6,1,0.732474864
329,14,27,14,0.356568098,0.643431902,14,1,14,1,0.15038377
330,21,21,21,0.330187678,0.669812322,21,1,21,1,0.99973911
331,18,12,18,0.329633594,0.670366406,18,1,18,1,0.438725829
332,26,17,26,0.31407699,0.68592298,26,1,26,1,0.083935268
333,7,7,7,0.286692053,0.713307917,7,1,7,1,0.991565168
334,3,3,11,0.286227494,0.713772476,3,1,3,1,0.358940601
335,3,3,1,0.301386476,0.698613524,3,1,3,1,0.027100382
336,12,6,12,0.35294202,0.64705795,12,1,12,1,0.026240051
337,16,16,16,0.300852716,0.699147284,16,1,16,1,0.999964237
338,20,20,11,0.30096063,0.69903934,11,0,11,0,0.216640413
339,5,12,5,0.322781384,0.677218616,5,1,5,1,0.057191689
340,14,14,14,0.285153359,0.714846611,14,1,14,1,0.998989105
341,6,0,6,0.284744382,0.715255618,6,1,6,1,0.013066685
342,5,11,18,0.243682072,0.756317914,18,0,18,0,0.049921647
343,10,10,10,0.2168414,0.7831586,10,1,10,1,0.999704719
344,24,24,24,0.21709393,0.782906055,24,1,24,1,0.73626107
345,10,10,10,0.222746968,0.777253032,10,1,10,1,0.799779892
346,6,3,6,0.216590822,0.783409178,6,1,6,1,0.474058241
347,3,3,3,0.207456857,0.792543113,3,1,3,1,0.965418458
348,10,10,10,0.210207909,0.789792061,10,1,10,1,0.99999851
349,22,25,19,0.210198924,0.789801061,19,0,19,0,0.545416117
350,6,6,6,0.210016161,0.789983809,6,1,6,1,0.969081819
351,4,4,4,0.208414629,0.791585386,4,1,4,1,0.998388231
352,14,14,14,0.208982781,0.791017234,14,1,14,1,0.808104396
353,27,27,17,0.204417467,0.795582533,27,1,27,1,0.79994303
354,5,5,5,0.210144266,0.789855719,5,1,5,1,0.801058173
355,0,0,0,0.203978717,0.796021283,0,1,0,1,0.999950409
356,24,24,24,0.20369865,0.796301365,24,1,24,1,0.860755682
357,15,15,15,0.208047152,0.791952848,15,1,15,1,0.999998748
358,11,11,4,0.20807074,0.791929245,4,0,4,0,0.291464984
359,1,1,1,0.224871263,0.775128722,1,1,1,1,0.992827415
360,3,3,15,0.223700434,0.776299536,15,0,15,0,0.133862093
361,1,4,14,0.24493368,0.755066335,14,0,14,0,0.170233622
362,14,14,14,0.239563495,0.760436475,14,1,14,1,0.988924205
363,27,27,27,0.237865686,0.762134314,27,1,27,1,0.999484956
364,2,22,2,0.238180399,0.761819601,2,1,2,1,0.684285164
365,8,8,8,0.231747627,0.768252373,8,1,8,1,0.688387275
366,2,2,2,0.219571605,0.78042841,2,1,2,1,0.876968205
367,0,0,16,0.213057652,0.786942363,16,0,0,1,0.135373682
368,3,16,6,0.228971794,0.771028221,6,0,6,0,0.150724918
369,5,5,5,0.208552212,0.791447818,5,1,5,1,0.916821659
370,26,26,26,0.202417493,0.797582507,26,1,26,1,0.999999762
371,6,3,23,0.202428862,0.797571123,23,0,3,0,0.145843297
372,7,12,26,0.20961301,0.790386975,12,0,12,0,0.313422382
373,17,9,27,0.188105583,0.811894417,27,0,9,0,0.172081903
374,4,4,4,0.186668605,0.813331366,4,1,4,1,0.999943376
375,11,11,11,0.186784998,0.813215017,11,1,11,1,0.989846289
376,24,24,10,0.18416369,0.81583631,24,1,24,1,0.549386144
377,21,21,21,0.192329705,0.807670295,21,1,21,1,0.999778986
378,24,24,24,0.192552909,0.807447076,24,1,24,1,0.99982053
379,1,1,1,0.192879632,0.807120383,1,1,1,1,0.770054579
380,27,17,27,0.185001343,0.814998627,27,1,27,1,0.025978856
381,14,27,14,0.150616467,0.849383533,14,1,14,1,0.608830094
382,22,22,22,0.144993812,0.855006158,22,1,22,1,0.860104024
383,24,24,24,0.150575548,0.849424422,24,1,24,1,0.998663545
384,15,11,15,0.150940374,0.849059641,15,1,15,1,0.173219293
385,14,17,14,0.137500793,0.862499177,14,1,14,1,0.259107709
386,13,3,13,0.127877295,0.872122705,13,1,13,1,0.03136833
387,9,14,9,0.103882544,0.896117449,9,1,0,0,0.527894676
388,20,16,11,0.100457035,0.899542987,11,0,3,0,0.415886462
389,3,3,3,0.082189865,0.917810142,3,1,3,1,0.98503834
390,4,4,4,0.083056368,0.91694361,4,1,4,1,0.998206735
391,16,16,16,0.082526229,0.917473793,16,1,16,1,0.999340773
392,26,26,26,0.082665808,0.917334199,26,1,26,1,0.999966383
393,1,5,1,0.082593814,0.917406201,1,1,1,1,0.274917334
394,17,17,27,0.075569116,0.924430907,27,0,27,0,0.393443257
395,9,9,9,0.079198539,0.920801461,9,1,9,1,0.976697505
396,4,4,4,0.080302671,0.919697344,4,1,4,1,0.91388154
397,22,22,13,0.082282312,0.917717695,13,0,13,0,0.011231469
398,2,2,2,0.103852272,0.896147728,2,1,2,1,0.997676611
399,7,7,7,0.10422536,0.895774662,7,1,7,1,0.993843138
400,7,7,7,0.104761697,0.89523828,7,1,7,1,0.950563371
401,6,6,6,0.102887146,0.897112846,6,1,6,1,0.980702996
402,1,1,1,0.104470752,0.89552927,1,1,1,1,0.980305314
403,1,1,1,0.103680365,0.896319628,1,1,1,1,0.677357614
404,9,9,9,0.102525368,0.897474647,9,1,9,1,0.971216559
405,14,21,14,0.10293413,0.897065878,14,1,14,1,0.329016805
406,8,8,8,0.097948834,0.902051151,8,1,8,1,0.995476127
