round,ground_truth,correct_percentage,loss,softmax_output,hedge_weights
14,9,0.00%,3.3440,"[0.02454330213367939, 0.04195418953895569, 0.051025476306676865, 0.05365649238228798, 0.019820716232061386, 0.020993193611502647, 0.024345003068447113, 0.037723444402217865, 0.016476551070809364, 0.04910409450531006, 0.0658475011587143, 0.016975020989775658, 0.022825468331575394, 0.008459361270070076, 0.03544953465461731, 0.03161061555147171, 0.01491814386099577, 0.015315177850425243, 0.0815328061580658, 0.026453198865056038, 0.041404686868190765, 0.05850762501358986, 0.036687906831502914, 0.0426921509206295, 0.017253143712878227, 0.026523729786276817, 0.07570834457874298, 0.04219317063689232]","[0.0010000000474974513, 1.0]"
15,14,0.00%,3.2541,"[0.012828828766942024, 0.02970646508038044, 0.08935771137475967, 0.07672387361526489, 0.01596105843782425, 0.03052745945751667, 0.030814722180366516, 0.041779253631830215, 0.010527686215937138, 0.0754108652472496, 0.04325297847390175, 0.010683264583349228, 0.019881414249539375, 0.008524849079549313, 0.03691820800304413, 0.02809530682861805, 0.02205398492515087, 0.019709700718522072, 0.06454859673976898, 0.019512418657541275, 0.02801799587905407, 0.05757899954915047, 0.02940843068063259, 0.031051412224769592, 0.033156707882881165, 0.03488416224718094, 0.06883492320775986, 0.03024873696267605]","[0.0010000000474974513, 0.9995501637458801]"
16,21,0.00%,2.7466,"[0.018719349056482315, 0.03315913304686546, 0.08486133068799973, 0.07440304011106491, 0.013260941952466965, 0.028905250132083893, 0.03727415204048157, 0.04045944660902023, 0.009562230668962002, 0.048443086445331573, 0.047613903880119324, 0.016380278393626213, 0.020357126370072365, 0.006193256471306086, 0.033137112855911255, 0.024484945461153984, 0.011621588841080666, 0.019098294898867607, 0.08482497185468674, 0.03053607977926731, 0.035155266523361206, 0.061337362974882126, 0.03201825171709061, 0.04201597720384598, 0.017820283770561218, 0.03322404623031616, 0.06412650644779205, 0.03100682608783245]","[0.0010000000474974513, 1.0]"
17,18,0.00%,2.6459,"[0.012203280813992023, 0.03728564828634262, 0.09675147384405136, 0.08626631647348404, 0.016480550169944763, 0.02756718546152115, 0.030779186636209488, 0.046000637114048004, 0.01420692540705204, 0.051792681217193604, 0.044822100549936295, 0.016255132853984833, 0.013409942388534546, 0.006691879127174616, 0.027623435482382774, 0.026470590382814407, 0.010912712663412094, 0.01714758388698101, 0.0702652782201767, 0.024508235976099968, 0.040662918239831924, 0.045844148844480515, 0.01969126984477043, 0.04890384152531624, 0.02606124058365822, 0.04146811366081238, 0.0677122101187706, 0.03221547231078148]","[0.0010000000474974513, 0.9999989867210388]"
18,0,0.00%,4.4105,"[0.011539642699062824, 0.02280539833009243, 0.08294294029474258, 0.0668148398399353, 0.00776458578184247, 0.086675725877285, 0.06240483745932579, 0.03318195790052414, 0.0039360178634524345, 0.0653490498661995, 0.025621214881539345, 0.018436040729284286, 0.0281562190502882, 0.0034184702672064304, 0.025053802877664566, 0.015027684159576893, 0.012580282054841518, 0.030238620936870575, 0.05306972563266754, 0.04255145415663719, 0.012495866045355797, 0.07923343777656555, 0.040688253939151764, 0.03039177693426609, 0.029925143346190453, 0.03544405847787857, 0.055535633116960526, 0.018717292696237564]","[0.0020109466277062893, 0.9979890584945679]"
19,24,0.00%,3.7275,"[0.009496048092842102, 0.026484735310077667, 0.07821409404277802, 0.0779895931482315, 0.015494362451136112, 0.05877583473920822, 0.06185946986079216, 0.04155872389674187, 0.010768960230052471, 0.049157366156578064, 0.031159402802586555, 0.03372759371995926, 0.015180369839072227, 0.00418394198641181, 0.018440915271639824, 0.015904754400253296, 0.009816758334636688, 0.021671537309885025, 0.04919443279504776, 0.04859943687915802, 0.019945958629250526, 0.06558103859424591, 0.025465015321969986, 0.05009765177965164, 0.03270123898983002, 0.042695432901382446, 0.06504835188388824, 0.02078697457909584]","[0.0010000000474974513, 1.0]"
20,9,0.00%,2.8195,"[0.030404796823859215, 0.03979450464248657, 0.03820372745394707, 0.05066641420125961, 0.028252964839339256, 0.02494007535278797, 0.017255345359444618, 0.05347342789173126, 0.029352324083447456, 0.06064314395189285, 0.07333122193813324, 0.010588650591671467, 0.018343545496463776, 0.01796254888176918, 0.04480545222759247, 0.04447005316615105, 0.03229568526148796, 0.01261807233095169, 0.047890160232782364, 0.008409259840846062, 0.04709812253713608, 0.04730100557208061, 0.042502451688051224, 0.022550435736775398, 0.023287324234843254, 0.025427116081118584, 0.05489974096417427, 0.05323249474167824]","[0.0010000000474974513, 1.0]"
21,26,0.00%,3.0464,"[0.018221428617835045, 0.028719833120703697, 0.09875146299600601, 0.08077188581228256, 0.008837264031171799, 0.023911429569125175, 0.031707923859357834, 0.04009478539228439, 0.010250240564346313, 0.04231809079647064, 0.05545121431350708, 0.014546843245625496, 0.01899598352611065, 0.00788538996130228, 0.04188663884997368, 0.022196857258677483, 0.007935183122754097, 0.021682752296328545, 0.0858219787478447, 0.026587074622511864, 0.05784614756703377, 0.05365492030978203, 0.022971319034695625, 0.04906990006566048, 0.0191029142588377, 0.032293256372213364, 0.04749524965882301, 0.03099207393825054]","[0.0010000000474974513, 1.0]"
22,3,0.00%,2.7827,"[0.0291823111474514, 0.03262512758374214, 0.08817484974861145, 0.06342209130525589, 0.021418536081910133, 0.016004104167222977, 0.022871140390634537, 0.0519857183098793, 0.022228896617889404, 0.04968640208244324, 0.06092250719666481, 0.010071497410535812, 0.012652493081986904, 0.013902606442570686, 0.053200408816337585, 0.031951386481523514, 0.02155240625143051, 0.015124271623790264, 0.08245287090539932, 0.012536060065031052, 0.04959980770945549, 0.04361189156770706, 0.02564319223165512, 0.032222017645835876, 0.023000381886959076, 0.030049294233322144, 0.047067709267139435, 0.03684008866548538]","[0.0010000000474974513, 1.0]"
23,16,0.00%,3.5337,"[0.01045756135135889, 0.023616153746843338, 0.07463507354259491, 0.05533596873283386, 0.01251925341784954, 0.06236959248781204, 0.05138290300965309, 0.037455808371305466, 0.005674740299582481, 0.08394504338502884, 0.029071208089590073, 0.012378069572150707, 0.0281711146235466, 0.005751483142375946, 0.03165315464138985, 0.016512660309672356, 0.02332892455160618, 0.035200558602809906, 0.049278222024440765, 0.028636706992983818, 0.01279964204877615, 0.07909160107374191, 0.03413328528404236, 0.027554551139473915, 0.047039080411195755, 0.03633009269833565, 0.06664613634347916, 0.01903143711388111]","[0.0010000000474974513, 1.0]"
24,3,0.00%,3.0983,"[0.029518036171793938, 0.019554806873202324, 0.07632109522819519, 0.04422640800476074, 0.009753472171723843, 0.034027956426143646, 0.055397309362888336, 0.028154293075203896, 0.0045093512162566185, 0.05290728434920311, 0.033686526119709015, 0.011736128479242325, 0.042231228202581406, 0.007544786669313908, 0.06448838114738464, 0.01909412443637848, 0.02172728255391121, 0.03211136534810066, 0.09245073050260544, 0.03803203999996185, 0.018099326640367508, 0.08348503708839417, 0.04666750133037567, 0.025583265349268913, 0.01524331048130989, 0.02081659622490406, 0.05069483816623688, 0.021937601268291473]","[0.0010000000474974513, 1.0]"
25,1,0.00%,3.7400,"[0.009846352972090244, 0.02815411239862442, 0.05293253809213638, 0.055816635489463806, 0.013819882646203041, 0.04903803765773773, 0.035651836544275284, 0.035665322095155716, 0.006200036965310574, 0.08670299500226974, 0.040484845638275146, 0.01299754437059164, 0.029496634379029274, 0.005207787733525038, 0.031406622380018234, 0.02351433038711548, 0.015249572694301605, 0.027866698801517487, 0.05497125908732414, 0.02952990122139454, 0.022007247433066368, 0.08100429177284241, 0.03158259019255638, 0.03682759031653404, 0.03889644891023636, 0.028418291360139847, 0.09354369342327118, 0.02316681295633316]","[0.0010000000474974513, 1.0]"
26,26,0.00%,2.6180,"[0.012941880151629448, 0.02929788827896118, 0.09271130710840225, 0.07638415694236755, 0.015118708834052086, 0.03741832822561264, 0.04150216281414032, 0.039014749228954315, 0.010991380549967289, 0.06287075579166412, 0.040888573974370956, 0.017334843054413795, 0.01529654860496521, 0.005574268288910389, 0.030589457601308823, 0.020896583795547485, 0.012166888453066349, 0.02103390544652939, 0.07085127383470535, 0.030624639242887497, 0.02514534816145897, 0.06054995581507683, 0.023347899317741394, 0.04296936094760895, 0.03182048350572586, 0.034191686660051346, 0.07292626798152924, 0.025540679693222046]","[0.0010000000474974513, 1.0]"
27,10,0.00%,2.8792,"[0.024515321478247643, 0.010087132453918457, 0.024057777598500252, 0.05099831521511078, 0.024924060329794884, 0.030049864202737808, 0.08514999598264694, 0.013296612538397312, 0.149762362241745, 0.022722266614437103, 0.0383661612868309, 0.09285235404968262, 0.01865067332983017, 0.0514647401869297, 0.01317561324685812, 0.009632081724703312, 0.06063953787088394, 0.010495542548596859, 0.015356350690126419, 0.0430840328335762, 0.011436419561505318, 0.057247038930654526, 0.04723796248435974, 0.00850261002779007, 0.013239327818155289, 0.030401183292269707, 0.01639551669359207, 0.02625911310315132]","[0.0010000000474974513, 1.0]"
28,2,0.00%,2.3920,"[0.0127293411642313, 0.028022252023220062, 0.0774858146905899, 0.08624423295259476, 0.011775662191212177, 0.030603252351284027, 0.04343514144420624, 0.028965597972273827, 0.007041315082460642, 0.05321808159351349, 0.04314834997057915, 0.017090989276766777, 0.023182792589068413, 0.006016656290739775, 0.028085604310035706, 0.023407312110066414, 0.007931129075586796, 0.02434449829161167, 0.08029322326183319, 0.03991565853357315, 0.034311648458242416, 0.06733143329620361, 0.025980746373534203, 0.044454239308834076, 0.01859903521835804, 0.0294170081615448, 0.08299767225980759, 0.023971324786543846]","[0.0010000000474974513, 1.0]"
29,10,0.00%,3.3875,"[0.011074633337557316, 0.028809212148189545, 0.09372192621231079, 0.07419892400503159, 0.011984238401055336, 0.04573287069797516, 0.04462708532810211, 0.0368848517537117, 0.007863637059926987, 0.06996665149927139, 0.037249207496643066, 0.015872513875365257, 0.015981530770659447, 0.003593117231503129, 0.025003492832183838, 0.016757212579250336, 0.014258177019655704, 0.022392015904188156, 0.0669715479016304, 0.02996060438454151, 0.01715993508696556, 0.07612303644418716, 0.026074577122926712, 0.03539034351706505, 0.03583265841007233, 0.039726078510284424, 0.07645057886838913, 0.02033933810889721]","[0.0010000000474974513, 1.0]"
30,7,0.00%,3.7888,"[0.05443597957491875, 0.01932239532470703, 0.04350225627422333, 0.01932072453200817, 0.011904440820217133, 0.06614696979522705, 0.04389549791812897, 0.018525568768382072, 0.006581753958016634, 0.07844242453575134, 0.028583085164427757, 0.012871838174760342, 0.05559274181723595, 0.01208434533327818, 0.08478263020515442, 0.022540384903550148, 0.04438324272632599, 0.03660944476723671, 0.0542457215487957, 0.038131535053253174, 0.007151952013373375, 0.0507374070584774, 0.06349969655275345, 0.014841907657682896, 0.02939784899353981, 0.009751980192959309, 0.037453245371580124, 0.03526287153363228]","[0.0010000000474974513, 1.0]"
31,24,0.00%,3.3992,"[0.020473720505833626, 0.018327854573726654, 0.03874337673187256, 0.059743817895650864, 0.013497893698513508, 0.04016765207052231, 0.02886798419058323, 0.03125542402267456, 0.01122227218002081, 0.10497083514928818, 0.06681174039840698, 0.010272515937685966, 0.028369635343551636, 0.011708932928740978, 0.04876769334077835, 0.02752278931438923, 0.027778305113315582, 0.017897048965096474, 0.0463641919195652, 0.01526633370667696, 0.0247204527258873, 0.09515643864870071, 0.05934346467256546, 0.016937363892793655, 0.03354387730360031, 0.016376018524169922, 0.05901996046304703, 0.026872368529438972]","[0.0010000000474974513, 0.9999999403953552]"
32,16,0.00%,4.4275,"[0.014478469267487526, 0.02269330993294716, 0.1261139065027237, 0.08983505517244339, 0.008778289891779423, 0.04162827879190445, 0.05191496014595032, 0.03463711962103844, 0.005529291927814484, 0.05791744589805603, 0.03265206888318062, 0.012450373731553555, 0.018922951072454453, 0.005395431071519852, 0.03663795441389084, 0.018054014071822166, 0.013272705487906933, 0.02760818786919117, 0.07471390813589096, 0.027081776410341263, 0.02137277089059353, 0.06511018425226212, 0.026294467970728874, 0.030514270067214966, 0.025958910584449768, 0.03417938947677612, 0.05653265491127968, 0.019721785560250282]","[0.0010000000474974513, 0.9998627305030823]"
33,0,0.00%,4.2911,"[0.015094642527401447, 0.01782834157347679, 0.13709203898906708, 0.0987178310751915, 0.006352607626467943, 0.05797293782234192, 0.07299548387527466, 0.030295994132757187, 0.0039073145017027855, 0.04824389889836311, 0.02317661978304386, 0.01558382622897625, 0.02088278904557228, 0.0045302133075892925, 0.03260292485356331, 0.015169532969594002, 0.01230126153677702, 0.029798461124300957, 0.06731460988521576, 0.034544456750154495, 0.01658657006919384, 0.06965800374746323, 0.03000808134675026, 0.02541195973753929, 0.020600004121661186, 0.036608271300792694, 0.04207036644220352, 0.014650871977210045]","[0.0041952249594032764, 0.9958047866821289]"
34,5,0.00%,3.3350,"[0.015009433962404728, 0.0214775912463665, 0.12795932590961456, 0.09014923870563507, 0.008421591483056545, 0.043493568897247314, 0.05537901818752289, 0.03429180383682251, 0.005132268648594618, 0.057639870792627335, 0.031903866678476334, 0.012417124584317207, 0.01912723109126091, 0.00525959488004446, 0.03659242019057274, 0.017151465639472008, 0.014088062569499016, 0.02837846241891384, 0.0729488804936409, 0.026939619332551956, 0.01932241953909397, 0.06730445474386215, 0.02776247076690197, 0.02840980514883995, 0.026108823716640472, 0.033138178288936615, 0.05535173788666725, 0.018841715529561043]","[0.0010000000474974513, 0.9999728798866272]"
35,11,0.00%,4.9075,"[0.01606525294482708, 0.024116432294249535, 0.09198843687772751, 0.06770915538072586, 0.014391056261956692, 0.02743498794734478, 0.031288743019104004, 0.034849610179662704, 0.008296030573546886, 0.09041611850261688, 0.049281589686870575, 0.0074552446603775024, 0.017872489988803864, 0.007762546185404062, 0.04751128703355789, 0.022893792018294334, 0.025198394432663918, 0.022298645228147507, 0.07275580614805222, 0.015351573005318642, 0.019000012427568436, 0.06626644730567932, 0.029917333275079727, 0.02378215827047825, 0.03848489746451378, 0.022977622225880623, 0.07916795462369919, 0.02546636387705803]","[0.0010000000474974513, 1.0]"
36,11,0.00%,4.6270,"[0.013161634095013142, 0.028681764379143715, 0.07469332963228226, 0.06517631560564041, 0.014075193554162979, 0.03680891916155815, 0.03265798091888428, 0.03704280033707619, 0.0072439550422132015, 0.09110024571418762, 0.04768674820661545, 0.009308548644185066, 0.019223881885409355, 0.005508740432560444, 0.0365128293633461, 0.022272596135735512, 0.019430171698331833, 0.023762425407767296, 0.06615050882101059, 0.018873153254389763, 0.01903393864631653, 0.07258647680282593, 0.02904905378818512, 0.028285780921578407, 0.03990507125854492, 0.02556798607110977, 0.09214834868907928, 0.02405153587460518]","[0.0010000000474974513, 0.9999878406524658]"
37,16,0.00%,2.5394,"[0.025498593226075172, 0.014535310678184032, 0.08902119100093842, 0.05474573373794556, 0.014740433543920517, 0.03563590347766876, 0.040643420070409775, 0.034152302891016006, 0.009390491060912609, 0.09276659786701202, 0.036290161311626434, 0.0072968280874192715, 0.021258680149912834, 0.015519719570875168, 0.0630711168050766, 0.01887453719973564, 0.0640714094042778, 0.028544949367642403, 0.04920780286192894, 0.012353165075182915, 0.011144887655973434, 0.0675426498055458, 0.04703129082918167, 0.012493649497628212, 0.054996050894260406, 0.021737389266490936, 0.03877270221710205, 0.018663015216588974]","[0.0010000000474974513, 1.0]"
38,5,0.00%,2.8493,"[0.01780656725168228, 0.02019534632563591, 0.06778249889612198, 0.04070626199245453, 0.015090231783688068, 0.08019255101680756, 0.046995341777801514, 0.02768600918352604, 0.010096196085214615, 0.14460572600364685, 0.026085413992404938, 0.009216559119522572, 0.017659422010183334, 0.007949254475533962, 0.036456961184740067, 0.01298780832439661, 0.05091843381524086, 0.02898254059255123, 0.04126148670911789, 0.02087925747036934, 0.004269006662070751, 0.06326782703399658, 0.036755166947841644, 0.0116022489964962, 0.0777149647474289, 0.023002605885267258, 0.04431368038058281, 0.015520618297159672]","[0.0010000000474974513, 1.0]"
39,5,0.00%,3.1731,"[0.01314696203917265, 0.0268070288002491, 0.09788806736469269, 0.07105502486228943, 0.01294402964413166, 0.035176731646060944, 0.04137222096323967, 0.04512137919664383, 0.00781932845711708, 0.07168027013540268, 0.04930979758501053, 0.010821832343935966, 0.014828872866928577, 0.005273216869682074, 0.03558991476893425, 0.017302121967077255, 0.01813790760934353, 0.02510090544819832, 0.06681495904922485, 0.01884939707815647, 0.020348794758319855, 0.06729297339916229, 0.023561999201774597, 0.030497277155518532, 0.03988860547542572, 0.02862435206770897, 0.07959349453449249, 0.025152521207928658]","[0.0010000000474974513, 1.0]"
40,10,0.00%,3.4442,"[0.014440481550991535, 0.036391034722328186, 0.07872677594423294, 0.06226012855768204, 0.010405817069113255, 0.06516580283641815, 0.03857859969139099, 0.03398957476019859, 0.004953501280397177, 0.08955935388803482, 0.03433717042207718, 0.010406129993498325, 0.023590797558426857, 0.004018343519419432, 0.029923168942332268, 0.020433899015188217, 0.019014421850442886, 0.030214732512831688, 0.06360507756471634, 0.022437339648604393, 0.012882831506431103, 0.06750056147575378, 0.030363542959094048, 0.024014519527554512, 0.034947674721479416, 0.03150397539138794, 0.08373935520648956, 0.022595373913645744]","[0.0010000000474974513, 0.9997459053993225]"
41,9,0.00%,2.5421,"[0.007722214795649052, 0.02799186110496521, 0.04476601257920265, 0.05291135609149933, 0.011686652898788452, 0.060755666345357895, 0.046810589730739594, 0.026268213987350464, 0.0033957581035792828, 0.0769486278295517, 0.036164700984954834, 0.01781000941991806, 0.030933460220694542, 0.0029126370791345835, 0.018083447590470314, 0.01705564185976982, 0.010989326052367687, 0.03485088050365448, 0.04733410105109215, 0.04259482026100159, 0.012540190480649471, 0.08922281116247177, 0.03188145533204079, 0.03605622053146362, 0.03864080831408501, 0.02313605137169361, 0.13247235119342804, 0.018064133822917938]","[0.003325404366478324, 0.9966745972633362]"
42,16,0.00%,3.9615,"[0.006152709014713764, 0.030402733013033867, 0.0320667065680027, 0.04331416264176369, 0.011533613316714764, 0.08946111053228378, 0.034819215536117554, 0.029810942709445953, 0.004044294357299805, 0.10224167257547379, 0.03178401663899422, 0.014602427370846272, 0.03552640974521637, 0.0031733775977045298, 0.01951327547430992, 0.017800725996494293, 0.018109850585460663, 0.03510016202926636, 0.03224042430520058, 0.02927335537970066, 0.011400671675801277, 0.09291711449623108, 0.03015965409576893, 0.028781605884432793, 0.05901016294956207, 0.027892589569091797, 0.1129937469959259, 0.015873229131102562]","[0.0010000000474974513, 1.0]"
43,10,0.00%,3.1465,"[0.007456741761416197, 0.030155228450894356, 0.04132716357707977, 0.049016207456588745, 0.012115566991269588, 0.07790829241275787, 0.036690667271614075, 0.03252679854631424, 0.004829457961022854, 0.10068091750144958, 0.036006372421979904, 0.014360623434185982, 0.02815530076622963, 0.0033364177215844393, 0.021500281989574432, 0.01735316589474678, 0.019371654838323593, 0.03157711774110794, 0.03793664649128914, 0.026361040771007538, 0.011690669693052769, 0.09034347534179688, 0.02995467744767666, 0.027973366901278496, 0.05679721757769585, 0.028072066605091095, 0.10910602658987045, 0.017396846786141396]","[0.0010000000474974513, 1.0]"
