round,ground_truth,correct_percentage,loss,softmax_output,hedge_weights
15,9,0.00%,3.3803,"[0.027237683534622192, 0.012769767083227634, 0.009967590682208538, 0.04222982004284859, 0.06776529550552368, 0.014266063459217548, 0.004865769296884537, 0.02061038464307785, 0.030870430171489716, 0.03221194073557854, 0.04949716478586197, 0.01242959313094616, 0.01726801134645939, 0.0553814060986042, 0.03824622929096222, 0.026108307763934135, 0.0415143221616745, 0.03554283082485199, 0.03883809968829155, 0.08779798448085785, 0.00525439390912652, 0.018786270171403885, 0.03473789244890213, 0.022469257935881615, 0.11882158368825912, 0.01998530700802803, 0.08847709745168686, 0.026049504056572914]","[0.19871069490909576, 0.10245778411626816, 0.18655581772327423, 0.22337092459201813, 0.058986786752939224, 0.22991804778575897]"
16,7,0.00%,3.7701,"[0.03614428639411926, 0.010550550185143948, 0.010654999874532223, 0.04126698151230812, 0.05330551415681839, 0.016954496502876282, 0.005431118421256542, 0.021681593731045723, 0.02339594066143036, 0.034420255571603775, 0.042823679745197296, 0.016034923493862152, 0.014294381253421307, 0.04166986420750618, 0.03950149193406105, 0.03350415080785751, 0.05324196442961693, 0.02789231762290001, 0.04084642231464386, 0.07091816514730453, 0.006246864330023527, 0.02219827100634575, 0.03338894620537758, 0.02069660648703575, 0.11855750530958176, 0.026039913296699524, 0.11996579170227051, 0.01837305724620819]","[0.10421574115753174, 0.15815825760364532, 0.21566270291805267, 0.08331473171710968, 0.22143544256687164, 0.21721309423446655]"
17,8,0.00%,3.5516,"[0.03078511916100979, 0.011310131289064884, 0.011047142557799816, 0.04147617146372795, 0.058922458440065384, 0.015502850525081158, 0.005716198123991489, 0.025386694818735123, 0.028741197660565376, 0.0403427891433239, 0.044346876442432404, 0.014675798825919628, 0.014969327487051487, 0.05155455321073532, 0.038574494421482086, 0.02692275121808052, 0.049881428480148315, 0.02887510322034359, 0.042172566056251526, 0.07801853865385056, 0.005314038600772619, 0.018810750916600227, 0.035116005688905716, 0.022286735475063324, 0.10932917147874832, 0.024271920323371887, 0.10191306471824646, 0.023736052215099335]","[0.09458945691585541, 0.11730088293552399, 0.18021433055400848, 0.2691093981266022, 0.10551027208566666, 0.2332756221294403]"
18,11,0.00%,4.2057,"[0.03177633881568909, 0.010661968030035496, 0.01022398378700018, 0.039776165038347244, 0.06289852410554886, 0.014625545591115952, 0.005918435286730528, 0.02542153373360634, 0.0278780534863472, 0.03625822067260742, 0.04584755748510361, 0.014175078831613064, 0.017065418884158134, 0.047865696251392365, 0.04147917404770851, 0.02922176569700241, 0.049210477620363235, 0.029305817559361458, 0.039134431630373, 0.07786116003990173, 0.0058672064915299416, 0.02088535763323307, 0.03321587294340134, 0.02314370684325695, 0.10346148908138275, 0.026531632989645004, 0.1084449365735054, 0.021844398230314255]","[0.09627769142389297, 0.16321152448654175, 0.08198276907205582, 0.12543568015098572, 0.22900867462158203, 0.3040837049484253]"
19,17,0.00%,3.5507,"[0.03313792124390602, 0.010374849662184715, 0.01126631535589695, 0.03689325228333473, 0.054530806839466095, 0.014577689580619335, 0.00525863841176033, 0.027046361938118935, 0.03298274427652359, 0.039679933339357376, 0.04491746053099632, 0.016797827556729317, 0.01666036993265152, 0.04607091844081879, 0.041599567979574203, 0.02819417417049408, 0.04635284096002579, 0.029270270839333534, 0.03519632667303085, 0.07202472537755966, 0.006033493205904961, 0.021892927587032318, 0.030243007466197014, 0.022089581936597824, 0.11140741407871246, 0.025998586788773537, 0.11854287981987, 0.020959030836820602]","[0.19506095349788666, 0.10228461027145386, 0.07011306285858154, 0.25591832399368286, 0.2588762044906616, 0.11774677783250809]"
20,11,0.00%,4.0638,"[0.03354458883404732, 0.010305210016667843, 0.010917138308286667, 0.03882601857185364, 0.05545319616794586, 0.014667634852230549, 0.0055858236737549305, 0.02753468044102192, 0.030358508229255676, 0.040268875658512115, 0.04381229728460312, 0.016663294285535812, 0.016229702159762383, 0.045216433703899384, 0.04152853041887283, 0.030033614486455917, 0.04675232619047165, 0.02831156924366951, 0.03787154331803322, 0.0684828981757164, 0.0060510169714689255, 0.022987088188529015, 0.03170359507203102, 0.02161230519413948, 0.10705354064702988, 0.026945654302835464, 0.12158288061618805, 0.01970011554658413]","[0.12353182584047318, 0.07839441299438477, 0.17309752106666565, 0.12791307270526886, 0.2673833966255188, 0.22967977821826935]"
21,10,0.00%,3.0022,"[0.02496415749192238, 0.011127786710858345, 0.01077922061085701, 0.03712166100740433, 0.06633435189723969, 0.011430498212575912, 0.0058141909539699554, 0.029164550825953484, 0.038317691534757614, 0.04342383146286011, 0.044887952506542206, 0.014897012151777744, 0.017130784690380096, 0.057062748819589615, 0.04382310062646866, 0.023484865203499794, 0.044667720794677734, 0.028547316789627075, 0.03556295484304428, 0.09145711362361908, 0.004954434931278229, 0.01839328370988369, 0.03221554681658745, 0.024011487141251564, 0.09362591803073883, 0.026455026119947433, 0.09491930902004242, 0.025425434112548828]","[0.1919383406639099, 0.13162553310394287, 0.10985931009054184, 0.18692424893379211, 0.2732962369918823, 0.10635631531476974]"
22,25,0.00%,3.4499,"[0.03215043991804123, 0.007516779471188784, 0.010017313063144684, 0.02334417589008808, 0.046183809638023376, 0.01586253196001053, 0.005345323588699102, 0.034821104258298874, 0.032417669892311096, 0.03131948411464691, 0.04594138264656067, 0.02308567240834236, 0.019808534532785416, 0.036977797746658325, 0.04110348969697952, 0.02665889263153076, 0.07304558902978897, 0.028899168595671654, 0.027941251173615456, 0.0696183294057846, 0.007020154967904091, 0.018597861751914024, 0.021904954686760902, 0.022626059129834175, 0.08940670639276505, 0.03625869005918503, 0.15357360243797302, 0.018553242087364197]","[0.08544357866048813, 0.11280239373445511, 0.19338466227054596, 0.22142891585826874, 0.27867698669433594, 0.10826347023248672]"
23,12,0.00%,4.0447,"[0.030239850282669067, 0.009710349142551422, 0.012367707677185535, 0.031940821558237076, 0.053674131631851196, 0.01633695513010025, 0.005144824273884296, 0.03320030868053436, 0.037184279412031174, 0.041961874812841415, 0.051100462675094604, 0.018559223040938377, 0.016949838027358055, 0.04536357522010803, 0.044224813580513, 0.024302514269948006, 0.046546727418899536, 0.03520359843969345, 0.031207390129566193, 0.07278846949338913, 0.006461726035922766, 0.020905761048197746, 0.026922088116407394, 0.021358393132686615, 0.09489604830741882, 0.02828940749168396, 0.1209372878074646, 0.022221604362130165]","[0.07034022361040115, 0.11745353043079376, 0.18287141621112823, 0.13438810408115387, 0.22146688401699066, 0.2734798491001129]"
24,15,0.00%,3.7604,"[0.027365468442440033, 0.008940787054598331, 0.011900813318789005, 0.028106169775128365, 0.05513373017311096, 0.013788007199764252, 0.0049776239320635796, 0.03492278233170509, 0.04469750076532364, 0.0433255210518837, 0.05190086364746094, 0.018802326172590256, 0.01841188222169876, 0.047376200556755066, 0.04464436322450638, 0.02088678441941738, 0.04461091011762619, 0.03207788243889809, 0.029904205352067947, 0.08247797191143036, 0.005832393188029528, 0.018467729911208153, 0.027096068486571312, 0.023531803861260414, 0.09041133522987366, 0.03147668391466141, 0.11456601321697235, 0.024366158992052078]","[0.07568685710430145, 0.1837819218635559, 0.10542469471693039, 0.20762856304645538, 0.28275880217552185, 0.144719198346138]"
25,21,0.00%,3.9354,"[0.0387737900018692, 0.007225211709737778, 0.012256631627678871, 0.02635527029633522, 0.0432388074696064, 0.01732589118182659, 0.004944956861436367, 0.03703048825263977, 0.03278505057096481, 0.03984665125608444, 0.045601487159729004, 0.025166207924485207, 0.018492436036467552, 0.03398453816771507, 0.04176449403166771, 0.026298047974705696, 0.05807170271873474, 0.029149871319532394, 0.02926531806588173, 0.05714152380824089, 0.007328623905777931, 0.021317927166819572, 0.023843280971050262, 0.02114957943558693, 0.09070167690515518, 0.035816557705402374, 0.1578829139471054, 0.01724100112915039]","[0.09221502393484116, 0.16112273931503296, 0.1344081312417984, 0.1785353273153305, 0.31095656752586365, 0.12276214361190796]"
26,3,0.00%,3.6793,"[0.026794537901878357, 0.008319547399878502, 0.010856270790100098, 0.02573610283434391, 0.04824500158429146, 0.013372018001973629, 0.005143468733876944, 0.03299237787723541, 0.039414968341588974, 0.039819590747356415, 0.04853415489196777, 0.023498455062508583, 0.018677925691008568, 0.04139312729239464, 0.04438406229019165, 0.02888324111700058, 0.050686005502939224, 0.03101196140050888, 0.026434076949954033, 0.07828173041343689, 0.006535681895911694, 0.022332845255732536, 0.02416050061583519, 0.022733477875590324, 0.08441538363695145, 0.034727200865745544, 0.14380280673503876, 0.018813522532582283]","[0.14589928090572357, 0.2126612812280655, 0.06857816129922867, 0.1612866073846817, 0.09902036935091019, 0.3125542402267456]"
27,4,0.00%,3.0367,"[0.027348194271326065, 0.008191011846065521, 0.011004793457686901, 0.02611209824681282, 0.05120250582695007, 0.0141835892572999, 0.005292707122862339, 0.03594512864947319, 0.039617542177438736, 0.03899076581001282, 0.05222626030445099, 0.022217195481061935, 0.020518459379673004, 0.041799791157245636, 0.04316014051437378, 0.02784695290029049, 0.04951738193631172, 0.03303200379014015, 0.02752147987484932, 0.07401667535305023, 0.0066264308989048, 0.021657682955265045, 0.025314513593912125, 0.02278752811253071, 0.08042734861373901, 0.03447894752025604, 0.1387595236301422, 0.020203305408358574]","[0.16272905468940735, 0.06793436408042908, 0.20228779315948486, 0.29550138115882874, 0.07675293833017349, 0.19479447603225708]"
28,11,0.00%,3.8565,"[0.030893197283148766, 0.007727096322923899, 0.011907451786100864, 0.025507954880595207, 0.04439297318458557, 0.015212021768093109, 0.004317210055887699, 0.03348777815699577, 0.04111171141266823, 0.04022692143917084, 0.05299775302410126, 0.024566717445850372, 0.019414249807596207, 0.035382457077503204, 0.04361806437373161, 0.030062289908528328, 0.04141983762383461, 0.03517020866274834, 0.024736313149333, 0.061963554471731186, 0.007303196005523205, 0.02534629963338375, 0.02384072169661522, 0.02014802396297455, 0.08996501564979553, 0.03268584609031677, 0.16001543402671814, 0.016579708084464073]","[0.06274913251399994, 0.23581403493881226, 0.10660536587238312, 0.20433849096298218, 0.30997955799102783, 0.08051346987485886]"
29,8,0.00%,3.4235,"[0.0247163288295269, 0.008596708066761494, 0.011226360686123371, 0.030436893925070763, 0.06330398470163345, 0.01173532847315073, 0.005285318940877914, 0.03520317003130913, 0.04156176745891571, 0.041587281972169876, 0.055057886987924576, 0.018934305757284164, 0.02153361402451992, 0.04758317023515701, 0.04434322938323021, 0.0273154154419899, 0.04221487417817116, 0.034339360892772675, 0.02678247168660164, 0.08347635716199875, 0.005726863630115986, 0.021241366863250732, 0.028234176337718964, 0.023306122049689293, 0.07498280704021454, 0.030742332339286804, 0.11770742386579514, 0.022825051099061966]","[0.05866021290421486, 0.06548465043306351, 0.18876366317272186, 0.3762766420841217, 0.21091318130493164, 0.09990169107913971]"
30,14,0.00%,3.1489,"[0.03420565277338028, 0.00676592905074358, 0.012585406191647053, 0.022443462163209915, 0.03622881695628166, 0.01726354844868183, 0.0038780614268034697, 0.031689323484897614, 0.03932255133986473, 0.0343538336455822, 0.05326925963163376, 0.030767356976866722, 0.019037634134292603, 0.027733473107218742, 0.042494457215070724, 0.03415835276246071, 0.04345206171274185, 0.034725215286016464, 0.02084978297352791, 0.05447789281606674, 0.008711709640920162, 0.02821153774857521, 0.020601589232683182, 0.01781422831118107, 0.09101543575525284, 0.03509582206606865, 0.18524162471294403, 0.013605901971459389]","[0.051097769290208817, 0.05717780813574791, 0.197964608669281, 0.3285594582557678, 0.26493343710899353, 0.10026691108942032]"
31,18,0.00%,3.7111,"[0.032314520329236984, 0.006781833246350288, 0.012573760002851486, 0.021744094789028168, 0.03947810083627701, 0.01741127111017704, 0.004819945432245731, 0.03697206452488899, 0.038734178990125656, 0.03551483899354935, 0.051737718284130096, 0.032302722334861755, 0.021787213161587715, 0.030467253178358078, 0.040865566581487656, 0.03283664211630821, 0.05331682413816452, 0.03363864868879318, 0.022268451750278473, 0.056233350187540054, 0.00853958260267973, 0.02438768558204174, 0.02169221267104149, 0.01997029408812523, 0.07606232911348343, 0.038090527057647705, 0.17389674484729767, 0.015561576001346111]","[0.0433652326464653, 0.055195946246385574, 0.1574520766735077, 0.3634486794471741, 0.30127039551734924, 0.07926762104034424]"
32,16,0.00%,3.0716,"[0.03489231318235397, 0.006650353316217661, 0.01207587867975235, 0.022439491003751755, 0.03665509074926376, 0.01621459238231182, 0.004845952149480581, 0.03388898819684982, 0.03592668101191521, 0.03594241291284561, 0.04820515960454941, 0.03235326334834099, 0.019957125186920166, 0.026347987353801727, 0.04467122256755829, 0.03815275803208351, 0.04642166569828987, 0.030077140778303146, 0.02264278568327427, 0.05191580578684807, 0.009248177520930767, 0.030190080404281616, 0.021187474951148033, 0.01905619539320469, 0.0792476236820221, 0.042062483727931976, 0.18632954359054565, 0.012401793152093887]","[0.038726963102817535, 0.07546259462833405, 0.13389427959918976, 0.42832058668136597, 0.27203696966171265, 0.05155862495303154]"
33,21,0.00%,3.6665,"[0.03254561126232147, 0.008002791553735733, 0.011856310069561005, 0.026706848293542862, 0.04127645492553711, 0.01506366953253746, 0.005193572491407394, 0.03372916206717491, 0.03895862400531769, 0.03646525368094444, 0.04996158927679062, 0.028682470321655273, 0.02074841409921646, 0.03053152747452259, 0.04497811198234558, 0.03948035463690758, 0.04249551519751549, 0.03267814218997955, 0.024282198399305344, 0.05360349640250206, 0.008685423992574215, 0.031802888959646225, 0.02268473617732525, 0.0188904982060194, 0.08422556519508362, 0.036431968212127686, 0.16609369218349457, 0.013945052400231361]","[0.09348277747631073, 0.13801345229148865, 0.046047113835811615, 0.04443131387233734, 0.3743349611759186, 0.3036903738975525]"
34,5,0.00%,4.5880,"[0.033927708864212036, 0.008244944736361504, 0.012916358187794685, 0.025590820237994194, 0.03441915661096573, 0.015088390558958054, 0.0040931859984993935, 0.03225360065698624, 0.045639343559741974, 0.040904588997364044, 0.045257143676280975, 0.03320647403597832, 0.01818893663585186, 0.02829892933368683, 0.047013018280267715, 0.034809429198503494, 0.037947945296764374, 0.03187387436628342, 0.023372041061520576, 0.04859603941440582, 0.008629568852484226, 0.032962996512651443, 0.02010205201804638, 0.01671481877565384, 0.10002557933330536, 0.03513706475496292, 0.1724744737148285, 0.01231145579367876]","[0.11212770640850067, 0.17300750315189362, 0.04483100399374962, 0.04740099981427193, 0.3783847987651825, 0.2442479431629181]"
35,2,0.00%,4.5073,"[0.02110576629638672, 0.00835338979959488, 0.011319732293486595, 0.02399449795484543, 0.05830451473593712, 0.011622625403106213, 0.005453961901366711, 0.039548084139823914, 0.05464000627398491, 0.04247549921274185, 0.05689239874482155, 0.02391679957509041, 0.026206614449620247, 0.04671146720647812, 0.043937619775533676, 0.024724813178181648, 0.04259735345840454, 0.035847097635269165, 0.02406148426234722, 0.08621694147586823, 0.006039577070623636, 0.02003669925034046, 0.024744788184762, 0.026099465787410736, 0.0633656233549118, 0.03525618836283684, 0.11112577468156815, 0.02540125884115696]","[0.030701877549290657, 0.14536237716674805, 0.1926891952753067, 0.39567965269088745, 0.20905105769634247, 0.026515871286392212]"
36,7,0.00%,3.4166,"[0.03317778557538986, 0.007759375032037497, 0.01204935647547245, 0.027211548760533333, 0.03556470200419426, 0.016236115247011185, 0.005226015113294125, 0.03185684606432915, 0.03413195535540581, 0.038074661046266556, 0.04424034059047699, 0.03256910294294357, 0.0174984410405159, 0.026120871305465698, 0.045668866485357285, 0.046864304691553116, 0.04401179403066635, 0.02882048487663269, 0.026343295350670815, 0.04578289017081261, 0.009102609939873219, 0.03670173138380051, 0.022603120654821396, 0.016224950551986694, 0.08243783563375473, 0.039365313947200775, 0.18385322391986847, 0.010502484627068043]","[0.24868588149547577, 0.027666764333844185, 0.09845783561468124, 0.38314568996429443, 0.20438915491104126, 0.03765469044446945]"
37,26,2.63%,2.0612,"[0.039775826036930084, 0.006453939713537693, 0.012070614844560623, 0.025052525103092194, 0.03523232042789459, 0.018571794033050537, 0.004998757969588041, 0.03419986739754677, 0.029832560569047928, 0.03534766286611557, 0.045664746314287186, 0.032063353806734085, 0.018838444724678993, 0.022079993039369583, 0.04657277092337608, 0.04227055236697197, 0.0470934733748436, 0.02851768210530281, 0.02638438157737255, 0.0419573038816452, 0.009918946772813797, 0.03559499233961105, 0.02082943543791771, 0.01682441122829914, 0.0781702920794487, 0.045120175927877426, 0.19038157165050507, 0.010181588120758533]","[0.02368396520614624, 0.21508283913135529, 0.07666873186826706, 0.429516464471817, 0.2232513427734375, 0.03179661184549332]"
