round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output
116,0,47.01%,56.41%,0.2308,"[0.803406298160553, 0.19659367203712463]"
117,1,47.46%,56.78%,0.6834,"[0.4583582282066345, 0.5416417717933655]"
118,1,47.90%,56.30%,0.6689,"[0.5027773976325989, 0.49722251296043396]"
119,0,47.50%,56.67%,0.4787,"[0.6196808815002441, 0.38031914830207825]"
120,1,47.93%,57.02%,0.3415,"[0.27748903632164, 0.7225109338760376]"
121,0,47.54%,57.38%,0.2345,"[0.7532391548156738, 0.24676087498664856]"
122,1,47.97%,56.91%,0.6980,"[0.5313403010368347, 0.46865972876548767]"
123,1,48.39%,57.26%,0.3743,"[0.35246193408966064, 0.6475380659103394]"
124,1,48.80%,57.60%,0.6386,"[0.48756739497184753, 0.5124325752258301]"
125,1,49.21%,57.94%,0.4463,"[0.38049566745758057, 0.6195042729377747]"
126,1,49.61%,58.27%,0.5478,"[0.37198400497436523, 0.6280159950256348]"
127,0,49.22%,58.59%,0.5972,"[0.6078565716743469, 0.39214345812797546]"
128,1,49.61%,58.91%,0.1732,"[0.18277788162231445, 0.8172220587730408]"
129,1,50.00%,59.23%,0.5161,"[0.44651928544044495, 0.5534807443618774]"
130,1,50.38%,59.54%,0.5515,"[0.40817776322364807, 0.5918222665786743]"
131,0,50.00%,59.85%,0.8362,"[0.533752977848053, 0.466247022151947]"
132,1,50.38%,60.15%,0.2401,"[0.4305925965309143, 0.5694074034690857]"
133,1,50.75%,60.45%,0.3083,"[0.28829076886177063, 0.7117092609405518]"
134,0,50.37%,60.00%,0.6824,"[0.4851207733154297, 0.5148792266845703]"
135,1,50.74%,60.29%,0.3542,"[0.3824445307254791, 0.6175554990768433]"
136,1,51.09%,60.58%,0.2851,"[0.2103445827960968, 0.7896553874015808]"
137,0,50.72%,60.14%,1.5868,"[0.19906073808670044, 0.8009392619132996]"
138,1,51.08%,60.43%,0.1015,"[0.10493180900812149, 0.8950682282447815]"
139,1,51.43%,60.71%,0.2120,"[0.1490880250930786, 0.8509120345115662]"
140,0,51.06%,60.28%,1.1598,"[0.3641788363456726, 0.6358211636543274]"
141,0,50.70%,59.86%,1.9148,"[0.11225977540016174, 0.8877401947975159]"
142,1,51.05%,60.14%,0.1465,"[0.14337283372879028, 0.8566271662712097]"
143,0,50.69%,59.72%,0.8691,"[0.3601157069206238, 0.6398842930793762]"
144,0,50.34%,59.31%,1.0654,"[0.31217440962791443, 0.6878255605697632]"
145,0,50.00%,58.90%,0.9302,"[0.2989161014556885, 0.7010838389396667]"
146,1,50.34%,59.18%,0.0387,"[0.03516266867518425, 0.9648373126983643]"
147,0,50.00%,58.78%,1.3947,"[0.399558424949646, 0.600441575050354]"
148,0,49.66%,59.06%,0.3271,"[0.60653156042099, 0.3934684097766876]"
149,0,49.33%,58.67%,0.6564,"[0.30981189012527466, 0.6901881098747253]"
150,0,49.01%,58.28%,1.1908,"[0.436101496219635, 0.563898503780365]"
151,1,49.34%,58.55%,0.1119,"[0.14206068217754364, 0.8579393029212952]"
152,1,49.67%,58.82%,0.0758,"[0.12161445617675781, 0.8783854842185974]"
153,1,50.00%,59.09%,0.2876,"[0.30462950468063354, 0.6953704953193665]"
154,1,50.32%,59.35%,0.2966,"[0.2590707838535309, 0.7409292459487915]"
155,0,50.00%,59.62%,0.4740,"[0.7362989187240601, 0.26370105147361755]"
156,1,50.32%,59.87%,0.5542,"[0.43005162477493286, 0.5699483156204224]"
157,0,50.00%,60.13%,0.3775,"[0.6952292323112488, 0.30477073788642883]"
158,0,49.69%,60.38%,0.4393,"[0.6140758991241455, 0.3859240710735321]"
159,0,49.38%,60.00%,0.7815,"[0.4749114215373993, 0.5250885486602783]"
160,1,49.69%,60.25%,0.1050,"[0.15573959052562714, 0.8442603349685669]"
161,0,49.38%,60.49%,0.2661,"[0.7615912556648254, 0.23840872943401337]"
162,0,49.08%,60.74%,0.2055,"[0.9008214473724365, 0.09917856752872467]"
163,0,48.78%,60.37%,0.4085,"[0.45789119601249695, 0.5421087145805359]"
164,0,48.48%,60.61%,0.0992,"[0.848717212677002, 0.15128283202648163]"
165,0,48.19%,60.84%,0.1131,"[0.8804444670677185, 0.11955557018518448]"
166,1,48.50%,60.48%,0.9079,"[0.5814722180366516, 0.4185277819633484]"
167,1,48.81%,60.71%,0.7322,"[0.4852128028869629, 0.5147871375083923]"
168,1,49.11%,60.95%,0.5811,"[0.3659766614437103, 0.6340233087539673]"
169,1,49.41%,60.59%,0.9911,"[0.7050520777702332, 0.29494789242744446]"
170,0,49.12%,60.82%,0.2927,"[0.7914195656776428, 0.20858044922351837]"
171,0,48.84%,61.05%,0.1136,"[0.8516315221786499, 0.1483684927225113]"
172,0,48.55%,61.27%,0.0578,"[0.9429075121879578, 0.05709245428442955]"
173,1,48.85%,61.49%,0.2883,"[0.25098180770874023, 0.7490182518959045]"
174,0,48.57%,61.71%,0.1199,"[0.9384875297546387, 0.06151243671774864]"
175,0,48.30%,61.93%,0.1134,"[0.9522597789764404, 0.04774017259478569]"
176,1,48.59%,61.58%,0.5080,"[0.7126269340515137, 0.2873730957508087]"
177,1,48.88%,61.80%,0.2073,"[0.4021770656108856, 0.597822904586792]"
178,1,49.16%,62.01%,0.1242,"[0.41531258821487427, 0.5846874713897705]"
179,0,48.89%,62.22%,0.2929,"[0.7759540677070618, 0.2240460067987442]"
180,1,49.17%,61.88%,0.7692,"[0.7151720523834229, 0.28482785820961]"
181,1,49.45%,61.54%,0.9330,"[0.6678431630134583, 0.332156777381897]"
182,1,49.73%,61.75%,0.2141,"[0.2351231724023819, 0.7648768424987793]"
183,1,50.00%,61.96%,0.5994,"[0.4498090147972107, 0.5501909852027893]"
184,0,49.73%,62.16%,0.4764,"[0.7366127371788025, 0.2633872330188751]"
185,0,49.46%,62.37%,0.0966,"[0.6903545260429382, 0.30964547395706177]"
186,1,49.73%,62.57%,0.3857,"[0.33111169934272766, 0.6688883304595947]"
187,1,50.00%,62.77%,0.3598,"[0.25933077931404114, 0.7406692504882812]"
188,0,49.74%,62.96%,0.9265,"[0.7278284430503845, 0.2721715569496155]"
189,1,50.00%,63.16%,0.2864,"[0.07057623565196991, 0.9294237494468689]"
190,1,50.26%,63.35%,0.2095,"[0.1768115609884262, 0.8231884241104126]"
191,1,50.52%,63.54%,0.1567,"[0.29373642802238464, 0.706263542175293]"
192,1,50.78%,63.73%,0.3312,"[0.34084829688072205, 0.6591517329216003]"
193,0,50.52%,63.92%,0.2947,"[0.9427603483200073, 0.057239655405282974]"
194,0,50.26%,63.59%,2.5056,"[0.12077449262142181, 0.879225492477417]"
195,0,50.00%,63.27%,1.2321,"[0.45475655794143677, 0.5452433824539185]"
196,0,49.75%,63.45%,0.2087,"[0.9066933393478394, 0.09330669790506363]"
197,0,49.49%,63.64%,0.0693,"[0.6892891526222229, 0.3107108771800995]"
198,0,49.25%,63.32%,2.8646,"[0.05211625620722771, 0.9478837251663208]"
199,1,49.50%,63.00%,0.5326,"[0.7823667526245117, 0.21763330698013306]"
200,0,49.25%,63.18%,0.2539,"[0.8222863674163818, 0.17771360278129578]"
201,1,49.50%,63.37%,0.2779,"[0.43321335315704346, 0.5667865872383118]"
202,1,49.75%,63.55%,0.0816,"[0.031592972576618195, 0.9684070348739624]"
203,1,50.00%,63.73%,0.0848,"[0.10041674226522446, 0.8995832204818726]"
204,1,50.24%,63.90%,0.1708,"[0.1419636756181717, 0.8580363392829895]"
205,0,50.00%,63.59%,1.2007,"[0.35404258966445923, 0.6459574103355408]"
206,1,50.24%,63.77%,0.1828,"[0.1541922241449356, 0.8458077311515808]"
207,0,50.00%,63.94%,0.6283,"[0.6547587513923645, 0.3452412188053131]"
208,0,49.76%,64.11%,0.1427,"[0.8005952835083008, 0.19940468668937683]"
209,0,49.52%,64.29%,0.1727,"[0.6807453036308289, 0.31925472617149353]"
210,0,49.29%,63.98%,2.2789,"[0.19476427137851715, 0.805235743522644]"
211,0,49.06%,63.68%,1.8948,"[0.30965250730514526, 0.6903474926948547]"
212,1,49.30%,63.38%,0.3238,"[0.8139421939849854, 0.18605776131153107]"
213,0,49.07%,63.55%,0.0978,"[0.9069455862045288, 0.0930543839931488]"
214,0,48.84%,63.72%,0.5346,"[0.8835617899894714, 0.11643826961517334]"
215,0,48.61%,63.89%,0.0390,"[0.9764343500137329, 0.023565679788589478]"
216,1,48.85%,64.06%,0.5202,"[0.44130662083625793, 0.5586934089660645]"
217,0,48.62%,64.22%,0.1117,"[0.9549833536148071, 0.045016705989837646]"
218,0,48.40%,64.38%,0.0205,"[0.981033205986023, 0.018966833129525185]"
219,1,48.64%,64.09%,2.0426,"[0.8798813819885254, 0.12011857330799103]"
220,0,48.42%,64.25%,0.0489,"[0.9453990459442139, 0.05460100248456001]"
221,1,48.65%,64.41%,0.4474,"[0.22770264744758606, 0.7722974419593811]"
222,0,48.43%,64.57%,0.0707,"[0.9663978815078735, 0.033602092415094376]"
223,1,48.66%,64.73%,0.0844,"[0.07282222807407379, 0.9271778464317322]"
224,0,48.44%,64.89%,0.0326,"[0.9600077271461487, 0.039992254227399826]"
225,1,48.67%,65.04%,0.0270,"[0.032801054418087006, 0.96719890832901]"
226,0,48.46%,65.20%,0.2815,"[0.5804300308227539, 0.4195699393749237]"
227,1,48.68%,65.35%,0.0653,"[0.03667789697647095, 0.963322103023529]"
228,1,48.91%,65.50%,0.5872,"[0.24050213396549225, 0.7594978213310242]"
229,0,48.70%,65.22%,0.8479,"[0.4989582598209381, 0.5010417103767395]"
230,1,48.92%,65.37%,1.1598,"[0.4187610149383545, 0.5812390446662903]"
231,0,48.71%,65.52%,0.0597,"[0.9427772760391235, 0.05722272768616676]"
232,0,48.50%,65.67%,0.0421,"[0.948612630367279, 0.05138736590743065]"
233,1,48.72%,65.81%,0.1025,"[0.03429320454597473, 0.9657067656517029]"
234,0,48.51%,65.53%,0.5450,"[0.46090981364250183, 0.5390902161598206]"
235,0,48.31%,65.68%,0.0143,"[0.9310272932052612, 0.06897272914648056]"
236,1,48.52%,65.40%,0.8751,"[0.8674402832984924, 0.13255970180034637]"
237,1,48.74%,65.55%,0.3324,"[0.16372445225715637, 0.8362755179405212]"
238,0,48.54%,65.69%,0.0826,"[0.9142287373542786, 0.08577127009630203]"
239,0,48.33%,65.83%,0.0977,"[0.6219635009765625, 0.37803658843040466]"
240,0,48.13%,65.98%,0.0334,"[0.9676057696342468, 0.0323941595852375]"
241,1,48.35%,66.12%,0.0681,"[0.24402815103530884, 0.7559719085693359]"
242,1,48.56%,66.26%,0.5205,"[0.49871617555618286, 0.5012837648391724]"
243,0,48.36%,66.39%,0.0461,"[0.9872177243232727, 0.012782339937984943]"
244,1,48.57%,66.53%,0.0779,"[0.1041117012500763, 0.8958883285522461]"
245,0,48.37%,66.67%,0.0540,"[0.9901942610740662, 0.009805788286030293]"
246,0,48.18%,66.80%,0.0149,"[0.9056638479232788, 0.09433613717556]"
247,1,48.39%,66.94%,0.4749,"[0.054049476981163025, 0.9459505081176758]"
248,0,48.19%,67.07%,0.0714,"[0.8010187745094299, 0.19898122549057007]"
249,0,48.00%,67.20%,0.0365,"[0.9757550358772278, 0.02424497716128826]"
250,1,48.21%,67.33%,0.0329,"[0.03391258418560028, 0.9660874605178833]"
251,1,48.41%,67.46%,0.1420,"[0.09741638600826263, 0.9025835394859314]"
252,0,48.22%,67.59%,0.2266,"[0.8936642408370972, 0.10633579641580582]"
253,1,48.43%,67.72%,0.0416,"[0.04284011572599411, 0.9571599364280701]"
254,1,48.63%,67.84%,0.2369,"[0.09097351878881454, 0.9090264439582825]"
255,1,48.83%,67.97%,0.1447,"[0.1284690797328949, 0.8715309500694275]"
256,0,48.64%,68.09%,0.3822,"[0.7782995700836182, 0.22170037031173706]"
257,1,48.84%,68.22%,0.0690,"[0.09022712707519531, 0.9097728729248047]"
258,0,48.65%,68.34%,0.0667,"[0.9331846833229065, 0.06681526452302933]"
259,0,48.46%,68.46%,0.4549,"[0.8967169523239136, 0.10328299552202225]"
260,1,48.66%,68.58%,0.0625,"[0.024920431897044182, 0.9750795960426331]"
261,0,48.47%,68.70%,0.0210,"[0.9518671035766602, 0.048132915049791336]"
262,1,48.67%,68.82%,0.0152,"[0.012713517993688583, 0.9872865080833435]"
263,0,48.48%,68.94%,0.0153,"[0.7579158544540405, 0.24208411574363708]"
264,1,48.68%,69.06%,0.0615,"[0.06493143737316132, 0.9350686073303223]"
265,0,48.50%,68.80%,2.3125,"[0.09053879976272583, 0.9094612002372742]"
266,1,48.69%,68.91%,0.2986,"[0.24714168906211853, 0.7528583407402039]"
267,1,48.88%,69.03%,0.0719,"[0.12816953659057617, 0.8718304634094238]"
268,1,49.07%,69.14%,0.0681,"[0.08984329551458359, 0.9101567268371582]"
269,0,48.89%,69.26%,0.1049,"[0.935634195804596, 0.06436581164598465]"
270,0,48.71%,69.37%,0.1161,"[0.9585139155387878, 0.041486140340566635]"
271,1,48.90%,69.49%,0.0186,"[0.017875222489237785, 0.9821248054504395]"
272,1,49.08%,69.60%,0.0214,"[0.02080553025007248, 0.9791944622993469]"
273,1,49.27%,69.71%,0.0302,"[0.032327476888895035, 0.9676725268363953]"
274,1,49.45%,69.82%,0.1158,"[0.11326298117637634, 0.8867369890213013]"
275,1,49.64%,69.93%,0.4372,"[0.19854722917079926, 0.8014527559280396]"
276,1,49.82%,70.04%,0.1793,"[0.16653713583946228, 0.8334628939628601]"
277,0,49.64%,70.14%,0.4802,"[0.8044169545173645, 0.1955830603837967]"
278,0,49.46%,70.25%,0.3882,"[0.7936269044876099, 0.20637306571006775]"
279,1,49.64%,70.36%,0.0656,"[0.03872941806912422, 0.9612706303596497]"
280,1,49.82%,70.46%,0.4096,"[0.14452527463436127, 0.8554747104644775]"
281,1,50.00%,70.57%,0.0689,"[0.10992679744958878, 0.8900731801986694]"
282,1,50.18%,70.67%,0.0580,"[0.10524551570415497, 0.8947545289993286]"
283,1,50.35%,70.77%,0.1907,"[0.04870971292257309, 0.9512902498245239]"
284,1,50.53%,70.88%,0.1720,"[0.09786003828048706, 0.9021399617195129]"
285,1,50.70%,70.98%,0.2977,"[0.4009551703929901, 0.5990447998046875]"
286,0,50.52%,71.08%,0.5685,"[0.508212685585022, 0.4917873442173004]"
287,0,50.35%,71.18%,0.0537,"[0.8206803798675537, 0.17931964993476868]"
288,0,50.17%,70.93%,3.4783,"[0.02659224346280098, 0.9734077453613281]"
289,0,50.00%,70.69%,3.1112,"[0.0777447521686554, 0.922255277633667]"
290,0,49.83%,70.79%,0.0196,"[0.9719623923301697, 0.028037559241056442]"
291,1,50.00%,70.89%,0.0074,"[0.006527411285787821, 0.9934725761413574]"
292,0,49.83%,70.99%,0.1523,"[0.9505718350410461, 0.04942816123366356]"
293,1,50.00%,71.09%,0.0133,"[0.012499972246587276, 0.987500011920929]"
294,0,49.83%,71.19%,0.1689,"[0.9452627897262573, 0.05473720282316208]"
295,0,49.66%,71.28%,0.0240,"[0.9931540489196777, 0.006845913827419281]"
296,1,49.83%,71.38%,0.0061,"[0.00538546172901988, 0.9946145415306091]"
297,0,49.66%,71.48%,0.0456,"[0.9914587140083313, 0.00854132603853941]"
298,0,49.50%,71.57%,0.0603,"[0.9714748859405518, 0.028525056317448616]"
299,1,49.67%,71.67%,0.0056,"[0.004514414817094803, 0.9954856038093567]"
300,0,49.50%,71.76%,1.8959,"[0.8746852874755859, 0.12531477212905884]"
301,1,49.67%,71.85%,0.0611,"[0.08118155598640442, 0.9188184142112732]"
302,1,49.83%,71.95%,0.2591,"[0.06391941756010056, 0.9360806345939636]"
303,1,50.00%,72.04%,0.2182,"[0.161538228392601, 0.8384617567062378]"
304,0,49.84%,71.80%,1.6155,"[0.19614169001579285, 0.8038583397865295]"
305,0,49.67%,71.90%,0.0268,"[0.9589194059371948, 0.04108058661222458]"
306,1,49.84%,71.99%,0.0323,"[0.031083296984434128, 0.9689167737960815]"
307,1,50.00%,72.08%,0.0313,"[0.03728243336081505, 0.962717592716217]"
308,0,49.84%,72.17%,0.1315,"[0.9574856162071228, 0.04251441732048988]"
309,1,50.00%,72.26%,0.0676,"[0.35776275396347046, 0.6422373056411743]"
310,0,49.84%,72.35%,0.0442,"[0.9894075989723206, 0.01059244479984045]"
311,1,50.00%,72.44%,0.0574,"[0.051204707473516464, 0.9487952589988708]"
312,0,49.84%,72.52%,0.0460,"[0.9319173097610474, 0.06808265298604965]"
313,0,49.68%,72.61%,0.0125,"[0.9807610511779785, 0.019238954409956932]"
314,0,49.52%,72.70%,0.0484,"[0.9820564389228821, 0.017943551763892174]"
315,0,49.37%,72.78%,0.4502,"[0.672683835029602, 0.32731616497039795]"
316,1,49.53%,72.87%,0.0085,"[0.008826801553368568, 0.9911732077598572]"
317,0,49.37%,72.96%,0.0081,"[0.9689403772354126, 0.031059620901942253]"
318,0,49.22%,73.04%,0.0034,"[0.9949806332588196, 0.005019431002438068]"
319,0,49.06%,73.12%,0.0020,"[0.9961126446723938, 0.0038873336743563414]"
320,1,49.22%,72.90%,0.3656,"[0.8114046454429626, 0.18859533965587616]"
321,1,49.38%,72.98%,1.7532,"[0.24749641120433807, 0.7525036334991455]"
322,0,49.23%,73.07%,0.0239,"[0.9554861783981323, 0.0445137694478035]"
323,1,49.38%,72.84%,0.9982,"[0.8024711608886719, 0.1975288987159729]"
324,1,49.54%,72.62%,0.8995,"[0.7411800622940063, 0.25881990790367126]"
325,0,49.39%,72.70%,0.0371,"[0.92196124792099, 0.0780387744307518]"
326,1,49.54%,72.78%,0.1099,"[0.11630991846323013, 0.8836900591850281]"
327,0,49.39%,72.87%,0.0462,"[0.9334530234336853, 0.0665469840168953]"
328,0,49.24%,72.95%,0.0106,"[0.9854387044906616, 0.014561339281499386]"
329,1,49.39%,73.03%,0.4107,"[0.4038374722003937, 0.5961624979972839]"
330,1,49.55%,72.81%,2.2387,"[0.7991172671318054, 0.20088276267051697]"
331,0,49.40%,72.89%,0.0877,"[0.9409948587417603, 0.059005171060562134]"
332,1,49.55%,72.97%,0.3138,"[0.3442249894142151, 0.6557750105857849]"
