round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output,alpha,0.05,,EMA Dampened
26,1,59.26%,51.85%,0.2492,"[0.22640378773212433, 0.7735962271690369]",0.78516042,,,
27,0,57.14%,50.00%,1.5639,"[0.2023899406194687, 0.7976099848747253]",0.824097399,,,
28,0,55.17%,48.28%,1.4473,"[0.23301081359386444, 0.7669891715049744]",0.855257529,,,
29,1,56.67%,50.00%,0.2419,"[0.21383066475391388, 0.7861693501472473]",0.824589652,,,
30,1,58.06%,51.61%,0.2239,"[0.2057792991399765, 0.7942206859588623]",1.9158,,,
31,0,56.25%,50.00%,1.4693,"[0.23420806229114532, 0.7657920122146606]",1.893475,,,
32,0,54.55%,48.48%,1.3621,"[0.2495342493057251, 0.7504657506942749]",1.86690625,,,
33,0,52.94%,47.06%,1.4084,"[0.24183964729309082, 0.758160412311554]",1.843980938,,,
34,1,54.29%,48.57%,0.2157,"[0.19419525563716888, 0.8058047294616699]",1.762566891,,,
35,1,55.56%,50.00%,0.2206,"[0.20441783964633942, 0.7955821752548218]",1.685468546,,,
36,0,54.05%,48.65%,1.1517,"[0.3019581437110901, 0.6980418562889099]",1.658780119,,,
37,0,52.63%,47.37%,1.4114,"[0.25087979435920715, 0.7491201758384705]",1.646411113,,,
38,1,53.85%,48.72%,0.21,"[0.18886354565620422, 0.8111364841461182]",1.574590557,,,
39,1,55.00%,50.00%,0.3454,"[0.28503525257110596, 0.7149646878242493]",1.513131029,,,
40,1,56.10%,51.22%,0.2217,"[0.19282376766204834, 0.8071762323379517]",1.448559478,,,
41,1,57.14%,52.38%,0.2587,"[0.21743792295455933, 0.7825621366500854]",1.389066504,,,
42,1,58.14%,53.49%,0.2559,"[0.23353643715381622, 0.766463577747345]",1.332408179,,,
43,0,56.82%,52.27%,1.2817,"[0.28708139061927795, 0.7129185795783997]",1.32987277,,,
44,0,55.56%,51.11%,1.0955,"[0.344223290681839, 0.6557767391204834]",1.318154131,,,
45,1,56.52%,52.17%,0.2891,"[0.24374531209468842, 0.7562547326087952]",1.266701425,,,
46,0,55.32%,51.06%,1.0404,"[0.35581204295158386, 0.6441879868507385]",1.255386354,,,
47,1,56.25%,52.08%,0.234,"[0.22123108804225922, 0.7787689566612244]",1.204317036,,,
48,0,55.10%,51.02%,1.5509,"[0.25245800614356995, 0.7475419640541077]",1.221646184,,,
49,0,54.00%,50.00%,0.8535,"[0.3990269601345062, 0.6009730696678162]",1.203238875,,,
50,1,54.90%,50.98%,0.2179,"[0.20749753713607788, 0.7925025224685669]",1.153971931,,,
51,0,53.85%,50.00%,1.2967,"[0.2821265459060669, 0.7178735136985779]",1.161108335,,,
52,1,54.72%,50.94%,0.2662,"[0.22184816002845764, 0.7781518697738647]",1.116362918,,,
53,0,53.70%,50.00%,1.1544,"[0.370707631111145, 0.629292368888855]",1.118264772,,,
54,1,54.55%,50.91%,0.204,"[0.1831721067428589, 0.8168278336524963]",1.072551533,,,
55,1,55.36%,51.79%,0.2288,"[0.1609189361333847, 0.8390810489654541]",1.030363957,,,
56,1,56.14%,52.63%,0.3078,"[0.2801029086112976, 0.7198970913887024]",0.994235759,,,
57,1,56.90%,53.45%,0.1189,"[0.16120199859142303, 0.8387979865074158]",0.950468971,,,
58,1,57.63%,54.24%,0.3056,"[0.28366100788116455, 0.7163390517234802]",0.918225522,,,
59,0,56.67%,53.33%,0.781,"[0.4852376878261566, 0.5147623419761658]",0.911364246,,,
60,0,55.74%,54.10%,0.6972,"[0.508937656879425, 0.4910622835159302]",2.9158,,,
61,0,54.84%,54.84%,0.6164,"[0.5409392714500427, 0.45906075835227966]",2.80083,,,
62,0,53.97%,53.97%,1.3168,"[0.22572322189807892, 0.7742767930030823]",2.7266285,,,
63,0,53.12%,53.12%,1.248,"[0.28638532757759094, 0.7136146426200867]",2.652697075,,,
64,1,53.85%,53.85%,0.3247,"[0.268200546503067, 0.7317994832992554]",2.536297221,,,
65,1,54.55%,54.55%,0.4656,"[0.4065798819065094, 0.5934200882911682]",2.43276236,,,
66,1,55.22%,55.22%,0.3714,"[0.2107287496328354, 0.7892712354660034]",2.329694242,,,
67,0,54.41%,55.88%,0.4809,"[0.6065389513969421, 0.393461138010025]",2.23725453,,,
68,0,53.62%,55.07%,1.0107,"[0.43525901436805725, 0.5647409558296204]",2.175926804,,,
69,0,52.86%,55.71%,0.6719,"[0.6183990240097046, 0.3816009759902954]",2.100725463,,,
70,0,52.11%,54.93%,0.9034,"[0.3753383457660675, 0.6246616244316101]",2.04085919,,,
71,0,51.39%,55.56%,0.5153,"[0.585348904132843, 0.41465115547180176]",1.964581231,,,
72,0,50.68%,56.16%,0.4177,"[0.6963812112808228, 0.30361878871917725]",1.887237169,,,
73,1,51.35%,55.41%,0.5539,"[0.5053680539131165, 0.49463194608688354]",1.820570311,,,
74,0,50.67%,54.67%,0.7171,"[0.48698660731315613, 0.5130133628845215]",1.765396795,,,
75,0,50.00%,55.26%,0.212,"[0.8278374075889587, 0.17216256260871887]",1.687726955,,,
76,0,49.35%,55.84%,0.1231,"[0.8908290863037109, 0.10917091369628906]",1.609495608,,,
77,0,48.72%,56.41%,0.1303,"[0.8797949552536011, 0.1202050969004631]",1.535535827,,,
78,0,48.10%,56.96%,0.0681,"[0.9349155426025391, 0.06508445739746094]",1.462164036,,,
79,1,48.75%,56.25%,1.5588,"[0.6771647930145264, 0.32283520698547363]",1.466995834,,,
80,1,49.38%,55.56%,1.3844,"[0.7515390515327454, 0.24846099317073822]",1.462866042,,,
81,0,48.78%,56.10%,0.0408,"[0.9596835374832153, 0.04031648114323616]",1.39176274,,,
82,1,49.40%,55.42%,1.6357,"[0.8382542133331299, 0.16174572706222534]",1.403959603,,,
83,0,48.81%,55.95%,0.039,"[0.9621915221214294, 0.037808436900377274]",1.335711623,,,
84,1,49.41%,55.29%,2.0105,"[0.8594948053359985, 0.14050526916980743]",1.369451042,,,
85,0,48.84%,55.81%,0.0452,"[0.9560045003890991, 0.043995436280965805]",1.30323849,,,
86,0,48.28%,56.32%,0.0462,"[0.9560809135437012, 0.04391913488507271]",1.240386565,,,
87,1,48.86%,55.68%,1.3071,"[0.6647655963897705, 0.3352344334125519]",1.243722237,,,
88,1,49.44%,55.06%,1.5158,"[0.7783693075180054, 0.22163069248199463]",1.257326125,,,
89,0,48.89%,55.56%,0.0631,"[0.934165358543396, 0.065834641456604]",1.197614819,,,
90,0,48.35%,56.04%,0.0571,"[0.9452680349349976, 0.05473202466964722]",3.9158,,,
91,1,48.91%,55.43%,2.0227,"[0.8741726279258728, 0.125827357172966]",3.821145,,,
92,1,49.46%,55.91%,0.9955,"[0.2952624261379242, 0.7047375440597534]",3.67986275,,,
93,0,48.94%,56.38%,0.0642,"[0.9379786849021912, 0.062021322548389435]",3.499079613,,,
94,0,48.42%,56.84%,0.0452,"[0.9563544988632202, 0.0436454676091671]",3.326385632,,,
95,0,47.92%,57.29%,0.0615,"[0.9408265352249146, 0.059173475950956345]",3.16314135,,,
96,0,47.42%,57.73%,0.0893,"[0.9145802855491638, 0.0854196771979332]",3.009449283,,,
97,1,47.96%,58.16%,0.3271,"[0.1567160040140152, 0.843284010887146]",2.875331819,,,
98,1,48.48%,57.58%,1.6996,"[0.8017596006393433, 0.19824035465717316]",2.816545228,,,
99,0,48.00%,58.00%,0.1721,"[0.8224015235900879, 0.17759853601455688]",2.684322966,,,
100,0,47.52%,58.42%,0.0776,"[0.9242706298828125, 0.07572934776544571]",2.553986818,,,
101,1,48.04%,57.84%,1.267,"[0.9188743829727173, 0.0811256542801857]",2.489637477,,,
102,0,47.57%,57.28%,0.6003,"[0.24581341445446014, 0.7541866302490234]",2.395170603,,,
103,0,47.12%,57.69%,0.0876,"[0.9185278415679932, 0.08147209882736206]",2.279792073,,,
104,0,46.67%,58.10%,0.2883,"[0.7059188485145569, 0.2940811216831207]",2.180217469,,,
105,1,47.17%,57.55%,0.9037,"[0.8144270777702332, 0.18557290732860565]",2.116391596,,,
106,0,46.73%,57.94%,0.4067,"[0.7047500610351562, 0.29524996876716614]",2.030907016,,,
107,1,47.22%,57.41%,1.757,"[0.8806806206703186, 0.11931933462619781]",2.017211665,,,
108,0,46.79%,57.80%,1.4366,"[0.5738174319267273, 0.42618265748023987]",1.988181082,,,
109,1,47.27%,57.27%,2.1607,"[0.682685136795044, 0.3173149526119232]",1.996807028,,,
110,0,46.85%,57.66%,0.0382,"[0.9624539613723755, 0.03754603490233421]",1.898876677,,,
111,1,47.32%,57.14%,0.7428,"[0.5245161056518555, 0.47548386454582214]",1.841072843,,,
112,0,46.90%,57.52%,0.0306,"[0.9698965549468994, 0.03010341338813305]",1.750549201,,,
113,0,46.49%,57.89%,0.0881,"[0.9132012128829956, 0.08679879456758499]",1.667426741,,,
114,1,46.96%,58.26%,0.0326,"[0.028393829241394997, 0.9716061949729919]",1.585685404,,,
115,1,47.41%,57.76%,2.3621,"[0.8949621319770813, 0.10503783077001572]",1.624506133,,,
116,0,47.01%,58.12%,0.0416,"[0.9595862627029419, 0.040413741022348404]",1.545360827,,,
117,1,47.46%,58.47%,0.1811,"[0.20343293249607086, 0.7965670824050903]",1.477147785,,,
118,1,47.90%,58.82%,0.3455,"[0.35170599818229675, 0.6482939720153809]",1.420565396,,,
119,0,47.50%,59.17%,0.2975,"[0.6796427965164185, 0.32035720348358154]",1.364412126,,,
120,1,47.93%,59.50%,0.0902,"[0.04678398743271828, 0.953216016292572]",4.9158,,,
121,0,47.54%,59.84%,0.0866,"[0.9152591228485107, 0.08474083989858627]",4.67434,,,
122,1,47.97%,59.35%,0.2463,"[0.5754752159118652, 0.42452481389045715]",4.452938,,,
123,1,48.39%,59.68%,0.1135,"[0.03369535133242607, 0.9663047194480896]",4.2359661,,,
124,1,48.80%,59.20%,1.0218,"[0.5787250995635986, 0.42127493023872375]",4.075257795,,,
125,1,49.21%,59.52%,0.082,"[0.05955742672085762, 0.9404426217079163]",3.875594905,,,
126,1,49.61%,59.84%,0.3551,"[0.34027567505836487, 0.6597242951393127]",3.69957016,,,
127,0,49.22%,60.16%,0.1936,"[0.8285337686538696, 0.17146620154380798]",3.524271652,,,
128,1,49.61%,60.47%,0.0384,"[0.013675211928784847, 0.9863248467445374]",3.349978069,,,
129,1,50.00%,60.77%,0.3363,"[0.2328186184167862, 0.7671813368797302]",3.199294166,,,
130,1,50.38%,61.07%,0.0555,"[0.05970412492752075, 0.9402958750724792]",3.042104458,,,
131,0,50.00%,61.36%,0.3555,"[0.699898362159729, 0.3001016676425934]",2.907774235,,,
132,1,50.38%,61.65%,0.2579,"[0.04551044479012489, 0.9544895887374878]",2.775280523,,,
133,1,50.75%,61.94%,0.0532,"[0.14869560301303864, 0.8513044118881226]",2.639176497,,,
134,0,50.37%,62.22%,0.311,"[0.7575454115867615, 0.2424546182155609]",2.522767672,,,
135,1,50.74%,62.50%,0.3888,"[0.11569473892450333, 0.8843052387237549]",2.416069288,,,
136,1,51.09%,62.77%,0.0416,"[0.04101087898015976, 0.958989143371582]",2.297345824,,,
137,0,50.72%,62.32%,2.4735,"[0.116056427359581, 0.8839436173439026]",2.306153533,,,
138,1,51.08%,62.59%,0.0078,"[0.013263530097901821, 0.9867364764213562]",2.191235856,,,
139,1,51.43%,62.86%,0.0214,"[0.02689388580620289, 0.9731061458587646]",2.082744063,,,
140,0,51.06%,62.41%,0.9183,"[0.43714529275894165, 0.5628546476364136]",2.02452186,,,
141,0,50.70%,61.97%,1.9923,"[0.13576343655586243, 0.86423659324646]",2.022910767,,,
142,1,51.05%,62.24%,0.1345,"[0.12168580293655396, 0.8783142566680908]",1.928490229,,,
143,0,50.69%,62.50%,0.133,"[0.8746544718742371, 0.12534549832344055]",1.838715717,,,
144,0,50.34%,62.76%,0.5085,"[0.5421649217605591, 0.45783504843711853]",1.772204932,,,
145,0,50.00%,63.01%,0.4076,"[0.703536868095398, 0.29646313190460205]",1.703974685,,,
146,1,50.34%,63.27%,0.0075,"[0.00839617196470499, 0.9916037917137146]",1.619150951,,,
147,0,50.00%,63.51%,0.6023,"[0.6748612523078918, 0.32513874769210815]",1.568308403,,,
148,0,49.66%,63.76%,0.0938,"[0.8820070624351501, 0.11799288541078568]",1.494582983,,,
149,0,49.33%,64.00%,0.1992,"[0.7995101809501648, 0.2004898637533188]",1.429813834,,,
150,0,49.01%,64.24%,0.1547,"[0.8527076840400696, 0.14729231595993042]",5.9158,,,
151,1,49.34%,64.47%,0.0969,"[0.13270890712738037, 0.8672911524772644]",5.624855,,,
152,1,49.67%,64.71%,0.0136,"[0.010067954659461975, 0.9899320602416992]",5.34429225,,,
153,1,50.00%,64.94%,0.4954,"[0.10726936906576157, 0.8927306532859802]",5.101847638,,,
154,1,50.32%,65.16%,0.2997,"[0.043463803827762604, 0.9565361738204956]",4.861740256,,,
155,0,50.00%,65.38%,0.0197,"[0.9816546440124512, 0.018345389515161514]",4.619638243,,,
156,1,50.32%,65.61%,0.1511,"[0.27469733357429504, 0.7253026366233826]",4.396211331,,,
157,0,50.00%,65.82%,0.0212,"[0.9776170253753662, 0.022382933646440506]",4.177460764,,,
158,0,49.69%,65.41%,0.9948,"[0.20507928729057312, 0.7949207425117493]",4.018327726,,,
159,0,49.38%,65.62%,0.2528,"[0.9151142239570618, 0.08488578349351883]",3.83005134,,,
160,1,49.69%,65.84%,0.1348,"[0.02024662122130394, 0.9797533750534058]",3.645288773,,,
161,0,49.38%,66.05%,0.0436,"[0.9486995339393616, 0.05130048096179962]",3.465204334,,,
162,0,49.08%,66.26%,0.0157,"[0.9841422438621521, 0.015857746824622154]",3.292729117,,,
163,0,48.78%,66.46%,1.1123,"[0.6029009222984314, 0.39709901809692383]",3.183707661,,,
164,0,48.48%,66.67%,0.0651,"[0.863021969795227, 0.13697798550128937]",3.027777278,,,
165,0,48.19%,66.87%,0.0176,"[0.9818360805511475, 0.018163977190852165]",2.877268414,,,
166,1,48.50%,66.47%,1.5605,"[0.918182909488678, 0.08181712031364441]",2.811429994,,,
167,1,48.81%,66.07%,0.4433,"[0.6354640126228333, 0.36453598737716675]",2.693023494,,,
168,1,49.11%,66.27%,0.1421,"[0.10233300179243088, 0.8976669907569885]",2.565477319,,,
169,1,49.41%,65.88%,1.7599,"[0.649029552936554, 0.35097041726112366]",2.525198453,,,
170,0,49.12%,66.08%,0.0583,"[0.8921841382980347, 0.10781587660312653]",2.401853531,,,
171,0,48.84%,66.28%,0.0173,"[0.9856319427490234, 0.01436804048717022]",2.282625854,,,
172,0,48.55%,66.47%,0.0105,"[0.9902481436729431, 0.009751895442605019]",2.169019561,,,
173,1,48.85%,66.67%,0.0229,"[0.029255924746394157, 0.9707440733909607]",2.061713583,,,
174,0,48.57%,66.86%,0.0064,"[0.9937565326690674, 0.00624340632930398]",1.958947904,,,
175,0,48.30%,67.05%,0.0127,"[0.9859025478363037, 0.014097446575760841]",1.861635509,,,
176,1,48.59%,66.67%,1.1234,"[0.8104336857795715, 0.18956632912158966]",1.824723734,,,
177,1,48.88%,66.85%,0.0342,"[0.01615940034389496, 0.9838406443595886]",1.735197547,,,
178,1,49.16%,67.04%,0.0239,"[0.024966949597001076, 0.9750330448150635]",1.64963267,,,
179,0,48.89%,67.22%,0.0553,"[0.927605390548706, 0.07239465415477753]",1.569916036,,,
180,1,49.17%,67.40%,1.0411,"[0.3642861843109131, 0.6357137560844421]",1.543475234,,,
181,1,49.45%,67.58%,2.3301,"[0.19259709119796753, 0.8074029088020325]",1.582806473,,,
182,1,49.73%,67.76%,0.0287,"[0.015226941555738449, 0.9847730398178101]",1.505101149,,,
183,1,50.00%,67.93%,0.3771,"[0.04355635866522789, 0.9564436674118042]",1.448701091,,,
184,0,49.73%,68.11%,1.409,"[0.8998934626579285, 0.10010651499032974]",1.446716037,,,
185,0,49.46%,68.28%,0.034,"[0.9624806642532349, 0.037519387900829315]",1.376080235,,,
186,1,49.73%,68.45%,0.2206,"[0.1469142585992813, 0.8530857563018799]",1.318306223,,,
187,1,50.00%,68.62%,0.3424,"[0.3262633681297302, 0.6737366318702698]",1.269510912,,,
188,0,49.74%,68.78%,1.358,"[0.5331627130508423, 0.4668373465538025]",1.273935367,,,
189,1,50.00%,68.95%,0.0056,"[0.006998727098107338, 0.9930013418197632]",1.210518598,,,
190,1,50.26%,69.11%,0.015,"[0.014615766704082489, 0.9853842854499817]",1.150742668,,,
191,1,50.52%,69.27%,0.1087,"[0.05701129510998726, 0.9429887533187866]",1.098640535,,,
192,1,50.78%,69.43%,0.0489,"[0.043081656098365784, 0.9569182991981506]",1.046153508,,,
193,0,50.52%,69.59%,0.3322,"[0.8242759704589844, 0.17572398483753204]",1.010455833,,,
194,0,50.26%,69.23%,3.2034,"[0.06538354605436325, 0.9346164464950562]",1.120103041,,,
195,0,50.00%,69.39%,0.8118,"[0.6493467688560486, 0.35065320134162903]",1.104687889,,,
196,0,49.75%,69.54%,0.088,"[0.8933570981025696, 0.10664285719394684]",1.053853495,,,
197,0,49.49%,69.70%,0.0326,"[0.971235990524292, 0.02876405231654644]",1.00279082,,,
198,0,49.25%,69.35%,3.1527,"[0.21520933508872986, 0.7847906947135925]",1.110286279,,,
199,1,49.50%,69.50%,0.1206,"[0.05796055495738983, 0.9420394897460938]",1.060801965,,,
200,0,49.25%,69.65%,0.1987,"[0.8673264384269714, 0.13267357647418976]",1.017696867,,,
201,1,49.50%,69.80%,0.3296,"[0.4641445279121399, 0.5358554720878601]",0.983292023,,,
202,1,49.75%,69.95%,0.0106,"[0.007978569716215134, 0.9920215010643005]",0.934657422,,,
203,1,50.00%,70.10%,0.2074,"[0.041688453406095505, 0.9583115577697754]",0.898294551,,,
204,1,50.24%,70.24%,0.301,"[0.10971643775701523, 0.8902835845947266]",0.868429824,,,
205,0,50.00%,69.90%,1.6586,"[0.2809710204601288, 0.7190289497375488]",0.907938332,,,
206,1,50.24%,70.05%,0.2134,"[0.37095195055007935, 0.6290481090545654]",0.873211416,,,
207,0,50.00%,70.19%,0.8336,"[0.6738024950027466, 0.32619744539260864]",0.871230845,,,
208,0,49.76%,70.33%,0.0304,"[0.9745511412620544, 0.025448834523558617]",0.829189303,,,
209,0,49.52%,70.48%,0.0241,"[0.976940929889679, 0.023059098049998283]",0.788934838,,,
210,0,49.29%,70.62%,0.307,"[0.5784486532211304, 0.42155131697654724]",0.764838096,,,
211,0,49.06%,70.28%,2.7025,"[0.13534210622310638, 0.8646578788757324]",0.861721191,,,
212,1,49.30%,70.42%,2.2067,"[0.2740372121334076, 0.7259628176689148]",0.928970131,,,
213,0,49.07%,70.56%,0.0242,"[0.9742375612258911, 0.025762449949979782]",0.883731625,,,
214,0,48.84%,70.70%,0.2479,"[0.8509228229522705, 0.14907725155353546]",0.851940044,,,
215,0,48.61%,70.83%,0.0128,"[0.987588107585907, 0.012411920353770256]",0.809983041,,,
216,1,48.85%,70.51%,2.121,"[0.7995073795318604, 0.20049263536930084]",0.875533889,,,
217,0,48.62%,70.64%,0.0069,"[0.9928305745124817, 0.007169421296566725]",0.832102195,,,
218,0,48.40%,70.78%,0.005,"[0.994858980178833, 0.005141069646924734]",0.790747085,,,
219,1,48.64%,70.45%,2.7088,"[0.6245511174201965, 0.37544891238212585]",0.886649731,,,
220,0,48.42%,70.59%,0.0077,"[0.9918859004974365, 0.008114145137369633]",0.842702244,,,
221,1,48.65%,70.27%,1.3049,"[0.8236821293830872, 0.17631787061691284]",0.865812132,,,
222,0,48.43%,70.40%,0.0238,"[0.979935348033905, 0.02006470039486885]",0.823711525,,,
223,1,48.66%,70.54%,0.0104,"[0.009355152025818825, 0.9906448125839233]",0.783045949,,,
224,0,48.44%,70.67%,0.0153,"[0.986077070236206, 0.013922886922955513]",0.744658652,,,
225,1,48.67%,70.80%,0.0058,"[0.006596274208277464, 0.9934037327766418]",0.707715719,,,
226,0,48.46%,70.48%,0.894,"[0.3479267954826355, 0.6520732641220093]",0.717029933,,,
227,1,48.68%,70.61%,0.005,"[0.007013525813817978, 0.9929865002632141]",0.681428437,,,
228,1,48.91%,70.74%,0.0708,"[0.07848402857780457, 0.9215160012245178]",0.650897015,,,
229,0,48.70%,70.87%,0.2532,"[0.8125417828559875, 0.18745826184749603]",0.631012164,,,
230,1,48.92%,70.56%,0.3962,"[0.5939193964004517, 0.4060806334018707]",0.619271556,,,
231,0,48.71%,70.69%,0.009,"[0.9860105514526367, 0.013989425264298916]",0.588757978,,,
232,0,48.50%,70.82%,0.0077,"[0.9906439781188965, 0.009355960413813591]",0.559705079,,,
233,1,48.72%,70.94%,0.0166,"[0.008632148616015911, 0.9913678765296936]",0.532549825,,,
234,0,48.51%,71.06%,0.6537,"[0.5047078728675842, 0.49529212713241577]",0.538607334,,,
235,0,48.31%,71.19%,0.0059,"[0.9931040406227112, 0.006895963568240404]",0.511971967,,,
236,1,48.52%,70.89%,0.098,"[0.5612385272979736, 0.4387614130973816]",0.491273369,,,
237,1,48.74%,71.01%,0.009,"[0.00870931800454855, 0.9912906885147095]",0.4671597,,,
238,0,48.54%,71.13%,0.0116,"[0.989025890827179, 0.010974163189530373]",0.444381715,,,
239,0,48.33%,71.25%,0.1068,"[0.7846595644950867, 0.21534045040607452]",0.42750263,,,
240,0,48.13%,71.37%,0.0094,"[0.9918763637542725, 0.00812358595430851]",0.406597498,,,
241,1,48.35%,71.49%,0.0692,"[0.16893413662910461, 0.8310658931732178]",0.389727623,,,
242,1,48.56%,71.60%,0.1958,"[0.1194334402680397, 0.8805665373802185]",0.380031242,,,
243,0,48.36%,71.72%,0.0038,"[0.9964775443077087, 0.003522419137880206]",0.36121968,,,
244,1,48.57%,71.84%,0.013,"[0.12328863888978958, 0.8767114281654358]",0.343808696,,,
245,0,48.37%,71.95%,0.0045,"[0.9952314496040344, 0.004768578335642815]",0.326843261,,,
246,0,48.18%,72.06%,0.0082,"[0.9878881573677063, 0.012111813761293888]",0.310911098,,,
247,1,48.39%,71.77%,0.0255,"[0.590336263179779, 0.40966373682022095]",0.296640543,,,
248,0,48.19%,71.89%,0.0056,"[0.9947423934936523, 0.005257581826299429]",0.282088516,,,
249,0,48.00%,72.00%,0.0048,"[0.9951159954071045, 0.004884001333266497]",0.26822409,,,
250,1,48.21%,72.11%,0.1215,"[0.1559070646762848, 0.8440929055213928]",0.260887886,,,
251,1,48.41%,72.22%,0.8975,"[0.057512566447257996, 0.942487359046936]",0.292718491,,,
252,0,48.22%,72.33%,0.0035,"[0.9963825941085815, 0.0036174310371279716]",0.278257567,,,
253,1,48.43%,72.44%,0.0043,"[0.0034775726962834597, 0.9965224266052246]",0.264559689,,,
254,1,48.63%,72.55%,0.4052,"[0.44625338912010193, 0.5537465810775757]",0.271591704,,,
255,1,48.83%,72.66%,0.0056,"[0.004962494596838951, 0.9950374960899353]",0.258292119,,,
256,0,48.64%,72.76%,0.0101,"[0.9874293208122253, 0.012570647522807121]",0.245882513,,,
257,1,48.84%,72.87%,0.0097,"[0.009718778543174267, 0.9902812242507935]",0.234073387,,,
258,0,48.65%,72.97%,0.0066,"[0.9928916692733765, 0.007108345627784729]",0.222699718,,,
259,0,48.46%,73.08%,0.0263,"[0.9668759703636169, 0.03312399610877037]",0.212879732,,,
260,1,48.66%,73.18%,0.0084,"[0.02679581008851528, 0.9732041358947754]",0.202655745,,,
261,0,48.47%,73.28%,0.0069,"[0.9929702877998352, 0.00702976668253541]",0.192867958,,,
262,1,48.67%,73.38%,0.0047,"[0.0035733142867684364, 0.9964266419410706]",0.18345956,,,
263,0,48.48%,73.48%,0.7878,"[0.9195979833602905, 0.08040202409029007]",0.213676582,,,
264,1,48.68%,73.58%,0.17,"[0.06860674172639847, 0.9313932061195374]",0.211492753,,,
265,0,48.50%,73.31%,3.4045,"[0.0510532520711422, 0.9489467740058899]",0.371143115,,,
266,1,48.69%,73.41%,0.0166,"[0.04444701969623566, 0.9555529356002808]",0.35341596,,,
267,1,48.88%,73.51%,0.0137,"[0.005181442946195602, 0.9948186278343201]",0.336430162,,,
268,1,49.07%,73.61%,0.0131,"[0.006230594590306282, 0.9937693476676941]",0.320263654,,,
269,0,48.89%,73.70%,0.0257,"[0.9804460406303406, 0.01955397054553032]",0.305535471,,,
270,0,48.71%,73.80%,0.0437,"[0.91985684633255, 0.08014308661222458]",0.292443697,,,
271,1,48.90%,73.90%,0.0113,"[0.009910183027386665, 0.9900897741317749]",0.278386513,,,
272,1,49.08%,73.99%,0.0017,"[0.0017008600989356637, 0.9982991814613342]",0.264552187,,,
273,1,49.27%,74.09%,0.0147,"[0.016211243346333504, 0.9837887287139893]",0.252059578,,,
274,1,49.45%,74.18%,0.0545,"[0.17600424587726593, 0.8239957690238953]",0.242181599,,,
275,1,49.64%,73.91%,2.2101,"[0.9249998331069946, 0.07500021159648895]",0.340577519,,,
276,1,49.82%,74.01%,0.0068,"[0.003041698131710291, 0.9969583749771118]",0.323888643,,,
277,0,49.64%,74.10%,0.0624,"[0.9810112118721008, 0.01898884028196335]",0.310814211,,,
278,0,49.46%,74.19%,0.0126,"[0.9867092370986938, 0.013290774077177048]",0.2959035,,,
