round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output,,1
134,0,50.37%,61.48%,0.6037,"[0.4684197008609772, 0.5315803289413452]",0.6037,
135,1,50.74%,61.76%,0.3134,"[0.2454833835363388, 0.7545166015625]",0.3134,
136,1,51.09%,62.04%,0.0411,"[0.04267468675971031, 0.957325279712677]",0.0411,
137,0,50.72%,61.59%,2.5477,"[0.10850247740745544, 0.8914974927902222]",2.5477,
138,1,51.08%,61.87%,0.0134,"[0.014621137641370296, 0.9853788614273071]",0.0134,
139,1,51.43%,62.14%,0.0215,"[0.016095707193017006, 0.9839043617248535]",0.0215,
140,0,51.06%,61.70%,1.7198,"[0.18992376327514648, 0.8100761771202087]",1.7198,
141,0,50.70%,61.27%,3.2857,"[0.07249103486537933, 0.9275089502334595]",3.2857,
142,1,51.05%,61.54%,0.0473,"[0.032941609621047974, 0.9670584201812744]",0.0473,
143,0,50.69%,61.11%,0.9763,"[0.45030590891838074, 0.5496941208839417]",0.9763,
144,0,50.34%,60.69%,1.0446,"[0.3101600408554077, 0.6898398995399475]",1.0446,
145,0,50.00%,60.27%,0.9536,"[0.37028810381889343, 0.6297118663787842]",0.9536,
146,1,50.34%,60.54%,0.0115,"[0.01326623372733593, 0.9867337942123413]",0.0115,
147,0,50.00%,60.14%,0.5678,"[0.49773108959198, 0.5022688508033752]",0.5678,
148,0,49.66%,60.40%,0.1139,"[0.8881906270980835, 0.11180931329727173]",0.1139,
149,0,49.33%,60.67%,0.2131,"[0.7938851714134216, 0.20611481368541718]",0.2131,
150,0,49.01%,60.93%,0.3368,"[0.7324777245521545, 0.26752227544784546]",0.3368,
151,1,49.34%,61.18%,0.2069,"[0.20261603593826294, 0.7973839044570923]",0.2069,
152,1,49.67%,61.44%,0.0177,"[0.01727123372256756, 0.9827287793159485]",0.0177,
153,1,50.00%,61.69%,0.4968,"[0.25633886456489563, 0.7436611652374268]",0.4968,
154,1,50.32%,61.94%,0.0749,"[0.2725992500782013, 0.7274007201194763]",0.0749,
155,0,50.00%,62.18%,0.0403,"[0.9547947645187378, 0.045205239206552505]",0.0403,
156,1,50.32%,61.78%,2.0608,"[0.640123724937439, 0.35987627506256104]",2.0608,
157,0,50.00%,62.03%,0.0288,"[0.9663691520690918, 0.033630840480327606]",0.0288,
158,0,49.69%,61.64%,1.0621,"[0.4081687033176422, 0.5918313264846802]",1.0621,
159,0,49.38%,61.88%,0.4279,"[0.7705208659172058, 0.22947916388511658]",0.4279,
160,1,49.69%,62.11%,0.0706,"[0.13273191452026367, 0.8672680854797363]",0.0706,
161,0,49.38%,62.35%,0.045,"[0.9394018650054932, 0.060598134994506836]",0.045,
162,0,49.08%,62.58%,0.0333,"[0.956141471862793, 0.04385846108198166]",0.0333,
163,0,48.78%,62.80%,0.416,"[0.6669139266014099, 0.3330860733985901]",0.416,
164,0,48.48%,63.03%,0.204,"[0.8602450489997864, 0.13975493609905243]",0.204,
165,0,48.19%,63.25%,0.0222,"[0.9735157489776611, 0.026484282687306404]",0.0222,
166,1,48.50%,62.87%,1.084,"[0.5685831308364868, 0.4314168691635132]",1.084,
167,1,48.81%,62.50%,1.3698,"[0.5567352175712585, 0.4432647228240967]",1.3698,
168,1,49.11%,62.13%,1.219,"[0.5990181565284729, 0.4009818732738495]",1.219,
169,1,49.41%,61.76%,1.6483,"[0.8850445747375488, 0.11495542526245117]",1.6483,
170,0,49.12%,61.99%,0.0858,"[0.8995158672332764, 0.10048415511846542]",0.0858,
171,0,48.84%,62.21%,0.0152,"[0.9882270693778992, 0.01177287008613348]",0.0152,
172,0,48.55%,62.43%,0.0141,"[0.9867132902145386, 0.013286716304719448]",0.0141,
173,1,48.85%,62.64%,0.0351,"[0.02540614828467369, 0.9745938777923584]",0.0351,
174,0,48.57%,62.86%,0.012,"[0.9889784455299377, 0.0110216299071908]",0.012,
175,0,48.30%,63.07%,0.0138,"[0.9856802225112915, 0.01431980449706316]",0.0138,
176,1,48.59%,62.71%,1.8297,"[0.8234460353851318, 0.17655396461486816]",1.8297,
177,1,48.88%,62.92%,0.0292,"[0.028034716844558716, 0.9719653129577637]",0.0292,
178,1,49.16%,63.13%,0.0186,"[0.02023632638156414, 0.9797636270523071]",0.0186,
179,0,48.89%,63.33%,0.0946,"[0.8849416375160217, 0.11505834013223648]",0.0946,
180,1,49.17%,62.98%,0.8517,"[0.6992776989936829, 0.30072227120399475]",0.8517,
181,1,49.45%,62.64%,2.3429,"[0.8878811597824097, 0.11211887747049332]",2.3429,
182,1,49.73%,62.84%,0.0152,"[0.016579223796725273, 0.9834207892417908]",0.0152,
183,1,50.00%,63.04%,0.557,"[0.2742511034011841, 0.7257488965988159]",0.557,
184,0,49.73%,63.24%,0.3341,"[0.7303505539894104, 0.2696494460105896]",0.3341,
185,0,49.46%,63.44%,0.0316,"[0.9723649621009827, 0.02763506956398487]",0.0316,
186,1,49.73%,63.64%,0.1888,"[0.15540455281734467, 0.8445954322814941]",0.1888,
187,1,50.00%,63.83%,0.4051,"[0.41297176480293274, 0.5870282649993896]",0.4051,
188,0,49.74%,64.02%,0.2296,"[0.6521692276000977, 0.34783080220222473]",0.2296,
189,1,50.00%,64.21%,0.0121,"[0.013759670779109001, 0.9862403273582458]",0.0121,
190,1,50.26%,64.40%,0.0535,"[0.03600588068366051, 0.9639940857887268]",0.0535,
191,1,50.52%,64.58%,0.2293,"[0.3716631531715393, 0.6283369064331055]",0.2293,
192,1,50.78%,64.77%,0.1349,"[0.08818124979734421, 0.91181880235672]",0.1349,
193,0,50.52%,64.95%,0.1363,"[0.8578675389289856, 0.1421324908733368]",0.1363,
194,0,50.26%,64.62%,2.5737,"[0.0644037276506424, 0.9355962872505188]",2.5737,
195,0,50.00%,64.80%,0.1841,"[0.8169133067131042, 0.18308667838573456]",0.1841,
196,0,49.75%,64.97%,0.0922,"[0.922166645526886, 0.07783330231904984]",0.0922,
197,0,49.49%,65.15%,0.0524,"[0.9512539505958557, 0.04874606430530548]",0.0524,
198,0,49.25%,64.82%,1.7145,"[0.11517656594514847, 0.8848235011100769]",1.7145,
199,1,49.50%,65.00%,0.1853,"[0.33746469020843506, 0.6625353693962097]",0.1853,
200,0,49.25%,65.17%,0.0523,"[0.9479421973228455, 0.05205775052309036]",0.0523,
201,1,49.50%,65.35%,1.2134,"[0.25718531012535095, 0.7428147196769714]",1.2134,
202,1,49.75%,65.52%,0.0122,"[0.008482812903821468, 0.991517186164856]",0.0122,
203,1,50.00%,65.69%,0.2663,"[0.1178727075457573, 0.8821272850036621]",0.2663,
204,1,50.24%,65.85%,0.0345,"[0.1300739049911499, 0.8699260950088501]",0.0345,
205,0,50.00%,65.53%,1.8367,"[0.1809309870004654, 0.819068968296051]",1.8367,
206,1,50.24%,65.70%,0.1823,"[0.25892090797424316, 0.7410790324211121]",0.1823,
207,0,50.00%,65.87%,0.3662,"[0.5064054727554321, 0.49359455704689026]",0.3662,
208,0,49.76%,66.03%,0.0684,"[0.9439955949783325, 0.056004397571086884]",0.0684,
209,0,49.52%,66.19%,0.0398,"[0.9616991281509399, 0.03830087557435036]",0.0398,
210,0,49.29%,66.35%,0.4659,"[0.7881901264190674, 0.21180984377861023]",0.4659,
211,0,49.06%,66.04%,1.6612,"[0.07689497619867325, 0.923105001449585]",1.6612,
212,1,49.30%,65.73%,0.506,"[0.8145636916160583, 0.18543635308742523]",0.506,
213,0,49.07%,65.89%,0.0229,"[0.9730463027954102, 0.02695373259484768]",0.0229,
214,0,48.84%,66.05%,0.1708,"[0.8605597019195557, 0.13944025337696075]",0.1708,
215,0,48.61%,66.20%,0.0108,"[0.9851272702217102, 0.014872771687805653]",0.0108,
216,1,48.85%,66.36%,0.0802,"[0.032130055129528046, 0.9678699374198914]",0.0802,
217,0,48.62%,66.51%,0.0313,"[0.9691969752311707, 0.030803091824054718]",0.0313,
218,0,48.40%,66.67%,0.0109,"[0.9930127263069153, 0.00698726624250412]",0.0109,
219,1,48.64%,66.82%,1.9268,"[0.3172648549079895, 0.6827351450920105]",1.9268,
220,0,48.42%,66.97%,0.0149,"[0.9866605997085571, 0.013339405879378319]",0.0149,
221,1,48.65%,66.67%,0.3146,"[0.6879097819328308, 0.3120901882648468]",0.3146,
222,0,48.43%,66.82%,0.0103,"[0.9900813698768616, 0.009918599389493465]",0.0103,
223,1,48.66%,66.96%,0.0116,"[0.013611402362585068, 0.986388623714447]",0.0116,
224,0,48.44%,67.11%,0.0078,"[0.9884504079818726, 0.011549544520676136]",0.0078,
225,1,48.67%,67.26%,0.0113,"[0.010966205969452858, 0.9890338182449341]",0.0113,
226,0,48.46%,67.40%,0.3873,"[0.7045228481292725, 0.29547712206840515]",0.3873,
227,1,48.68%,67.54%,0.0089,"[0.00830428022891283, 0.9916957020759583]",0.0089,
228,1,48.91%,67.69%,0.0436,"[0.0443950891494751, 0.9556049704551697]",0.0436,
229,0,48.70%,67.39%,0.6089,"[0.3732491731643677, 0.6267508864402771]",0.6089,
230,1,48.92%,67.10%,0.6193,"[0.5842535495758057, 0.41574645042419434]",0.6193,
231,0,48.71%,67.24%,0.017,"[0.9936000108718872, 0.0064000329002738]",0.017,
232,0,48.50%,67.38%,0.0077,"[0.9847780466079712, 0.015221979469060898]",0.0077,
233,1,48.72%,67.52%,0.0137,"[0.014911042526364326, 0.9850890040397644]",0.0137,
234,0,48.51%,67.66%,0.3204,"[0.7585650682449341, 0.24143487215042114]",0.3204,
235,0,48.31%,67.80%,0.007,"[0.9932156205177307, 0.0067843967117369175]",0.007,
236,1,48.52%,67.51%,2.2145,"[0.8001376390457153, 0.19986236095428467]",2.2145,
237,1,48.74%,67.65%,0.0263,"[0.017023464664816856, 0.9829765558242798]",0.0263,
238,0,48.54%,67.78%,0.0102,"[0.9906272888183594, 0.009372721426188946]",0.0102,
239,0,48.33%,67.92%,0.2111,"[0.9433373212814331, 0.056662753224372864]",0.2111,
240,0,48.13%,68.05%,0.0161,"[0.9875857830047607, 0.012414229102432728]",0.0161,
241,1,48.35%,68.18%,0.3302,"[0.27526673674583435, 0.724733293056488]",0.3302,
242,1,48.56%,68.31%,0.2927,"[0.05560440197587013, 0.9443956017494202]",0.2927,
243,0,48.36%,68.44%,0.0073,"[0.9918988943099976, 0.008101149462163448]",0.0073,
244,1,48.57%,68.57%,0.1621,"[0.09747929871082306, 0.9025207161903381]",0.1621,
245,0,48.37%,68.70%,0.0077,"[0.9903900623321533, 0.00960986502468586]",0.0077,
246,0,48.18%,68.83%,0.0161,"[0.9928146600723267, 0.007185367401689291]",0.0161,
247,1,48.39%,68.95%,0.1808,"[0.36970677971839905, 0.6302932500839233]",0.1808,
248,0,48.19%,69.08%,0.0233,"[0.9847004413604736, 0.015299506485462189]",0.0233,
249,0,48.00%,69.20%,0.0059,"[0.9907468557357788, 0.009253200143575668]",0.0059,
250,1,48.21%,69.32%,0.015,"[0.012052439153194427, 0.9879475235939026]",0.015,
251,1,48.41%,69.44%,0.0538,"[0.0555708222091198, 0.9444292187690735]",0.0538,
252,0,48.22%,69.57%,0.0157,"[0.9898796081542969, 0.010120432823896408]",0.0157,
253,1,48.43%,69.69%,0.0047,"[0.005533999297767878, 0.9944660067558289]",0.0047,
254,1,48.63%,69.80%,0.126,"[0.16018511354923248, 0.8398149013519287]",0.126,
255,1,48.83%,69.92%,0.0067,"[0.006495293695479631, 0.9935046434402466]",0.0067,
256,0,48.64%,70.04%,0.0488,"[0.9299498796463013, 0.0700501874089241]",0.0488,
257,1,48.84%,70.16%,0.0176,"[0.05188983678817749, 0.9481102228164673]",0.0176,
258,0,48.65%,70.27%,0.0127,"[0.9853030443191528, 0.014696948230266571]",0.0127,
259,0,48.46%,70.38%,0.0552,"[0.9304446578025818, 0.06955536454916]",0.0552,
260,1,48.66%,70.50%,0.0169,"[0.011537422426044941, 0.988462507724762]",0.0169,
261,0,48.47%,70.61%,0.007,"[0.9874383807182312, 0.012561672367155552]",0.007,
262,1,48.67%,70.72%,0.0038,"[0.0045921956188976765, 0.99540776014328]",0.0038,
263,0,48.48%,70.45%,1.0825,"[0.1501815915107727, 0.8498184680938721]",1.0825,
264,1,48.68%,70.57%,0.0219,"[0.018103493377566338, 0.9818965196609497]",0.0219,
265,0,48.50%,70.30%,3.7542,"[0.018706053495407104, 0.9812939763069153]",3.7542,
266,1,48.69%,70.41%,0.0288,"[0.030109332874417305, 0.9698907136917114]",0.0288,
267,1,48.88%,70.52%,0.0101,"[0.010329312644898891, 0.9896706938743591]",0.0101,
268,1,49.07%,70.63%,0.0104,"[0.029763976112008095, 0.9702360033988953]",0.0104,
269,0,48.89%,70.74%,0.0367,"[0.9588442444801331, 0.04115571081638336]",0.0367,
270,0,48.71%,70.85%,0.0282,"[0.9712028503417969, 0.028797214850783348]",0.0282,
271,1,48.90%,70.96%,0.0078,"[0.007702619768679142, 0.992297351360321]",0.0078,
272,1,49.08%,71.06%,0.0042,"[0.004237514920532703, 0.9957625269889832]",0.0042,
273,1,49.27%,71.17%,0.0111,"[0.008512691594660282, 0.9914872646331787]",0.0111,
274,1,49.45%,71.27%,0.0207,"[0.020236728712916374, 0.9797633290290833]",0.0207,
275,1,49.64%,71.38%,0.0921,"[0.43975770473480225, 0.560242235660553]",0.0921,
276,1,49.82%,71.48%,0.0052,"[0.0036571365781128407, 0.9963428378105164]",0.0052,
277,0,49.64%,71.58%,0.0063,"[0.9961172342300415, 0.0038827203679829836]",0.0063,
278,0,49.46%,71.68%,0.0122,"[0.9881565570831299, 0.01184347365051508]",0.0122,
279,1,49.64%,71.79%,0.014,"[0.014063786715269089, 0.9859362840652466]",0.014,
280,1,49.82%,71.89%,0.4639,"[0.29363399744033813, 0.7063660025596619]",0.4639,
281,1,50.00%,71.99%,0.0168,"[0.009167192503809929, 0.9908328652381897]",0.0168,
282,1,50.18%,72.08%,0.0074,"[0.006312827579677105, 0.9936872124671936]",0.0074,
283,1,50.35%,72.18%,0.0213,"[0.020642340183258057, 0.9793577194213867]",0.0213,
284,1,50.53%,72.28%,0.0052,"[0.004364192485809326, 0.9956358075141907]",0.0052,
285,1,50.70%,72.38%,0.8818,"[0.1425643116235733, 0.8574357032775879]",0.8818,
286,0,50.52%,72.47%,0.0292,"[0.9655360579490662, 0.03446399047970772]",0.0292,
287,0,50.35%,72.57%,0.0572,"[0.9607455134391785, 0.039254508912563324]",0.0572,
288,0,50.17%,72.32%,3.5585,"[0.020657749846577644, 0.9793422818183899]",3.5585,
289,0,50.00%,72.07%,0.5816,"[0.3805125057697296, 0.6194875240325928]",0.5816,
290,0,49.83%,72.16%,0.0143,"[0.977848470211029, 0.0221515242010355]",0.0143,
291,1,50.00%,72.26%,0.041,"[0.034755319356918335, 0.965244710445404]",0.041,
292,0,49.83%,72.35%,0.0113,"[0.9815570116043091, 0.018442971631884575]",0.0113,
293,1,50.00%,72.45%,0.0033,"[0.0037680226378142834, 0.9962319731712341]",0.0033,
294,0,49.83%,72.54%,0.0055,"[0.9928309321403503, 0.00716911256313324]",0.0055,
295,0,49.66%,72.64%,0.0043,"[0.9944553971290588, 0.005544566549360752]",0.0043,
296,1,49.83%,72.73%,0.0035,"[0.0032051317393779755, 0.9967948794364929]",0.0035,
297,0,49.66%,72.82%,0.006,"[0.9921253323554993, 0.00787470955401659]",0.006,
