round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output
28,0,55.17%,55.17%,0.7953,"[0.4519718587398529, 0.5480281114578247]"
29,1,56.67%,56.67%,0.5852,"[0.44046950340270996, 0.55953049659729]"
30,1,58.06%,58.06%,0.5975,"[0.44983163475990295, 0.5501683354377747]"
31,0,56.25%,56.25%,0.7457,"[0.47499048709869385, 0.5250095129013062]"
32,0,54.55%,54.55%,0.7743,"[0.4594968557357788, 0.5405031442642212]"
33,0,52.94%,52.94%,0.7939,"[0.45308586955070496, 0.5469141006469727]"
34,1,54.29%,54.29%,0.5717,"[0.4358745217323303, 0.5641254186630249]"
35,1,55.56%,55.56%,0.5982,"[0.44832557439804077, 0.5516744256019592]"
36,0,54.05%,54.05%,0.7734,"[0.4624462127685547, 0.5375537872314453]"
37,0,52.63%,52.63%,0.8089,"[0.44836094975471497, 0.5516390800476074]"
38,1,53.85%,53.85%,0.5767,"[0.43784093856811523, 0.5621591210365295]"
39,1,55.00%,55.00%,0.6096,"[0.4553107023239136, 0.5446892976760864]"
40,1,56.10%,56.10%,0.6064,"[0.460617333650589, 0.5393826365470886]"
41,1,57.14%,57.14%,0.6217,"[0.46100112795829773, 0.5389988422393799]"
42,1,58.14%,58.14%,0.6248,"[0.464793860912323, 0.5352061986923218]"
43,0,56.82%,56.82%,0.7568,"[0.4778205156326294, 0.5221794843673706]"
44,0,55.56%,55.56%,0.7459,"[0.47286057472229004, 0.52713942527771]"
45,1,56.52%,56.52%,0.5881,"[0.4464320242404938, 0.5535679459571838]"
46,0,55.32%,55.32%,0.732,"[0.47863271832466125, 0.5213673114776611]"
47,1,56.25%,56.25%,0.6016,"[0.4495221674442291, 0.5504778027534485]"
48,0,55.10%,55.10%,0.7831,"[0.45577800273895264, 0.5442220568656921]"
49,0,54.00%,54.00%,0.7256,"[0.4781704246997833, 0.5218296051025391]"
50,1,54.90%,54.90%,0.6092,"[0.44776204228401184, 0.5522379875183105]"
51,0,53.85%,53.85%,0.7626,"[0.445804625749588, 0.5541953444480896]"
52,1,54.72%,54.72%,0.5865,"[0.4447875916957855, 0.5552123785018921]"
53,0,53.70%,53.70%,0.7589,"[0.46540334820747375, 0.5345966815948486]"
54,1,54.55%,54.55%,0.5949,"[0.4486682415008545, 0.5513316988945007]"
55,1,55.36%,55.36%,0.5961,"[0.4524303376674652, 0.5475696921348572]"
56,1,56.14%,56.14%,0.6302,"[0.4773937463760376, 0.5226062536239624]"
57,1,56.90%,56.90%,0.614,"[0.45381811261177063, 0.5461819171905518]"
58,1,57.63%,57.63%,0.6912,"[0.4803515672683716, 0.5196483731269836]"
59,0,56.67%,58.33%,0.6608,"[0.5147240161895752, 0.48527592420578003]"
60,0,55.74%,57.38%,0.6976,"[0.49841994047164917, 0.5015801191329956]"
61,0,54.84%,56.45%,0.7214,"[0.486637145280838, 0.5133628249168396]"
62,0,53.97%,55.56%,0.7992,"[0.4400899112224579, 0.5599100589752197]"
63,0,53.12%,54.69%,0.8067,"[0.4478263854980469, 0.5521736145019531]"
64,1,53.85%,55.38%,0.5846,"[0.4414019286632538, 0.5585980415344238]"
65,1,54.55%,56.06%,0.6405,"[0.4751966595649719, 0.5248032808303833]"
66,1,55.22%,56.72%,0.6558,"[0.44681042432785034, 0.5531895160675049]"
67,0,54.41%,57.35%,0.6535,"[0.5185538530349731, 0.48144620656967163]"
68,0,53.62%,56.52%,0.794,"[0.4582146108150482, 0.5417854189872742]"
69,0,52.86%,55.71%,0.7725,"[0.4636443853378296, 0.5363556146621704]"
70,0,52.11%,54.93%,0.8018,"[0.4432133436203003, 0.5567866563796997]"
71,0,51.39%,54.17%,0.7317,"[0.47886860370635986, 0.5211313962936401]"
72,0,50.68%,54.79%,0.6927,"[0.5012455582618713, 0.49875444173812866]"
73,1,51.35%,55.41%,0.6348,"[0.47336021065711975, 0.5266397595405579]"
74,0,50.67%,56.00%,0.7227,"[0.5012596249580383, 0.49874037504196167]"
75,0,50.00%,56.58%,0.6663,"[0.5125365257263184, 0.4874635636806488]"
76,0,49.35%,57.14%,0.6554,"[0.5183597803115845, 0.4816402494907379]"
77,0,48.72%,57.69%,0.658,"[0.516939640045166, 0.48306038975715637]"
78,0,48.10%,58.23%,0.6258,"[0.5342276096343994, 0.4657723009586334]"
79,1,48.75%,58.75%,0.6755,"[0.49270185828208923, 0.5072982311248779]"
80,1,49.38%,59.26%,0.6905,"[0.493528813123703, 0.5064712166786194]"
81,0,48.78%,59.76%,0.5765,"[0.5610101222991943, 0.4389898478984833]"
82,1,49.40%,60.24%,0.6962,"[0.4992751479148865, 0.5007249116897583]"
83,0,48.81%,60.71%,0.578,"[0.5586874485015869, 0.4413125216960907]"
84,1,49.41%,60.00%,0.7445,"[0.5276248455047607, 0.47237515449523926]"
85,0,48.84%,60.47%,0.5635,"[0.5695486664772034, 0.43045127391815186]"
86,0,48.28%,60.92%,0.5738,"[0.5630947947502136, 0.43690526485443115]"
87,1,48.86%,61.36%,0.6689,"[0.4770486652851105, 0.5229512453079224]"
88,1,49.44%,60.67%,0.7137,"[0.5108582377433777, 0.4891417324542999]"
89,0,48.89%,61.11%,0.5747,"[0.5562191605567932, 0.4437808096408844]"
90,0,48.35%,61.54%,0.5619,"[0.5731151103973389, 0.4268849194049835]"
91,1,48.91%,60.87%,0.7648,"[0.536626935005188, 0.463373064994812]"
92,1,49.46%,61.29%,0.7238,"[0.49497658014297485, 0.5050234198570251]"
93,0,48.94%,61.70%,0.5304,"[0.5884951949119568, 0.4115048050880432]"
94,0,48.42%,62.11%,0.5385,"[0.5841012597084045, 0.4158986508846283]"
95,0,47.92%,62.50%,0.5678,"[0.5682713985443115, 0.4317285120487213]"
96,0,47.42%,62.89%,0.5611,"[0.5719658732414246, 0.42803409695625305]"
97,1,47.96%,63.27%,0.618,"[0.48147454857826233, 0.5185254216194153]"
98,1,48.48%,62.63%,0.7829,"[0.528566300868988, 0.47143375873565674]"
99,0,48.00%,63.00%,0.5609,"[0.5577165484428406, 0.4422834515571594]"
100,0,47.52%,63.37%,0.5432,"[0.5814593434333801, 0.4185406565666199]"
101,1,48.04%,62.75%,0.8271,"[0.5626621842384338, 0.4373377859592438]"
102,0,47.57%,62.14%,0.7101,"[0.48570406436920166, 0.5142959952354431]"
103,0,47.12%,62.50%,0.5149,"[0.5957095623016357, 0.40429040789604187]"
104,0,46.67%,62.86%,0.6449,"[0.5439963340759277, 0.45600366592407227]"
105,1,47.17%,62.26%,0.7806,"[0.5413236618041992, 0.4586763381958008]"
106,0,46.73%,62.62%,0.5777,"[0.5791613459587097, 0.4208386242389679]"
107,1,47.22%,62.04%,0.8091,"[0.5556990504264832, 0.44430097937583923]"
108,0,46.79%,62.39%,0.686,"[0.5806582570075989, 0.4193417727947235]"
109,1,47.27%,61.82%,0.8837,"[0.5652508735656738, 0.4347490966320038]"
110,0,46.85%,62.16%,0.4823,"[0.6207776665687561, 0.3792223632335663]"
111,1,47.32%,61.61%,0.7823,"[0.5237942337989807, 0.4762056767940521]"
112,0,46.90%,61.95%,0.4747,"[0.6209805011749268, 0.37901952862739563]"
113,0,46.49%,62.28%,0.5032,"[0.6000078916549683, 0.3999921977519989]"
114,1,46.96%,62.61%,0.5549,"[0.4264802634716034, 0.5735197067260742]"
115,1,47.41%,62.07%,0.7547,"[0.5550664067268372, 0.44493356347084045]"
116,0,47.01%,62.39%,0.4799,"[0.6198991537094116, 0.3801008462905884]"
117,1,47.46%,62.71%,0.5759,"[0.4534287750720978, 0.5465711355209351]"
118,1,47.90%,62.18%,0.712,"[0.517767608165741, 0.48223239183425903]"
119,0,47.50%,62.50%,0.5995,"[0.5513820648193359, 0.44861793518066406]"
120,1,47.93%,62.81%,0.5933,"[0.45307594537734985, 0.5469241142272949]"
121,0,47.54%,63.11%,0.4872,"[0.6096094846725464, 0.3903904855251312]"
122,1,47.97%,62.60%,0.716,"[0.5339987277984619, 0.46600133180618286]"
123,1,48.39%,62.90%,0.5651,"[0.43367528915405273, 0.5663247108459473]"
124,1,48.80%,62.40%,0.7934,"[0.517568051815033, 0.48243194818496704]"
125,1,49.21%,61.90%,0.6595,"[0.5006222724914551, 0.49937766790390015]"
126,1,49.61%,61.42%,0.6824,"[0.519450306892395, 0.4805496633052826]"
127,0,49.22%,61.72%,0.4766,"[0.6231829524040222, 0.3768170475959778]"
128,1,49.61%,62.02%,0.5249,"[0.40192463994026184, 0.5980753302574158]"
129,1,50.00%,62.31%,0.7375,"[0.47316470742225647, 0.5268352627754211]"
130,1,50.38%,62.60%,0.5994,"[0.4486968219280243, 0.5513031482696533]"
131,0,50.00%,62.88%,0.4967,"[0.6045994758605957, 0.3954005241394043]"
132,1,50.38%,63.16%,0.6125,"[0.41599756479263306, 0.5840024352073669]"
133,1,50.75%,63.43%,0.5577,"[0.4262847602367401, 0.5737152099609375]"
134,0,50.37%,63.70%,0.614,"[0.5241110324859619, 0.4758889675140381]"
135,1,50.74%,63.97%,0.5414,"[0.4173673391342163, 0.5826326012611389]"
136,1,51.09%,64.23%,0.4864,"[0.38491684198379517, 0.6150832176208496]"
137,0,50.72%,63.77%,0.8573,"[0.3934440016746521, 0.6065559983253479]"
138,1,51.08%,64.03%,0.4548,"[0.36691442131996155, 0.6330855488777161]"
139,1,51.43%,64.29%,0.4582,"[0.36765044927597046, 0.6323496103286743]"
140,0,51.06%,63.83%,0.7813,"[0.4522853195667267, 0.5477147102355957]"
141,0,50.70%,63.38%,0.9792,"[0.37010836601257324, 0.6298916339874268]"
142,1,51.05%,63.64%,0.4579,"[0.36547237634658813, 0.6345276236534119]"
143,0,50.69%,63.89%,0.6931,"[0.5073086023330688, 0.49269139766693115]"
144,0,50.34%,63.45%,0.8805,"[0.4175426661968231, 0.5824573040008545]"
145,0,50.00%,63.01%,0.9187,"[0.3773173987865448, 0.6226825714111328]"
146,1,50.34%,63.27%,0.4405,"[0.35663774609565735, 0.643362283706665]"
147,0,50.00%,62.84%,0.9136,"[0.4075278639793396, 0.5924721360206604]"
148,0,49.66%,62.42%,0.7522,"[0.4426194727420807, 0.5573804974555969]"
149,0,49.33%,62.00%,0.7953,"[0.4439304769039154, 0.556069552898407]"
150,0,49.01%,61.59%,0.9373,"[0.4142046868801117, 0.5857952833175659]"
151,1,49.34%,61.84%,0.4829,"[0.3850483000278473, 0.6149517297744751]"
152,1,49.67%,62.09%,0.447,"[0.3605157136917114, 0.6394842863082886]"
153,1,50.00%,62.34%,0.4905,"[0.3852039873600006, 0.6147960424423218]"
154,1,50.32%,62.58%,0.5018,"[0.39680051803588867, 0.6031994819641113]"
155,0,50.00%,62.82%,0.4394,"[0.6450338959693909, 0.35496610403060913]"
156,1,50.32%,62.42%,0.6979,"[0.5763164758682251, 0.4236835539340973]"
157,0,50.00%,62.66%,0.4692,"[0.6310527324676514, 0.368947297334671]"
158,0,49.69%,62.26%,0.5894,"[0.49830302596092224, 0.5016970038414001]"
159,0,49.38%,61.88%,0.5426,"[0.49968084692955017, 0.5003191232681274]"
160,1,49.69%,62.11%,0.4521,"[0.36333221197128296, 0.636667788028717]"
161,0,49.38%,62.35%,0.4951,"[0.6099004745483398, 0.39009952545166016]"
162,0,49.08%,62.58%,0.5473,"[0.6108157634735107, 0.38918426632881165]"
163,0,48.78%,62.20%,0.7808,"[0.48854580521583557, 0.511454164981842]"
164,0,48.48%,62.42%,0.5924,"[0.5113275647163391, 0.4886724054813385]"
165,0,48.19%,62.65%,0.4855,"[0.6152258515357971, 0.38477420806884766]"
166,1,48.50%,62.28%,0.7519,"[0.527249276638031, 0.4727506935596466]"
167,1,48.81%,61.90%,0.9469,"[0.5973795652389526, 0.40262046456336975]"
168,1,49.11%,61.54%,0.8305,"[0.544989287853241, 0.4550107419490814]"
169,1,49.41%,61.18%,1.0871,"[0.6488500833511353, 0.35114994645118713]"
170,0,49.12%,61.40%,0.4017,"[0.6688165068626404, 0.331183522939682]"
171,0,48.84%,61.63%,0.398,"[0.671783447265625, 0.3282166123390198]"
172,0,48.55%,61.85%,0.3989,"[0.670863151550293, 0.32913681864738464]"
173,1,48.85%,62.07%,0.4875,"[0.35600918531417847, 0.6439908742904663]"
174,0,48.57%,62.29%,0.4029,"[0.6697196364402771, 0.3302803933620453]"
175,0,48.30%,62.50%,0.4174,"[0.6588544845581055, 0.34114551544189453]"
176,1,48.59%,62.15%,0.8988,"[0.5487616658210754, 0.45123839378356934]"
177,1,48.88%,62.36%,0.4645,"[0.38679438829421997, 0.6132056713104248]"
178,1,49.16%,62.57%,0.5367,"[0.36350739002227783, 0.6364925503730774]"
179,0,48.89%,62.78%,0.4414,"[0.6319647431373596, 0.36803528666496277]"
180,1,49.17%,62.98%,0.8853,"[0.4787347912788391, 0.5212652683258057]"
181,1,49.45%,62.64%,0.9843,"[0.6572820544242859, 0.3427180051803589]"
182,1,49.73%,62.84%,0.5203,"[0.3879639506340027, 0.6120360493659973]"
183,1,50.00%,62.50%,0.9516,"[0.6394849419593811, 0.3605150580406189]"
184,0,49.73%,62.70%,0.483,"[0.6569973826408386, 0.3430025577545166]"
185,0,49.46%,62.90%,0.414,"[0.6614394783973694, 0.3385605812072754]"
186,1,49.73%,62.57%,0.6554,"[0.5508983731269836, 0.4491015672683716]"
187,1,50.00%,62.23%,0.8438,"[0.6466718912124634, 0.353328138589859]"
188,0,49.74%,62.43%,0.482,"[0.6351813077926636, 0.3648187816143036]"
189,1,50.00%,62.63%,0.4234,"[0.3448586165904999, 0.6551414728164673]"
190,1,50.26%,62.83%,0.439,"[0.372799277305603, 0.627200722694397]"
191,1,50.52%,63.02%,0.4941,"[0.40538111329078674, 0.5946189165115356]"
192,1,50.78%,63.21%,0.7896,"[0.3662256598472595, 0.6337743401527405]"
193,0,50.52%,63.40%,0.4371,"[0.6285936236381531, 0.3714063763618469]"
194,0,50.26%,63.08%,0.8325,"[0.4414246678352356, 0.5585753917694092]"
195,0,50.00%,63.27%,0.6036,"[0.5841919183731079, 0.4158080518245697]"
196,0,49.75%,63.45%,0.7496,"[0.5363708734512329, 0.4636290967464447]"
197,0,49.49%,63.64%,0.6145,"[0.555394172668457, 0.4446057975292206]"
198,0,49.25%,63.32%,0.9949,"[0.3702192008495331, 0.6297807693481445]"
199,1,49.50%,63.50%,0.5537,"[0.3864305019378662, 0.6135694980621338]"
200,0,49.25%,63.68%,0.6287,"[0.5017901659011841, 0.4982098340988159]"
201,1,49.50%,63.86%,0.717,"[0.44182252883911133, 0.5581774711608887]"
202,1,49.75%,64.04%,0.409,"[0.3360613286495209, 0.6639386415481567]"
203,1,50.00%,64.22%,0.5451,"[0.4265654385089874, 0.573434591293335]"
204,1,50.24%,64.39%,0.6348,"[0.4019019603729248, 0.5980980396270752]"
205,0,50.00%,64.56%,0.664,"[0.5242411494255066, 0.4757588803768158]"
206,1,50.24%,64.73%,0.4767,"[0.388989120721817, 0.6110109090805054]"
207,0,50.00%,64.90%,0.4557,"[0.6331486701965332, 0.3668513000011444]"
208,0,49.76%,65.07%,0.557,"[0.5829275250434875, 0.41707247495651245]"
209,0,49.52%,65.24%,0.5919,"[0.5480334162712097, 0.4519665837287903]"
210,0,49.29%,64.93%,0.9196,"[0.4378592073917389, 0.5621408224105835]"
211,0,49.06%,64.62%,1.0586,"[0.3585287034511566, 0.641471266746521]"
212,1,49.30%,64.79%,0.6578,"[0.42516028881073, 0.57483971118927]"
213,0,49.07%,64.95%,0.413,"[0.6612340211868286, 0.3387660086154938]"
214,0,48.84%,65.12%,0.6639,"[0.5483548045158386, 0.45164525508880615]"
215,0,48.61%,65.28%,0.5292,"[0.6046619415283203, 0.39533811807632446]"
216,1,48.85%,65.44%,0.4982,"[0.3843282163143158, 0.6156717538833618]"
217,0,48.62%,65.60%,0.4302,"[0.6448315978050232, 0.35516834259033203]"
218,0,48.40%,65.75%,0.3987,"[0.6727437973022461, 0.3272562026977539]"
219,1,48.64%,65.45%,0.8316,"[0.5689333081245422, 0.431066632270813]"
220,0,48.42%,65.61%,0.3882,"[0.6801434755325317, 0.3198564946651459]"
221,1,48.65%,65.77%,0.6419,"[0.48782071471214294, 0.5121793150901794]"
222,0,48.43%,65.92%,0.3807,"[0.6839907169342041, 0.3160092532634735]"
223,1,48.66%,66.07%,0.4111,"[0.3346855342388153, 0.6653144359588623]"
224,0,48.44%,66.22%,0.3916,"[0.6756671071052551, 0.3243328630924225]"
225,1,48.67%,66.37%,0.3989,"[0.329115629196167, 0.670884370803833]"
226,0,48.46%,66.08%,0.7971,"[0.4425215721130371, 0.5574783682823181]"
227,1,48.68%,66.23%,0.3958,"[0.32808762788772583, 0.6719123721122742]"
228,1,48.91%,66.38%,0.4883,"[0.37910890579223633, 0.6208910942077637]"
229,0,48.70%,66.52%,0.5103,"[0.5319061875343323, 0.4680939018726349]"
230,1,48.92%,66.67%,0.5145,"[0.4361572861671448, 0.5638427138328552]"
231,0,48.71%,66.81%,0.3735,"[0.6875057220458984, 0.31249430775642395]"
232,0,48.50%,66.95%,0.3912,"[0.675204336643219, 0.3247956335544586]"
233,1,48.72%,67.09%,0.3919,"[0.32467561960220337, 0.6753243803977966]"
234,0,48.51%,66.81%,0.8867,"[0.4056013822555542, 0.5943986773490906]"
235,0,48.31%,66.95%,0.3777,"[0.681986391544342, 0.31801360845565796]"
236,1,48.52%,67.09%,0.4453,"[0.48347535729408264, 0.516524612903595]"
237,1,48.74%,67.23%,0.3924,"[0.3199763894081116, 0.6800236105918884]"
238,0,48.54%,67.36%,0.3609,"[0.6962918043136597, 0.30370819568634033]"
239,0,48.33%,67.08%,0.5199,"[0.48965713381767273, 0.5103428959846497]"
240,0,48.13%,67.22%,0.372,"[0.6931076645851135, 0.3068923056125641]"
241,1,48.35%,67.36%,0.4555,"[0.3741690218448639, 0.6258309483528137]"
242,1,48.56%,67.08%,0.9823,"[0.5311999917030334, 0.46879997849464417]"
243,0,48.36%,67.21%,0.3542,"[0.7015982866287231, 0.29840168356895447]"
244,1,48.57%,67.35%,0.4019,"[0.38059020042419434, 0.6194097399711609]"
245,0,48.37%,67.48%,0.3523,"[0.7029480338096619, 0.29705193638801575]"
246,0,48.18%,67.61%,0.3693,"[0.6912389993667603, 0.30876103043556213]"
247,1,48.39%,67.74%,0.4843,"[0.38122114539146423, 0.6187788844108582]"
248,0,48.19%,67.87%,0.3533,"[0.7027830481529236, 0.29721692204475403]"
249,0,48.00%,68.00%,0.3673,"[0.692460834980011, 0.307539165019989]"
250,1,48.21%,68.13%,0.401,"[0.32204511761665344, 0.6779548525810242]"
251,1,48.41%,68.25%,0.5019,"[0.46659621596336365, 0.5334038138389587]"
252,0,48.22%,68.38%,0.3469,"[0.706861674785614, 0.293138325214386]"
253,1,48.43%,68.50%,0.3684,"[0.30850210785865784, 0.6914979219436646]"
254,1,48.63%,68.63%,0.9372,"[0.47973600029945374, 0.5202639698982239]"
255,1,48.83%,68.75%,0.3736,"[0.3154543340206146, 0.684545636177063]"
256,0,48.64%,68.87%,0.3471,"[0.7066792845726013, 0.2933207154273987]"
257,1,48.84%,68.99%,0.3755,"[0.31197577714920044, 0.6880242228507996]"
258,0,48.65%,69.11%,0.3487,"[0.7052440047264099, 0.2947559654712677]"
259,0,48.46%,69.23%,0.3715,"[0.6735518574714661, 0.3264481723308563]"
260,1,48.66%,69.35%,0.3635,"[0.30503085255622864, 0.694969117641449]"
261,0,48.47%,69.47%,0.3429,"[0.709467887878418, 0.29053211212158203]"
262,1,48.67%,69.58%,0.3561,"[0.2993064522743225, 0.7006935477256775]"
263,0,48.48%,69.70%,0.5281,"[0.5521045923233032, 0.44789543747901917]"
264,1,48.68%,69.81%,0.3708,"[0.3125483989715576, 0.6874516606330872]"
265,0,48.50%,69.92%,0.7861,"[0.559653103351593, 0.440346896648407]"
266,1,48.69%,70.04%,0.4756,"[0.42656177282333374, 0.5734381675720215]"
267,1,48.88%,70.15%,0.3673,"[0.32339346408843994, 0.6766064763069153]"
268,1,49.07%,70.26%,0.3765,"[0.474822074174881, 0.5251778960227966]"
269,0,48.89%,70.37%,0.3382,"[0.713074266910553, 0.286925733089447]"
270,0,48.71%,70.48%,0.3387,"[0.7122929096221924, 0.2877070903778076]"
271,1,48.90%,70.59%,0.3456,"[0.2921375334262848, 0.7078624367713928]"
272,1,49.08%,70.70%,0.3534,"[0.2977234125137329, 0.7022765874862671]"
273,1,49.27%,70.80%,0.3498,"[0.2936941385269165, 0.7063059210777283]"
274,1,49.45%,70.91%,0.5601,"[0.3931076228618622, 0.6068923473358154]"
275,1,49.64%,70.65%,0.9743,"[0.6777320504188538, 0.322268009185791]"
276,1,49.82%,70.76%,0.3541,"[0.29912739992141724, 0.7008726000785828]"
277,0,49.64%,70.86%,0.3349,"[0.7160673141479492, 0.2839326858520508]"
278,0,49.46%,70.97%,0.3333,"[0.7170637249946594, 0.2829362750053406]"
279,1,49.64%,71.07%,0.368,"[0.29478690028190613, 0.7052130699157715]"
280,1,49.82%,70.82%,1.0557,"[0.5940466523170471, 0.4059533476829529]"
281,1,50.00%,70.92%,0.8627,"[0.4859427809715271, 0.5140572190284729]"
282,1,50.18%,71.02%,0.3753,"[0.36117756366729736, 0.6388224959373474]"
283,1,50.35%,71.13%,0.5915,"[0.37750861048698425, 0.6224913597106934]"
284,1,50.53%,71.23%,0.345,"[0.2924421727657318, 0.7075577974319458]"
285,1,50.70%,70.98%,0.6427,"[0.6422104239463806, 0.357789546251297]"
286,0,50.52%,71.08%,0.3393,"[0.714156448841095, 0.28584355115890503]"
287,0,50.35%,71.18%,0.5949,"[0.5687867999076843, 0.43121322989463806]"
288,0,50.17%,70.93%,1.2769,"[0.27819499373435974, 0.7218049764633179]"
289,0,50.00%,70.69%,1.2045,"[0.2952839136123657, 0.7047160267829895]"
290,0,49.83%,70.45%,0.9218,"[0.39979931712150574, 0.6002006530761719]"
291,1,50.00%,70.55%,0.3266,"[0.2785651981830597, 0.7214348912239075]"
292,0,49.83%,70.65%,0.535,"[0.6632749438285828, 0.3367250859737396]"
293,1,50.00%,70.75%,0.3305,"[0.281319797039032, 0.718680202960968]"
294,0,49.83%,70.85%,0.4715,"[0.566277265548706, 0.43372276425361633]"
295,0,49.66%,70.95%,0.5356,"[0.609840989112854, 0.3901590406894684]"
296,1,49.83%,71.04%,0.3288,"[0.2802170515060425, 0.7197829484939575]"
297,0,49.66%,71.14%,0.6752,"[0.5688545107841492, 0.43114548921585083]"
298,0,49.50%,71.24%,0.6138,"[0.5397579073905945, 0.46024206280708313]"
299,1,49.67%,71.33%,0.3285,"[0.2798705995082855, 0.7201293706893921]"
300,0,49.50%,71.10%,1.2335,"[0.2889704704284668, 0.711029589176178]"
301,1,49.67%,71.19%,0.4325,"[0.31871935725212097, 0.6812807321548462]"
302,1,49.83%,71.29%,0.49,"[0.3275296986103058, 0.6724702715873718]"
303,1,50.00%,71.38%,0.3784,"[0.35021650791168213, 0.6497835516929626]"
304,0,49.84%,71.48%,0.4482,"[0.6718304753303528, 0.32816946506500244]"
305,0,49.67%,71.57%,0.3214,"[0.7248267531394958, 0.2751731872558594]"
306,1,49.84%,71.66%,0.405,"[0.30455100536346436, 0.6954489946365356]"
307,1,50.00%,71.75%,0.3444,"[0.2862294018268585, 0.7137705683708191]"
308,0,49.84%,71.84%,0.3235,"[0.7235109210014343, 0.2764890789985657]"
309,1,50.00%,71.94%,0.4633,"[0.31378909945487976, 0.6862109303474426]"
310,0,49.84%,72.03%,0.3222,"[0.7252305746078491, 0.2747693955898285]"
311,1,50.00%,72.12%,0.3322,"[0.28148743510246277, 0.7185125350952148]"
312,0,49.84%,72.20%,0.3458,"[0.719688355922699, 0.2803117334842682]"
313,0,49.68%,72.29%,0.375,"[0.7026761770248413, 0.2973237931728363]"
314,0,49.52%,72.38%,0.338,"[0.7130744457244873, 0.2869255840778351]"
315,0,49.37%,72.15%,1.1789,"[0.30377501249313354, 0.6962250471115112]"
316,1,49.53%,72.24%,0.3222,"[0.27548760175704956, 0.7245124578475952]"
317,0,49.37%,72.33%,0.37,"[0.7089309692382812, 0.29106900095939636]"
318,0,49.22%,72.41%,0.3287,"[0.7144672274589539, 0.2855328619480133]"
319,0,49.06%,72.50%,0.327,"[0.7181649804115295, 0.28183498978614807]"
320,1,49.22%,72.59%,0.3511,"[0.2971295714378357, 0.7028704285621643]"
321,1,49.38%,72.36%,0.426,"[0.5561063289642334, 0.4438936114311218]"
322,0,49.23%,72.45%,0.3104,"[0.7333122491836548, 0.2666877508163452]"
323,1,49.38%,72.53%,0.6909,"[0.41208359599113464, 0.5879164338111877]"
324,1,49.54%,72.31%,1.2539,"[0.7092069983482361, 0.2907930612564087]"
325,0,49.39%,72.39%,0.3108,"[0.7328767776489258, 0.26712319254875183]"
326,1,49.54%,72.48%,0.3553,"[0.2943221628665924, 0.7056778073310852]"
327,0,49.39%,72.56%,0.3101,"[0.7336525321006775, 0.2663474977016449]"
328,0,49.24%,72.64%,0.3081,"[0.7348760366439819, 0.2651239037513733]"
329,1,49.39%,72.73%,0.4604,"[0.2884407639503479, 0.7115592956542969]"
330,1,49.55%,72.51%,0.6194,"[0.6518519520759583, 0.34814801812171936]"
331,0,49.40%,72.59%,0.3102,"[0.7332128882408142, 0.2667870819568634]"
332,1,49.55%,72.37%,0.4663,"[0.5761693120002747, 0.42383065819740295]"
333,0,49.40%,72.46%,0.3096,"[0.7334912419319153, 0.26650869846343994]"
