round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output,hedge_weights
11,1,58.33%,58.33%,0.2464,"[0.22225795686244965, 0.7777420878410339]","[0.47829681634902954, 0.47829681634902954, 0.47829681634902954, 0.47829681634902954, 0.47829681634902954, 0.47829681634902954, 0.47829681634902954, 0.47829681634902954, 0.47829681634902954]"
12,1,61.54%,61.54%,0.256,"[0.23481564223766327, 0.7651844024658203]","[0.4304671287536621, 0.4304671287536621, 0.4304671287536621, 0.4304671287536621, 0.4304671287536621, 0.4304671287536621, 0.4304671287536621, 0.4304671287536621, 0.4304671287536621]"
13,1,64.29%,64.29%,0.2363,"[0.2123798280954361, 0.7876201272010803]","[0.3874204158782959, 0.3874204158782959, 0.3874204158782959, 0.3874204158782959, 0.3874204158782959, 0.3874204158782959, 0.3874204158782959, 0.3874204158782959, 0.3874204158782959]"
14,1,66.67%,66.67%,0.2156,"[0.19753992557525635, 0.8024600744247437]","[0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084]"
15,0,62.50%,62.50%,1.7232,"[0.17352105677127838, 0.826478898525238]","[0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084]"
16,0,58.82%,58.82%,1.7674,"[0.17467191815376282, 0.8253280520439148]","[0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084]"
17,0,55.56%,55.56%,1.7715,"[0.16611389815807343, 0.8338860869407654]","[0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084]"
18,0,52.63%,52.63%,1.7163,"[0.17106132209300995, 0.8289386630058289]","[0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084, 0.3486783504486084]"
19,1,55.00%,55.00%,0.2118,"[0.18218767642974854, 0.8178123831748962]","[0.3138104975223541, 0.3138104975223541, 0.3138104975223541, 0.3138104975223541, 0.3138104975223541, 0.3138104975223541, 0.3138104975223541, 0.3138104975223541, 0.3138104975223541]"
20,1,57.14%,57.14%,0.2197,"[0.18826697766780853, 0.8117330074310303]","[0.28242942690849304, 0.28242942690849304, 0.28242942690849304, 0.28242942690849304, 0.28242942690849304, 0.28242942690849304, 0.28242942690849304, 0.28242942690849304, 0.28242942690849304]"
21,1,59.09%,59.09%,0.2115,"[0.18953493237495422, 0.8104650378227234]","[0.2541864812374115, 0.2541864812374115, 0.2541864812374115, 0.2541864812374115, 0.2541864812374115, 0.2541864812374115, 0.2541864812374115, 0.2541864812374115, 0.2541864812374115]"
22,1,60.87%,60.87%,0.2042,"[0.18850795924663544, 0.8114920258522034]","[0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587]"
23,0,58.33%,58.33%,1.7239,"[0.18382799625396729, 0.8161720633506775]","[0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587]"
24,0,56.00%,56.00%,1.7414,"[0.18626393377780914, 0.8137360215187073]","[0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587, 0.22876782715320587]"
25,1,57.69%,57.69%,0.2029,"[0.1819685697555542, 0.8180314302444458]","[0.20589104294776917, 0.20589104294776917, 0.20589104294776917, 0.20589104294776917, 0.20589104294776917, 0.20589104294776917, 0.20589104294776917, 0.20589104294776917, 0.20589104294776917]"
26,1,59.26%,59.26%,0.2086,"[0.1827886998653412, 0.8172112107276917]","[0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553]"
27,0,57.14%,57.14%,1.7101,"[0.18024997413158417, 0.8197500705718994]","[0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553]"
28,0,55.17%,55.17%,1.6699,"[0.19208458065986633, 0.8079153895378113]","[0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553, 0.18530192971229553]"
29,1,56.67%,56.67%,0.215,"[0.1931397169828415, 0.8068603277206421]","[0.16677173972129822, 0.16677173972129822, 0.16677173972129822, 0.16677173972129822, 0.16677173972129822, 0.16677173972129822, 0.16677173972129822, 0.16677173972129822, 0.16677173972129822]"
30,1,58.06%,58.06%,0.2191,"[0.19735588133335114, 0.8026441335678101]","[0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063]"
31,0,56.25%,56.25%,1.6266,"[0.21189333498477936, 0.7881066799163818]","[0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063]"
32,0,54.55%,54.55%,1.5372,"[0.22593161463737488, 0.7740683555603027]","[0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063]"
33,0,52.94%,52.94%,1.4571,"[0.2171952873468399, 0.7828047275543213]","[0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063, 0.15009456872940063]"
34,1,54.29%,54.29%,0.213,"[0.19863590598106384, 0.8013640642166138]","[0.1350851058959961, 0.1350851058959961, 0.1350851058959961, 0.1350851058959961, 0.1350851058959961, 0.1350851058959961, 0.1350851058959961, 0.1350851058959961, 0.1350851058959961]"
35,1,55.56%,55.56%,0.2494,"[0.21237200498580933, 0.7876279354095459]","[0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425]"
36,0,54.05%,54.05%,1.3586,"[0.25496992468833923, 0.7450300455093384]","[0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425]"
37,0,52.63%,52.63%,1.3636,"[0.2581028342247009, 0.7418971657752991]","[0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425, 0.12157659232616425]"
38,1,53.85%,53.85%,0.2753,"[0.236083984375, 0.7639159560203552]","[0.10941892862319946, 0.10941892862319946, 0.10941892862319946, 0.10941892862319946, 0.10941892862319946, 0.10941892862319946, 0.10941892862319946, 0.10941892862319946, 0.10941892862319946]"
39,1,55.00%,55.00%,0.3344,"[0.2871207594871521, 0.7128792405128479]","[0.09847703576087952, 0.09847703576087952, 0.09847703576087952, 0.09847703576087952, 0.09847703576087952, 0.09847703576087952, 0.09847703576087952, 0.09847703576087952, 0.09847703576087952]"
40,1,56.10%,56.10%,0.2476,"[0.23632466793060303, 0.7636752724647522]","[0.0886293277144432, 0.0886293277144432, 0.0886293277144432, 0.0886293277144432, 0.0886293277144432, 0.0886293277144432, 0.0886293277144432, 0.0886293277144432, 0.0886293277144432]"
41,1,57.14%,57.14%,0.2849,"[0.28636765480041504, 0.713632345199585]","[0.07976639270782471, 0.07976639270782471, 0.07976639270782471, 0.07976639270782471, 0.07976639270782471, 0.07976639270782471, 0.07976639270782471, 0.07976639270782471, 0.07976639270782471]"
42,1,58.14%,58.14%,0.3068,"[0.2586345076560974, 0.7413655519485474]","[0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388]"
43,0,56.82%,56.82%,1.2379,"[0.27564549446105957, 0.7243545651435852]","[0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388]"
44,0,55.56%,55.56%,1.1596,"[0.29103976488113403, 0.708960235118866]","[0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388, 0.07178974896669388]"
45,1,56.52%,56.52%,0.3073,"[0.2683020532131195, 0.7316979169845581]","[0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031]"
46,0,55.32%,55.32%,1.1651,"[0.3095368444919586, 0.690463125705719]","[0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031, 0.06461077183485031]"
47,1,56.25%,56.25%,0.3074,"[0.269225537776947, 0.7307745218276978]","[0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304]"
48,0,55.10%,55.10%,1.3641,"[0.2792513370513916, 0.7207486629486084]","[0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304]"
49,0,54.00%,54.00%,1.1755,"[0.3116335868835449, 0.6883664131164551]","[0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304, 0.05814969167113304]"
50,1,54.90%,54.90%,0.2233,"[0.23392221331596375, 0.7660777568817139]","[0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071]"
51,0,53.85%,53.85%,1.2148,"[0.300624281167984, 0.6993756890296936]","[0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071, 0.05233472213149071]"
52,1,54.72%,54.72%,0.3214,"[0.270925909280777, 0.7290741205215454]","[0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649]"
53,0,53.70%,53.70%,1.0439,"[0.34414294362068176, 0.6558571457862854]","[0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649, 0.04710124805569649]"
54,1,54.55%,54.55%,0.3367,"[0.28597745299339294, 0.7140225172042847]","[0.04239112138748169, 0.04239112138748169, 0.04239112138748169, 0.04239112138748169, 0.04239112138748169, 0.04239112138748169, 0.04239112138748169, 0.04239112138748169, 0.04239112138748169]"
55,1,55.36%,55.36%,0.3166,"[0.24927203357219696, 0.7507279515266418]","[0.03815200924873352, 0.03815200924873352, 0.03815200924873352, 0.03815200924873352, 0.03815200924873352, 0.03815200924873352, 0.03815200924873352, 0.03815200924873352, 0.03815200924873352]"
56,1,56.14%,56.14%,0.4136,"[0.33474066853523254, 0.6652592420578003]","[0.03433680906891823, 0.03433680906891823, 0.03433680906891823, 0.03433680906891823, 0.03433680906891823, 0.03433680906891823, 0.03433680906891823, 0.03433680906891823, 0.03433680906891823]"
57,1,56.90%,56.90%,0.2506,"[0.21232973039150238, 0.7876702547073364]","[0.030903127044439316, 0.030903127044439316, 0.030903127044439316, 0.030903127044439316, 0.030903127044439316, 0.030903127044439316, 0.030903127044439316, 0.030903127044439316, 0.030903127044439316]"
58,1,57.63%,57.63%,0.3895,"[0.3138795793056488, 0.6861203908920288]","[0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384]"
59,0,56.67%,56.67%,0.9986,"[0.40619391202926636, 0.5938060879707336]","[0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384]"
60,0,55.74%,55.74%,0.9023,"[0.3922280967235565, 0.6077719330787659]","[0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384]"
61,0,54.84%,54.84%,0.9286,"[0.38527819514274597, 0.6147217750549316]","[0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384]"
62,0,53.97%,53.97%,1.2103,"[0.29264315962791443, 0.707356870174408]","[0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384]"
63,0,53.12%,53.12%,1.213,"[0.2976185381412506, 0.7023814916610718]","[0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384, 0.027812814339995384]"
64,1,53.85%,53.85%,0.4,"[0.32569411396980286, 0.6743059158325195]","[0.02503153309226036, 0.02503153309226036, 0.02503153309226036, 0.02503153309226036, 0.02503153309226036, 0.02503153309226036, 0.02503153309226036, 0.02503153309226036, 0.02503153309226036]"
65,1,54.55%,54.55%,0.4399,"[0.34631651639938354, 0.6536834836006165]","[0.022528378292918205, 0.022528378292918205, 0.022528378292918205, 0.022528378292918205, 0.022528378292918205, 0.022528378292918205, 0.022528378292918205, 0.022528378292918205, 0.022528378292918205]"
66,1,55.22%,55.22%,0.388,"[0.3211309611797333, 0.6788690090179443]","[0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909]"
67,0,54.41%,54.41%,0.828,"[0.41647326946258545, 0.5835266709327698]","[0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909]"
68,0,53.62%,53.62%,1.1354,"[0.32284653186798096, 0.677153468132019]","[0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909]"
69,0,52.86%,52.86%,0.8206,"[0.3905539810657501, 0.6094459891319275]","[0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909]"
70,0,52.11%,52.11%,0.9334,"[0.39571088552474976, 0.6042890548706055]","[0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909]"
71,0,51.39%,51.39%,0.7542,"[0.4814034700393677, 0.5185965299606323]","[0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909]"
72,0,50.68%,52.05%,0.5856,"[0.622178316116333, 0.377821683883667]","[0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909, 0.0202755406498909]"
73,1,51.35%,51.35%,0.8616,"[0.5745623707771301, 0.4254375994205475]","[0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278]"
74,0,50.67%,52.00%,0.6346,"[0.538926899433136, 0.461073100566864]","[0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278]"
75,0,50.00%,52.63%,0.3031,"[0.732383668422699, 0.267616331577301]","[0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278]"
76,0,49.35%,53.25%,0.2243,"[0.7680398225784302, 0.23196017742156982]","[0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278]"
77,0,48.72%,53.85%,0.2318,"[0.839572012424469, 0.160427987575531]","[0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278]"
78,0,48.10%,54.43%,0.1505,"[0.8730357885360718, 0.12696422636508942]","[0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278, 0.01824798621237278]"
79,1,48.75%,53.75%,1.7259,"[0.7986310124397278, 0.20136891305446625]","[0.016423186287283897, 0.016423186287283897, 0.016423186287283897, 0.016423186287283897, 0.016423186287283897, 0.016423186287283897, 0.016423186287283897, 0.016423186287283897, 0.016423186287283897]"
80,1,49.38%,53.09%,1.484,"[0.7696722149848938, 0.23032785952091217]","[0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448]"
81,0,48.78%,53.66%,0.0887,"[0.9137444496154785, 0.08625558018684387]","[0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448, 0.014780866913497448]"
82,1,49.40%,53.01%,1.6816,"[0.8079211115837097, 0.1920788735151291]","[0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416]"
83,0,48.81%,53.57%,0.071,"[0.9387092590332031, 0.06129070743918419]","[0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416, 0.013302779756486416]"
84,1,49.41%,52.94%,2.3185,"[0.896715521812439, 0.10328442603349686]","[0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032]"
85,0,48.84%,53.49%,0.0965,"[0.9233670830726624, 0.07663294672966003]","[0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032]"
86,0,48.28%,54.02%,0.0513,"[0.9331778287887573, 0.06682220101356506]","[0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032, 0.011972501873970032]"
87,1,48.86%,53.41%,1.1045,"[0.8085313439369202, 0.19146868586540222]","[0.010775251314043999, 0.010775251314043999, 0.010775251314043999, 0.010775251314043999, 0.010775251314043999, 0.010775251314043999, 0.010775251314043999, 0.010775251314043999, 0.010775251314043999]"
88,1,49.44%,52.81%,1.8624,"[0.8356608152389526, 0.16433922946453094]","[0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084]"
89,0,48.89%,53.33%,0.0794,"[0.8928132653236389, 0.10718679428100586]","[0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084]"
90,0,48.35%,53.85%,0.0661,"[0.9431896209716797, 0.056810323148965836]","[0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084, 0.009697725996375084]"
91,1,48.91%,53.26%,2.2434,"[0.8883489370346069, 0.11165109276771545]","[0.00872795283794403, 0.00872795283794403, 0.00872795283794403, 0.00872795283794403, 0.00872795283794403, 0.00872795283794403, 0.00872795283794403, 0.00872795283794403, 0.00872795283794403]"
92,1,49.46%,52.69%,1.428,"[0.6542900800704956, 0.3457099199295044]","[0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113]"
93,0,48.94%,53.19%,0.0744,"[0.9425554871559143, 0.057444486767053604]","[0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113]"
94,0,48.42%,53.68%,0.0844,"[0.9271479249000549, 0.07285204529762268]","[0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113]"
95,0,47.92%,54.17%,0.0661,"[0.9269784688949585, 0.07302157580852509]","[0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113]"
96,0,47.42%,54.64%,0.1202,"[0.9103005528450012, 0.08969943970441818]","[0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113, 0.007855157367885113]"
97,1,47.96%,55.10%,0.7145,"[0.39861539006233215, 0.6013845801353455]","[0.007069641258567572, 0.007069641258567572, 0.007069641258567572, 0.007069641258567572, 0.007069641258567572, 0.007069641258567572, 0.007069641258567572, 0.007069641258567572, 0.007069641258567572]"
98,1,48.48%,54.55%,1.8686,"[0.8473629951477051, 0.15263701975345612]","[0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686]"
99,0,48.00%,55.00%,0.1681,"[0.8542281985282898, 0.1457718163728714]","[0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686]"
100,0,47.52%,55.45%,0.0999,"[0.9021578431129456, 0.09784223139286041]","[0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686, 0.006362677086144686]"
101,1,48.04%,54.90%,2.0265,"[0.8716267943382263, 0.1283731460571289]","[0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735]"
102,0,47.57%,55.34%,0.094,"[0.5974032878875732, 0.40259668231010437]","[0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735]"
103,0,47.12%,55.77%,0.0826,"[0.9092694520950317, 0.09073059260845184]","[0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735, 0.0057264091446995735]"
