round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output
193,0,50.52%,68.04%,0.4275,"[0.6512708067893982, 0.3487292230129242]"
194,0,50.26%,67.69%,0.7271,"[0.3304990231990814, 0.6695009469985962]"
195,0,50.00%,67.86%,0.426,"[0.6411692500114441, 0.3588307797908783]"
196,0,49.75%,68.02%,0.4048,"[0.6677045226097107, 0.3322954773902893]"
197,0,49.49%,68.18%,0.3777,"[0.684535562992096, 0.31546446681022644]"
198,0,49.25%,67.84%,0.7856,"[0.49694740772247314, 0.5030526518821716]"
199,1,49.50%,68.00%,0.4865,"[0.4281212389469147, 0.5718788504600525]"
200,0,49.25%,68.16%,0.4058,"[0.663693368434906, 0.336306631565094]"
201,1,49.50%,68.32%,0.4689,"[0.37449362874031067, 0.6255064010620117]"
202,1,49.75%,68.47%,0.427,"[0.3268425166606903, 0.6731575131416321]"
203,1,50.00%,68.14%,0.5008,"[0.5211803913116455, 0.4788196384906769]"
204,1,50.24%,68.29%,0.6734,"[0.40973252058029175, 0.5902674794197083]"
205,0,50.00%,68.45%,0.5007,"[0.6220902800559998, 0.37790971994400024]"
206,1,50.24%,68.60%,0.3995,"[0.3266438841819763, 0.6733561158180237]"
207,0,50.00%,68.75%,0.565,"[0.5435802340507507, 0.45641976594924927]"
208,0,49.76%,68.90%,0.3873,"[0.6834253072738647, 0.31657475233078003]"
209,0,49.52%,69.05%,0.3944,"[0.6659535765647888, 0.3340464234352112]"
210,0,49.29%,68.72%,0.8974,"[0.37520354986190796, 0.624796450138092]"
211,0,49.06%,68.40%,0.5884,"[0.49470001459121704, 0.505299985408783]"
212,1,49.30%,68.08%,1.0568,"[0.5836536884307861, 0.4163462817668915]"
213,0,49.07%,68.22%,0.3497,"[0.7064585089683533, 0.29354149103164673]"
214,0,48.84%,68.37%,0.5453,"[0.6504215002059937, 0.34957846999168396]"
215,0,48.61%,68.52%,0.3615,"[0.7022361755371094, 0.2977638244628906]"
216,1,48.85%,68.20%,0.6671,"[0.5945870876312256, 0.4054129123687744]"
217,0,48.62%,68.35%,0.3539,"[0.7005897164344788, 0.2994101941585541]"
218,0,48.40%,68.49%,0.3388,"[0.7124208211898804, 0.28757911920547485]"
219,1,48.64%,68.18%,1.0773,"[0.670431911945343, 0.3295680284500122]"
220,0,48.42%,68.33%,0.3441,"[0.7090192437171936, 0.29098081588745117]"
221,1,48.65%,68.02%,0.6343,"[0.6596047878265381, 0.3403953015804291]"
222,0,48.43%,68.16%,0.3393,"[0.7092703580856323, 0.2907296419143677]"
223,1,48.66%,68.30%,0.3916,"[0.32034340500831604, 0.6796566247940063]"
224,0,48.44%,68.44%,0.3495,"[0.7053548097610474, 0.29464516043663025]"
225,1,48.67%,68.58%,0.3728,"[0.3117727041244507, 0.6882272362709045]"
226,0,48.46%,68.72%,0.4416,"[0.6539282202720642, 0.3460718095302582]"
227,1,48.68%,68.86%,0.3612,"[0.31696218252182007, 0.6830378174781799]"
228,1,48.91%,68.56%,0.4537,"[0.5053319334983826, 0.4946681261062622]"
229,0,48.70%,68.26%,0.5226,"[0.4866432547569275, 0.5133566856384277]"
230,1,48.92%,68.40%,0.739,"[0.39323562383651733, 0.6067644357681274]"
231,0,48.71%,68.53%,0.3348,"[0.7152692675590515, 0.2847307324409485]"
232,0,48.50%,68.67%,0.3387,"[0.7115554213523865, 0.2884446084499359]"
233,1,48.72%,68.80%,0.4246,"[0.31027156114578247, 0.6897284984588623]"
234,0,48.51%,68.51%,0.8416,"[0.4241475462913513, 0.5758525133132935]"
235,0,48.31%,68.64%,0.3349,"[0.7155156135559082, 0.2844843864440918]"
236,1,48.52%,68.35%,0.7703,"[0.660455048084259, 0.33954495191574097]"
237,1,48.74%,68.49%,0.3757,"[0.3295360803604126, 0.6704638600349426]"
238,0,48.54%,68.62%,0.3393,"[0.7166996002197266, 0.2833004295825958]"
239,0,48.33%,68.75%,0.8204,"[0.580513596534729, 0.41948649287223816]"
240,0,48.13%,68.88%,0.3287,"[0.7207797765731812, 0.27922025322914124]"
241,1,48.35%,68.60%,0.4926,"[0.5276785492897034, 0.472321480512619]"
242,1,48.56%,68.31%,1.0001,"[0.5627895593643188, 0.43721041083335876]"
243,0,48.36%,68.44%,0.3213,"[0.7250649333000183, 0.27493515610694885]"
244,1,48.57%,68.57%,0.3707,"[0.3065212070941925, 0.6934788227081299]"
245,0,48.37%,68.70%,0.3222,"[0.7249422073364258, 0.2750578224658966]"
246,0,48.18%,68.83%,0.3392,"[0.7151011228561401, 0.28489890694618225]"
247,1,48.39%,68.95%,0.5074,"[0.3706810772418976, 0.62931889295578]"
248,0,48.19%,69.08%,0.3373,"[0.7156714200973511, 0.28432855010032654]"
249,0,48.00%,69.20%,0.338,"[0.713528037071228, 0.28647199273109436]"
250,1,48.21%,69.32%,0.3776,"[0.31013327836990356, 0.6898667812347412]"
251,1,48.41%,69.44%,0.3955,"[0.4930339455604553, 0.5069660544395447]"
252,0,48.22%,69.57%,0.3186,"[0.7267864942550659, 0.27321356534957886]"
253,1,48.43%,69.69%,0.3397,"[0.3073860704898834, 0.692613959312439]"
254,1,48.63%,69.80%,0.4639,"[0.30670440196990967, 0.6932955384254456]"
255,1,48.83%,69.92%,0.3481,"[0.2958860695362091, 0.7041139602661133]"
256,0,48.64%,70.04%,0.3321,"[0.7197343707084656, 0.2802656292915344]"
257,1,48.84%,70.16%,0.3618,"[0.31292960047721863, 0.6870703101158142]"
258,0,48.65%,70.27%,0.3203,"[0.7246119379997253, 0.27538803219795227]"
259,0,48.46%,70.38%,0.3208,"[0.7219136953353882, 0.2780863046646118]"
260,1,48.66%,70.50%,0.3337,"[0.3572973906993866, 0.6427026391029358]"
261,0,48.47%,70.61%,0.3196,"[0.7258913516998291, 0.2741086483001709]"
262,1,48.67%,70.72%,0.3337,"[0.2828856110572815, 0.7171144485473633]"
263,0,48.48%,70.83%,0.6539,"[0.5013395547866821, 0.49866047501564026]"
264,1,48.68%,70.94%,0.521,"[0.41444653272628784, 0.5855534076690674]"
265,0,48.50%,71.05%,1.081,"[0.5026708245277405, 0.4973292052745819]"
266,1,48.69%,71.16%,0.4048,"[0.305997371673584, 0.694002628326416]"
267,1,48.88%,71.27%,0.3988,"[0.2926665246486664, 0.707333505153656]"
268,1,49.07%,71.38%,0.3186,"[0.2730836272239685, 0.7269163131713867]"
269,0,48.89%,71.48%,0.3349,"[0.708384096622467, 0.2916158437728882]"
270,0,48.71%,71.59%,0.3263,"[0.7196571826934814, 0.28034281730651855]"
271,1,48.90%,71.69%,0.3393,"[0.28489693999290466, 0.7151030898094177]"
272,1,49.08%,71.79%,0.3208,"[0.27370378375053406, 0.7262962460517883]"
273,1,49.27%,71.90%,0.3861,"[0.3287144601345062, 0.6712855100631714]"
274,1,49.45%,72.00%,0.5937,"[0.38651877641677856, 0.6134812235832214]"
275,1,49.64%,72.10%,0.6162,"[0.32108649611473083, 0.6789134740829468]"
276,1,49.82%,72.20%,0.3522,"[0.2887852191925049, 0.7112147212028503]"
277,0,49.64%,72.30%,0.3147,"[0.7295114398002625, 0.27048856019973755]"
278,0,49.46%,72.40%,0.3188,"[0.7272406220436096, 0.272759348154068]"
279,1,49.64%,72.14%,0.7575,"[0.5336626768112183, 0.4663373529911041]"
280,1,49.82%,72.24%,0.7665,"[0.2963051497936249, 0.7036948800086975]"
281,1,50.00%,72.34%,0.3967,"[0.4831622838973999, 0.5168377161026001]"
282,1,50.18%,72.44%,0.3378,"[0.3138215243816376, 0.68617844581604]"
283,1,50.35%,72.54%,0.3233,"[0.33988744020462036, 0.6601126194000244]"
284,1,50.53%,72.63%,0.3175,"[0.27480629086494446, 0.7251937389373779]"
285,1,50.70%,72.38%,0.5307,"[0.5313502550125122, 0.46864980459213257]"
286,0,50.52%,72.47%,0.3449,"[0.706918478012085, 0.29308149218559265]"
287,0,50.35%,72.57%,0.3533,"[0.7100140452384949, 0.2899859547615051]"
288,0,50.17%,72.32%,1.1565,"[0.29162806272506714, 0.7083718776702881]"
289,0,50.00%,72.07%,0.9639,"[0.3344777822494507, 0.6655222177505493]"
290,0,49.83%,72.16%,0.9121,"[0.5633690357208252, 0.4366309642791748]"
291,1,50.00%,72.26%,0.3633,"[0.2898474931716919, 0.7101525068283081]"
292,0,49.83%,72.35%,0.519,"[0.6722293496131897, 0.3277706503868103]"
293,1,50.00%,72.45%,0.3058,"[0.26546940207481384, 0.7345305681228638]"
294,0,49.83%,72.54%,0.5825,"[0.6585317850112915, 0.34146830439567566]"
295,0,49.66%,72.64%,0.313,"[0.7297905683517456, 0.2702094316482544]"
296,1,49.83%,72.73%,0.3077,"[0.2696460783481598, 0.7303539514541626]"
297,0,49.66%,72.82%,0.3455,"[0.7016753554344177, 0.29832467436790466]"
298,0,49.50%,72.91%,0.3637,"[0.6731111407279968, 0.3268888592720032]"
299,1,49.67%,73.00%,0.3203,"[0.2884497344493866, 0.711550235748291]"
300,0,49.50%,72.76%,0.9033,"[0.44723308086395264, 0.5527669787406921]"
301,1,49.67%,72.85%,0.8172,"[0.3720369338989258, 0.6279630661010742]"
302,1,49.83%,72.94%,0.3484,"[0.4009239077568054, 0.5990761518478394]"
303,1,50.00%,73.03%,0.3775,"[0.3084515333175659, 0.6915484666824341]"
304,0,49.84%,72.79%,0.8839,"[0.3379009962081909, 0.6620990037918091]"
305,0,49.67%,72.88%,0.2923,"[0.7464691400527954, 0.25353091955184937]"
306,1,49.84%,72.96%,0.366,"[0.2826727330684662, 0.7173272967338562]"
307,1,50.00%,73.05%,0.3913,"[0.4094093143939972, 0.5905906558036804]"
308,0,49.84%,73.14%,0.2969,"[0.7447065711021423, 0.25529342889785767]"
309,1,50.00%,73.23%,1.0533,"[0.47267860174179077, 0.5273213982582092]"
310,0,49.84%,73.31%,0.2916,"[0.7468286752700806, 0.25317132472991943]"
311,1,50.00%,73.40%,0.3487,"[0.3042545020580292, 0.6957455277442932]"
312,0,49.84%,73.48%,0.2915,"[0.7479909062385559, 0.2520090639591217]"
313,0,49.68%,73.57%,0.2974,"[0.7468812465667725, 0.25311875343322754]"
314,0,49.52%,73.65%,0.3184,"[0.7286075949668884, 0.27139243483543396]"
315,0,49.37%,73.42%,0.7282,"[0.4463079869747162, 0.5536919236183167]"
316,1,49.53%,73.50%,0.2986,"[0.25809022784233093, 0.7419097423553467]"
317,0,49.37%,73.58%,0.2957,"[0.7436162233352661, 0.2563838064670563]"
318,0,49.22%,73.67%,0.2928,"[0.7455505132675171, 0.25444942712783813]"
319,0,49.06%,73.75%,0.2888,"[0.7489991784095764, 0.25100088119506836]"
320,1,49.22%,73.52%,0.7288,"[0.6206151247024536, 0.3793849050998688]"
321,1,49.38%,73.29%,0.9285,"[0.5081177353858948, 0.49188232421875]"
322,0,49.23%,73.37%,0.284,"[0.7546883225440979, 0.2453116625547409]"
323,1,49.38%,73.46%,0.6433,"[0.39661768078804016, 0.603382408618927]"
324,1,49.54%,73.23%,1.2863,"[0.7125741243362427, 0.28742584586143494]"
325,0,49.39%,73.31%,0.2822,"[0.7528519630432129, 0.24714797735214233]"
326,1,49.54%,73.39%,0.3479,"[0.29356446862220764, 0.70643550157547]"
327,0,49.39%,73.48%,0.287,"[0.7518329620361328, 0.2481669932603836]"
328,0,49.24%,73.56%,0.2844,"[0.7523024082183838, 0.2476975917816162]"
329,1,49.39%,73.64%,0.4193,"[0.3314638137817383, 0.6685362458229065]"
330,1,49.55%,73.41%,0.4151,"[0.5904449820518494, 0.40955495834350586]"
331,0,49.40%,73.49%,0.2828,"[0.7560710906982422, 0.2439289093017578]"
332,1,49.55%,73.57%,0.6218,"[0.4879548251628876, 0.5120452046394348]"
